Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name _tight_dot,[10687],FOUND,1
12,.,"[12494, 9341, 9593]",FOUND,1
13,name,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,4
18,exports where,"[9375, 9593, 12494]",FOUND,4
21,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
23,name _tight_dot,"[8876, 7779]",FOUND,13
28,.,"[12494, 8922, 10807]",FOUND,1
29,name _tight_dot,"[8922, 10807, 12494, 10081, 10878, 10642, 10591]",FOUND,9
34,.,"[12494, 8628, 8980, 9785, 10807]",FOUND,1
35,variable,"[8628, 8980, 9785, 10807, 12494, 10081, 10878, 10642, 9681, 10591]",FOUND,5
38,", import_name","[9726, 9849, 9761, 10807]",FOUND,1
39,import_name,[7850],FOUND,2
44,variable,[7850],FOUND,1
47,", import_name","[9761, 12167, 10169]",FOUND,1
48,import_name,[7812],FOUND,2
53,variable,[7812],FOUND,1
56,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
57,import_name,[7812],FOUND,2
62,variable,[7812],FOUND,1
65,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
66,import_name,[7812],FOUND,2
71,variable,[7812],FOUND,1
74,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
75,import_name,[7812],FOUND,2
80,variable,[7812],FOUND,1
87,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
88,import_name,[7812],FOUND,2
93,variable,[7812],FOUND,1
97,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
98,import_name,[7812],FOUND,2
103,variable,[7812],FOUND,1
108,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
109,import_name,[7812],FOUND,2
114,name children,[7812],FOUND,3
125,( _cmd_texp_start,"[8922, 12167, 10984, 10169, 12494]",FOUND,4
126,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
128,) _cmd_texp_end,[10256],FOUND,1
129,", import_name","[8759, 12121, 11385, 12167, 10984, 10169, 12517]",FOUND,1
130,import_name,[7812],FOUND,2
135,variable,[7812],FOUND,1
138,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
139,import_name,[7812],FOUND,2
144,name children,[7812],FOUND,3
149,( _cmd_texp_start,"[8922, 12167, 10984, 10169, 12494]",FOUND,4
150,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
152,) _cmd_texp_end,[10256],FOUND,1
153,", import_name","[8759, 12121, 11385, 12167, 10984, 10169, 12517]",FOUND,1
154,import_name,[7812],FOUND,2
159,variable,[7812],FOUND,1
163,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
164,import_name,[7812],FOUND,2
169,variable,[7812],FOUND,1
174,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
175,import_name,[7812],FOUND,2
180,variable,[7812],FOUND,1
187,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
188,import_name,[7812],FOUND,2
193,variable,[7812],FOUND,1
199,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
200,import_name,[7812],FOUND,2
205,variable,[7812],FOUND,1
210,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
211,import_name,[7812],FOUND,2
216,variable,[7812],FOUND,1
220,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
221,import_name,[7812],FOUND,2
226,variable,[7812],FOUND,1
234,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
235,import_name,[7812],FOUND,2
240,variable,[7812],FOUND,1
247,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
248,_paren_close,[7812],FOUND,5
251,) _cmd_texp_end,[7812],FOUND,7
252,where,"[9796, 11492, 11261]",FOUND,1
253,where,"[9796, 11492, 11261]",FOUND,1
260,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
267,name _tight_dot,[9625],FOUND,1
278,.,"[12494, 8847, 8978, 10664]",FOUND,1
