Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name _tight_dot,[10687],FOUND,1
11,.,"[12494, 9341, 9593]",FOUND,1
12,name,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,4
17,exports where,"[9375, 9593, 12494]",FOUND,4
21,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
23,name,"[8876, 7779]",FOUND,5
29,", import_name","[8922, 10807, 12494]",FOUND,3
30,import_name,[7850],FOUND,2
36,name,[7850],FOUND,4
42,", import_name","[8922, 12167, 10169, 12494]",FOUND,2
43,import_name,[7812],FOUND,2
49,variable,[7812],FOUND,1
59,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
60,import_name,[7812],FOUND,2
66,variable,[7812],FOUND,1
82,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
83,import_name,[7812],FOUND,2
89,variable,[7812],FOUND,1
105,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
106,_paren_close,[7812],FOUND,5
110,) _cmd_texp_end,[7812],FOUND,7
111,where,"[9796, 11492, 11261]",FOUND,1
113,where,"[9796, 11492, 11261]",FOUND,1
122,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
129,name _tight_dot,[9625],FOUND,1
140,.,"[12494, 8847, 8978, 10664]",FOUND,1
141,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
152,( _cmd_texp_start,"[8809, 8978, 10664, 12494]",FOUND,3
153,name,"[8876, 7881, 12402]",FOUND,3
160,) _cmd_texp_end,"[8922, 10702, 12494]",FOUND,2
163,imports_repeat1 _cond_layout_semicolon,"[12186, 11399, 11807, 10664, 4243, 13]",FOUND,1
170,name _tight_dot,[9625],FOUND,1
181,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
182,name,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
188,( _cmd_texp_start,"[8809, 8978, 12000, 10116, 12494]",FOUND,4
189,name,"[8876, 7881, 12402]",FOUND,3
191,) _cmd_texp_end,"[8922, 10702, 12494]",FOUND,2
196,declarations _cond_layout_end,"[12186, 11399, 11807, 12000, 10116, 4259, 13]",FOUND,8
201,name,[7743],FOUND,1
208,= _ktype,"[9033, 9054, 8335]",FOUND,1
210,name,[1229],FOUND,1
220,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 9685, 11039, 12494, 12]",FOUND,6
225,name,[7743],FOUND,1
232,= _ktype,"[9033, 9054, 8335]",FOUND,1
234,[ _cmd_texp_start,[1229],FOUND,3
235,name,"[7875, 1104, 12455]",FOUND,2
241,] _cmd_texp_end,"[3146, 524, 8137, 10287, 12494]",FOUND,2
246,_cond_layout_semicolon declaration,"[6572, 6427, 6411, 764, 8142, 10258, 10711, 10124, 9583, 11039, 14]",FOUND,1
257,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
260,name,"[1462, 1484]",FOUND,1
268,_cond_layout_semicolon declaration,"[14, 11039, 6115, 874, 8377, 9873, 8950, 12494, 5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
279,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,5
281,_integer_literal,[1247],FOUND,12
290,_cond_layout_semicolon declaration,"[3973, 4224, 4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 21, 14]",FOUND,2
307,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
310,name,"[1462, 1484]",FOUND,1
313,->,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,4
316,name,"[7879, 7941, 1515, 1537]",FOUND,1
