Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name _tight_dot,[10687],FOUND,1
15,.,"[12494, 9341, 9593]",FOUND,1
16,name _tight_dot,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,2
19,.,"[12494, 9375, 9593]",FOUND,1
20,name,"[9375, 9593, 12494, 10081, 10878, 11327, 11223]",FOUND,4
27,exports where,"[9375, 9593, 12494]",FOUND,4
30,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
32,variable,"[8876, 7779]",FOUND,1
40,", import_name","[9761, 10807]",FOUND,1
41,import_name,[7850],FOUND,2
46,variable,[7850],FOUND,1
57,", _paren_close","[9761, 12167, 10169]",FOUND,5
58,_paren_close,[7812],FOUND,5
61,) _cmd_texp_end,[7812],FOUND,7
62,where,"[9796, 11492, 11261]",FOUND,1
63,where,"[9796, 11492, 11261]",FOUND,1
70,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
77,name _tight_dot,[9625],FOUND,1
84,.,"[12494, 8847, 8978, 10664]",FOUND,1
85,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
91,imports_repeat1 _cond_layout_semicolon,"[8809, 8978, 10664, 12494, 4243, 13]",FOUND,4
98,name _tight_dot,[9625],FOUND,1
102,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
103,name _tight_dot,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,5
113,.,"[12494, 8809, 8978, 12000, 10116]",FOUND,1
114,name,"[8809, 8978, 12000, 10116, 12494, 10081, 10878, 11327, 10902]",FOUND,2
125,_cond_layout_semicolon import,"[8809, 8978, 12000, 10116, 12494, 4259, 13]",FOUND,2
132,qualified module as module,[9625],FOUND,2
142,name _tight_dot,[9924],FOUND,1
146,.,"[12494, 8847, 9064, 12000, 10115, 10116]",FOUND,1
147,name _tight_dot,"[8847, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,6
157,.,"[12494, 8809, 9064, 12000, 10115, 10116]",FOUND,1
158,name _tight_dot,"[8809, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 11327, 10902]",FOUND,6
168,.,"[12494, 8809, 9064, 12000, 10115, 10116]",FOUND,1
169,name,"[8809, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 11327, 10902]",FOUND,2
175,as module,"[8809, 9064, 12000, 10115, 10116, 12494]",FOUND,6
178,name,[10676],FOUND,1
181,imports_repeat1,"[8847, 9654, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,3
188,name _tight_dot,[9625],FOUND,1
192,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
193,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
198,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
205,qualified module as module,[9625],FOUND,2
215,name _tight_dot,[9924],FOUND,1
219,.,"[12494, 8847, 9064, 12000, 10115, 10116]",FOUND,1
220,name,"[8847, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
231,as module,"[8809, 9064, 12000, 10115, 10116, 12494]",FOUND,6
234,name,[10676],FOUND,1
237,imports_repeat1,"[8847, 9654, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,3
244,name _tight_dot,[9625],FOUND,1
248,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
249,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
255,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
262,name _tight_dot,[9625],FOUND,1
266,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
267,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
