Location,Ground_Truth,State_List,Coverage_Result,Rank
36,module module exports where,"[1, 12559, 2]",FOUND,1
43,name _tight_dot,[10687],FOUND,1
49,.,"[12494, 9341, 9593]",FOUND,1
50,name,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,4
61,exports where,"[9375, 9593, 12494]",FOUND,4
64,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
66,( _cmd_texp_start,"[8876, 7779]",FOUND,12
67,_varsym,"[8769, 8241, 12584]",FOUND,2
70,) _cmd_texp_end,"[8769, 8241, 12231, 11957]",FOUND,1
71,", import_name","[8759, 8920, 9788, 10807, 12517]",FOUND,2
72,import_name,[7850],FOUND,2
77,variable,[7850],FOUND,1
85,", import_name","[9761, 12167, 10169]",FOUND,1
86,import_name,[7812],FOUND,2
91,variable,[7812],FOUND,1
96,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
97,_paren_close,[7812],FOUND,5
100,) _cmd_texp_end,[7812],FOUND,7
101,where,"[9796, 11492, 11261]",FOUND,1
102,where,"[9796, 11492, 11261]",FOUND,1
109,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
116,name _tight_dot,[9625],FOUND,1
123,.,"[12494, 8847, 8978, 10664]",FOUND,1
124,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
136,( _cmd_texp_start,"[8809, 8978, 10664, 12494]",FOUND,3
137,name,"[8876, 7881, 12402]",FOUND,3
148,", import_name","[8922, 10702, 12494]",FOUND,4
150,name,[7953],FOUND,3
161,", import_name","[8922, 12166, 10871, 12494]",FOUND,3
163,variable,[7901],FOUND,1
168,", import_name","[9761, 12166, 10969, 10871]",FOUND,1
170,variable,[7901],FOUND,1
178,", import_name","[9761, 12166, 10969, 10871]",FOUND,1
180,( _cmd_texp_start,[7901],FOUND,5
181,_varsym,"[8769, 8241, 12584]",FOUND,2
184,) _cmd_texp_end,"[8769, 8241, 12231, 11957]",FOUND,1
185,) _cmd_texp_end,"[8759, 8920, 9788, 12166, 10969, 10871, 12517]",FOUND,3
187,imports_repeat1 _cond_layout_semicolon,"[12186, 11914, 11807, 10664, 4243, 13]",FOUND,1
194,name _tight_dot,[9625],FOUND,1
201,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
202,name,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
208,_cond_layout_semicolon import,"[8809, 8978, 12000, 10116, 12494, 4259, 13]",FOUND,2
215,name _tight_dot,[9625],FOUND,1
219,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
220,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
229,( _cmd_texp_start,"[8809, 8978, 12000, 10115, 10116, 12494]",FOUND,5
230,variable,"[8876, 7881, 12402]",FOUND,2
234,) _cmd_texp_end,"[9761, 10702]",FOUND,1
237,declarations _cond_layout_end,"[12186, 11399, 11807, 12000, 10115, 10116, 11476, 4259, 13]",FOUND,8
245,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
248,name,"[3874, 1462]",FOUND,1
260,variable,"[1462, 3874, 1484, 7789, 2236, 12494]",FOUND,5
262,=>,"[1462, 3874, 1484, 7268, 1174, 8000, 2236]",FOUND,2
265,variable,"[7871, 1508, 1526]",FOUND,3
267,variable,"[6405, 764, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6993, 874, 8397, 8914, 8377, 9873, 8950]",FOUND,2
272,->,"[6405, 784, 6412, 764, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6993, 920, 6855, 874, 8397, 8914, 8377, 9873, 8950]",FOUND,1
275,variable,"[7879, 7941, 1515, 1537]",FOUND,3
277,variable,"[6405, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6993, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,3
283,->,"[6405, 784, 6412, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6993, 920, 6855, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,1
286,variable,"[7879, 7941, 1515, 1537]",FOUND,3
288,variable,"[6405, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6993, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,3
290,->,"[6405, 784, 6412, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6993, 920, 6855, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,1
293,variable,"[7879, 7941, 1515, 1537]",FOUND,3
295,variable,"[6405, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6993, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,3
297,variable,"[12, 11039, 6993, 920, 6855, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950, 6405, 784, 6412, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 9685]",FOUND,3
305,variable,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,2
307,variable,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,3
309,variable,"[5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,3
311,= _exp,"[5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,2
313,variable,[1247],FOUND,1
315,_varsym,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,4
318,variable,"[7720, 1395]",FOUND,1
320,_varsym,"[4553, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,3
323,variable,"[7720, 1395]",FOUND,1
326,_cond_layout_semicolon declaration,"[4553, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 12494, 14]",FOUND,2
333,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
336,_cond_context constraint =>,"[3874, 1462]",FOUND,2
337,name,"[1462, 3874, 1484, 7538, 1407, 12504]",FOUND,1
346,variable,"[1462, 3874, 1484, 7884, 2227, 9235, 12792]",FOUND,4
347,", constraints","[1462, 3874, 1484, 7268, 1174, 8000, 2227, 9235]",FOUND,6
349,name,"[1462, 3874, 1484, 2338, 3887]",FOUND,1
361,variable,"[1462, 3874, 1484, 7789, 2227, 9928, 10519, 12494]",FOUND,4
362,) _cmd_texp_end,"[1462, 3874, 1484, 7268, 1174, 8000, 2227, 9928, 10519]",FOUND,6
364,=>,"[1462, 3874, 1484, 7895, 7991, 7997, 2236]",FOUND,2
367,variable,"[7871, 1508, 1526]",FOUND,3
369,( _cmd_texp_start,"[6405, 764, 8195, 8639, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6993, 874, 8397, 8914, 8377, 9873, 8950]",FOUND,6
370,variable,"[6645, 431, 429, 12613]",FOUND,4
372,variable,"[3873, 524, 8137, 10265, 10691]",FOUND,1
373,) _cmd_texp_end,"[3873, 521, 3901, 524, 8137, 10265, 10691]",FOUND,3
375,->,"[6348, 6426, 6407, 784, 6412, 764, 8195, 8639, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6960, 6886, 7006, 920, 6855, 874, 8397, 8914, 8377, 9873, 8950]",FOUND,3
378,variable,"[7879, 7941, 1515, 1537]",FOUND,3
380,variable,"[6405, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6993, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,5
