Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name,[10687],FOUND,2
10,exports where,"[9341, 9593]",FOUND,3
13,( _cmd_texp_start,"[9341, 9593]",FOUND,2
15,module module,"[8876, 7779]",FOUND,6
22,name,[10221],FOUND,2
24,", module_export","[9629, 11359, 10850]",FOUND,3
25,module_export,[7851],FOUND,3
30,module module,[7851],FOUND,2
37,name,[10221],FOUND,2
39,", _paren_close","[9629, 11359, 12169, 10171]",FOUND,7
40,_paren_close,[7816],FOUND,10
43,) _cmd_texp_end,[7816],FOUND,9
44,where,"[9796, 11953, 11261]",FOUND,1
45,where,"[9796, 11953, 11261]",FOUND,1
52,_cmd_layout_start imports _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,19
59,name _tight_dot,[9625],FOUND,1
62,.,"[12494, 8847, 8978, 10664]",FOUND,1
63,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
68,as module,"[8809, 8978, 10664, 12494]",FOUND,8
71,name,[10679],FOUND,1
74,imports_repeat1 _cond_layout_semicolon,"[8847, 9581, 10664, 12494, 4243, 13]",FOUND,3
81,name _tight_dot,[9625],FOUND,1
84,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
85,name,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
91,as module,"[8809, 8978, 12000, 10116, 12494]",FOUND,9
94,name,[10679],FOUND,1
