Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name,[10687],FOUND,2
16,exports where,"[9341, 9593]",FOUND,3
19,( _cmd_texp_start,"[9341, 9593]",FOUND,2
21,variable,"[8876, 7779]",FOUND,1
26,", import_name","[9761, 10807]",FOUND,1
27,import_name,[7850],FOUND,2
32,variable,[7850],FOUND,1
38,", import_name","[9761, 12167, 10169]",FOUND,1
39,import_name,[7812],FOUND,2
44,variable,[7812],FOUND,1
50,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
51,import_name,[7812],FOUND,2
56,variable,[7812],FOUND,1
61,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
62,import_name,[7812],FOUND,2
67,variable,[7812],FOUND,1
81,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
82,import_name,[7812],FOUND,2
87,variable,[7812],FOUND,1
99,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
100,_paren_close,[7812],FOUND,5
103,) _cmd_texp_end,[7812],FOUND,7
104,where,"[9796, 11492, 11261]",FOUND,1
105,where,"[9796, 11492, 11261]",FOUND,1
112,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
119,name _tight_dot,[9625],FOUND,1
123,.,"[12494, 8847, 8978, 10664]",FOUND,1
124,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
129,( _cmd_texp_start,"[8809, 8978, 10664, 12494]",FOUND,3
130,variable,"[8876, 7881, 12402]",FOUND,2
137,) _cmd_texp_end,"[9761, 10702]",FOUND,1
139,imports_repeat1 _cond_layout_semicolon,"[12186, 11399, 11807, 10664, 4243, 13]",FOUND,1
146,name _tight_dot,[9625],FOUND,1
150,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
151,name,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
156,( _cmd_texp_start,"[8809, 8978, 12000, 10116, 12494]",FOUND,4
157,variable,"[8876, 7881, 12402]",FOUND,2
163,) _cmd_texp_end,"[9761, 10702]",FOUND,1
165,_cond_layout_semicolon import,"[12186, 11399, 11807, 12000, 10116, 4259, 13]",FOUND,1
172,name,[9625],FOUND,3
881,declarations _cond_layout_end,"[8847, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,11
888,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
891,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
892,variable,"[7875, 1104, 965, 12455]",FOUND,4
893,] _cmd_texp_end,"[3873, 524, 8137, 10287, 10694]",FOUND,1
895,->,"[6572, 6427, 6411, 764, 8341, 10286, 10711, 9685, 11039, 6863, 6887, 6854, 874, 8377, 9873, 8950]",FOUND,1
898,name,"[7879, 7941, 1515, 1537]",FOUND,1
902,->,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,2
905,variable,"[7879, 7941, 1515, 1537]",FOUND,3
907,variable,"[12, 11039, 6993, 874, 8363, 8900, 8377, 9873, 8950, 6405, 764, 8173, 8718, 8341, 10286, 10711, 9685]",FOUND,3
914,[ _cmd_texp_start,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,11
915,] _cmd_texp_end,"[7543, 374, 369, 7878, 952, 12277, 12332]",FOUND,2
917,_,"[7444, 7436, 7227, 1837, 2011, 8888, 4410, 4756, 5123, 325, 5146, 350, 10711, 10124, 9583, 11039, 6107, 6139, 6575, 1202, 6672, 915, 8950]",FOUND,10
919,= _exp,"[7366, 7413, 1837, 1971, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6588, 6578, 1202, 6672, 915, 8950]",FOUND,2
921,variable,[1247],FOUND,1
931,variable,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 12494, 14]",FOUND,1
938,( _cmd_texp_start,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,6
939,variable,"[5805, 42, 40, 6652, 399, 12235, 12695]",FOUND,3
943,variable,"[4901, 229, 11218, 7652, 1542, 1457, 8048, 2279]",FOUND,1
945,) _cmd_texp_end,"[4901, 255, 5019, 229, 11218, 3017, 53, 2990, 61, 10897, 5856, 1059, 5795, 1274, 10383, 10720]",FOUND,2
947,variable,"[4397, 4628, 5118, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 7480, 7316, 7403, 1837, 2011, 8888, 5991, 6579, 6596, 1202, 6672, 915, 8950]",FOUND,4
949,= _exp,"[5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,3
950,_exp,[1247],FOUND,3
953,if _exp then _exp else _exp,[1247],FOUND,10
956,variable,[1165],FOUND,1
958,_varsym,"[3017, 61, 11306]",FOUND,2
960,_integer_literal,"[7720, 1457]",FOUND,4
961,then _exp else _exp,"[2745, 2739, 3017, 53, 2990, 61, 11306]",FOUND,5
966,then _exp else _exp,"[2745, 2739, 3017, 53, 2990, 61, 11306]",FOUND,5
971,variable,[1280],FOUND,1
980,else _exp,"[3017, 61, 11030]",FOUND,5
985,else _exp,"[3017, 61, 11030]",FOUND,5
989,_exp,[1208],FOUND,4
996,if _exp then _exp else _exp,[1208],FOUND,11
999,variable,[1165],FOUND,1
1001,_varsym,"[3017, 61, 11306]",FOUND,2
1004,_integer_literal,"[7720, 1457]",FOUND,4
1005,then _exp else _exp,"[2745, 2739, 3017, 53, 2990, 61, 11306]",FOUND,5
1014,then _exp else _exp,"[2745, 2739, 3017, 53, 2990, 61, 11306]",FOUND,5
1019,variable,[1280],FOUND,1
1020,else _exp,"[3017, 61, 11030]",FOUND,5
1029,else _exp,"[3017, 61, 11030]",FOUND,5
1034,variable,[1208],FOUND,1
1040,variable,"[4553, 194, 4491, 4649, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,2
1043,( _cmd_texp_start,"[4553, 220, 4452, 194, 4491, 4649, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,4
1044,variable,"[6652, 376, 12695]",FOUND,2
1046,_cond_minus _operator_minus expression,"[11620, 4901, 321, 10945, 8104]",FOUND,12
1048,_integer_literal,"[4901, 321, 10945, 7724, 1557]",FOUND,9
1049,) _cmd_texp_end,"[4255, 4288, 4901, 263, 5019, 321, 10945]",FOUND,1
1051,declarations_repeat1,"[4229, 3949, 4504, 220, 4452, 194, 4491, 4649, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,3
1118,_cond_layout_semicolon declaration,"[4229, 3949, 4504, 220, 4452, 194, 4491, 4649, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520, 12494, 8125, 12216, 21, 14]",FOUND,2
1125,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
1128,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
1129,variable,"[7875, 1104, 965, 12455]",FOUND,4
1130,] _cmd_texp_end,"[3873, 524, 8137, 10287, 10694]",FOUND,1
1132,->,"[6572, 6427, 6411, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6863, 6887, 6854, 874, 8377, 9873, 8950]",FOUND,3
1135,name,"[7879, 7941, 1515, 1537]",FOUND,1
1139,->,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,4
1142,variable,"[7879, 7941, 1515, 1537]",FOUND,3
1144,_cond_layout_semicolon declaration,"[14, 11039, 6993, 874, 8363, 8900, 8377, 9873, 8950, 6405, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
1151,[ _cmd_texp_start,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,11
1152,] _cmd_texp_end,"[7543, 374, 369, 7878, 952, 12277, 12332]",FOUND,2
1154,_,"[7444, 7436, 7227, 1837, 2011, 8888, 4410, 4756, 5123, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6107, 6139, 6575, 1202, 6672, 915, 8950]",FOUND,10
1156,= _exp,"[7366, 7413, 1837, 1971, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6588, 6578, 1202, 6672, 915, 8950]",FOUND,3
1158,variable,[1247],FOUND,1
1168,variable,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520, 12494, 8125, 12216, 21, 14]",FOUND,1
1175,( _cmd_texp_start,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,6
1176,variable,"[5805, 42, 40, 6652, 399, 12235, 12695]",FOUND,3
1180,variable,"[4901, 229, 11218, 7652, 1542, 1457, 8048, 2279]",FOUND,1
1182,) _cmd_texp_end,"[4901, 255, 5019, 229, 11218, 3017, 53, 2990, 61, 10897, 5856, 1059, 5795, 1274, 10383, 10720]",FOUND,2
1184,variable,"[4397, 4628, 5118, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 7480, 7316, 7403, 1837, 2011, 8888, 5991, 6579, 6596, 1202, 6672, 915, 8950]",FOUND,4
1185,_bind_matches,"[12229, 12478, 12559, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039]",FOUND,5
1188,| _cmd_texp_start guards,"[12229, 12478, 12559, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039]",FOUND,7
1190,variable,[331],FOUND,1
1192,_varsym,"[3157, 61, 11658, 10951, 12404, 12427, 1274, 11295]",FOUND,4
1194,_integer_literal,"[7720, 1457]",FOUND,4
1196,= _cmd_texp_end _exp,"[2745, 2739, 3017, 53, 2990, 61, 11658, 10951, 12404, 12427]",FOUND,2
1198,variable,[1328],FOUND,1
1207,_bind_matches_repeat1,"[3942, 118, 9101, 9107, 8419, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,3
1210,| _cmd_texp_start guards,"[3942, 118, 9101, 9107, 8419, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,5
1212,variable,[331],FOUND,1
1214,_varsym,"[3157, 61, 11658, 10951, 12404, 12427, 1274, 11295]",FOUND,4
1217,_integer_literal,"[7720, 1457]",FOUND,4
1219,= _cmd_texp_end _exp,"[2745, 2739, 3017, 53, 2990, 61, 11658, 10951, 12404, 12427]",FOUND,2
