Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name,[10687],FOUND,2
16,exports where,"[9341, 9593]",FOUND,3
19,( _cmd_texp_start,"[9341, 9593]",FOUND,2
21,variable,"[8876, 7779]",FOUND,1
27,", import_name","[9761, 10807]",FOUND,1
28,import_name,[7850],FOUND,2
33,variable,[7850],FOUND,1
38,", import_name","[9761, 12167, 10169]",FOUND,1
39,import_name,[7812],FOUND,2
44,variable,[7812],FOUND,1
51,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
52,import_name,[7812],FOUND,2
57,variable,[7812],FOUND,1
63,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
64,import_name,[7812],FOUND,2
69,variable,[7812],FOUND,1
80,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
81,import_name,[7812],FOUND,2
86,variable,[7812],FOUND,1
94,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
95,import_name,[7812],FOUND,2
100,variable,[7812],FOUND,1
112,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
113,import_name,[7812],FOUND,2
118,variable,[7812],FOUND,1
128,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
129,import_name,[7812],FOUND,2
134,variable,[7812],FOUND,1
145,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
146,import_name,[7812],FOUND,2
151,variable,[7812],FOUND,1
161,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
162,import_name,[7812],FOUND,2
167,variable,[7812],FOUND,1
178,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
179,import_name,[7812],FOUND,2
184,variable,[7812],FOUND,1
193,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
194,_paren_close,[7812],FOUND,5
197,) _cmd_texp_end,[7812],FOUND,7
198,where,"[9796, 11492, 11261]",FOUND,1
199,where,"[9796, 11492, 11261]",FOUND,1
206,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
213,qualified module as module,[9625],FOUND,2
223,name _tight_dot,[9924],FOUND,1
227,.,"[12494, 8847, 9064, 10664]",FOUND,1
228,name,"[8847, 9064, 10664, 12494, 10081, 10878, 10902]",FOUND,3
237,as module,"[8809, 9064, 10664, 12494]",FOUND,3
240,name,[10676],FOUND,1
242,imports_repeat1 _cond_layout_semicolon,"[8847, 9654, 10664, 12494, 4243, 13]",FOUND,3
249,qualified module as module,[9625],FOUND,2
259,name _tight_dot,[9924],FOUND,1
263,.,"[12494, 8847, 9064, 12000, 10116]",FOUND,1
264,name,"[8847, 9064, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
269,as module,"[8809, 9064, 12000, 10116, 12494]",FOUND,6
272,name,[10676],FOUND,1
274,_cond_layout_semicolon import,"[8847, 9654, 12000, 10116, 12494, 4259, 13]",FOUND,3
281,name _tight_dot,[9625],FOUND,1
285,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
286,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
292,( _cmd_texp_start,"[8809, 8978, 12000, 10115, 10116, 12494]",FOUND,5
293,variable,"[8876, 7881, 12402]",FOUND,2
302,", import_name","[9761, 10702]",FOUND,2
304,variable,[7953],FOUND,1
310,) _cmd_texp_end,"[9761, 12166, 10871]",FOUND,2
312,imports_repeat1,"[12186, 11914, 11807, 12000, 10115, 10116, 11476, 4259, 13]",FOUND,1
319,name,[9625],FOUND,3
325,( _cmd_texp_start,"[8847, 8978, 12000, 10115, 10116, 12494]",FOUND,5
326,name children,"[8876, 7881, 12402]",FOUND,4
334,( _cmd_texp_start,"[8922, 10702, 12494]",FOUND,3
335,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
337,) _cmd_texp_end,[10256],FOUND,1
338,", import_name","[8759, 12121, 11385, 10702, 12517]",FOUND,3
340,variable,[7953],FOUND,1
347,", import_name","[9761, 12166, 10871]",FOUND,1
349,variable,[7901],FOUND,1
357,) _cmd_texp_end,"[9761, 12166, 10969, 10871]",FOUND,2
809,declarations _cond_layout_end,"[12186, 11914, 11807, 12000, 10115, 10116, 11476, 4259, 13]",FOUND,8
816,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
819,_cond_context constraint =>,"[3874, 1462]",FOUND,2
820,name,"[1462, 3874, 1484, 7538, 1407, 12504]",FOUND,1
823,variable,"[1462, 3874, 1484, 7884, 2227, 9235, 12792]",FOUND,4
824,) _cmd_texp_end,"[1462, 3874, 1484, 7268, 1174, 8000, 2227, 9235]",FOUND,7
826,=>,"[1462, 3874, 1484, 7895, 7974, 7997, 2236]",FOUND,2
829,variable,"[7871, 1508, 1526]",FOUND,3
831,->,"[6405, 764, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6993, 874, 8397, 8914, 8377, 9873, 8950]",FOUND,1
834,[ _cmd_texp_start,"[7879, 7941, 1515, 1537]",FOUND,2
835,( _cmd_texp_start,"[7875, 1104, 965, 12455]",FOUND,3
836,variable,"[6645, 433, 12613]",FOUND,3
837,", _ktype","[3873, 524, 8137, 10734]",FOUND,6
839,variable,"[1281, 3874]",FOUND,4
840,) _cmd_texp_end,"[3873, 524, 8137, 10666, 11096, 12055]",FOUND,5
841,] _cmd_texp_end,"[3811, 3864, 3895, 524, 8137, 10287, 10694, 12740]",FOUND,1
843,->,"[6572, 6427, 6411, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 9685, 11039, 6863, 6887, 6854, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,1
846,name,"[7879, 7941, 1515, 1537]",FOUND,1
851,variable,"[12, 11039, 6115, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 9685]",FOUND,4
858,variable,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,2
862,variable,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,3
865,= _exp,"[5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,2
867,variable,[1247],FOUND,1
874,( _cmd_texp_start,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,3
875,variable,"[6652, 376, 12695]",FOUND,2
882,variable,"[4901, 321, 10945]",FOUND,2
886,variable,"[4901, 252, 5011, 321, 10945]",FOUND,2
888,) _cmd_texp_end,"[4901, 252, 5011, 321, 10945]",FOUND,1
890,declarations_repeat1,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,11
1119,declarations_repeat1,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,11
1381,_cond_layout_semicolon declaration,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 12494, 14]",FOUND,2
1387,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
1390,_cond_context constraint =>,"[3874, 1462]",FOUND,2
1391,name,"[1462, 3874, 1484, 7538, 1407, 12504]",FOUND,1
1394,variable,"[1462, 3874, 1484, 7884, 2227, 9235, 12792]",FOUND,4
1395,) _cmd_texp_end,"[1462, 3874, 1484, 7268, 1174, 8000, 2227, 9235]",FOUND,7
1397,=>,"[1462, 3874, 1484, 7895, 7974, 7997, 2236]",FOUND,2
1400,( _cmd_texp_start,"[7871, 1508, 1526]",FOUND,2
1401,name,"[6645, 431, 429, 12613]",FOUND,2
1407,variable,"[3164, 524, 8137, 10265, 10691, 12792]",FOUND,1
1409,->,"[3873, 521, 3901, 524, 8137, 10265, 10691]",FOUND,6
1412,name,"[7879, 7941, 1529]",FOUND,1
1418,variable,"[3146, 524, 7621, 7862, 8137, 10265, 10691, 12494]",FOUND,2
1419,) _cmd_texp_end,"[3873, 521, 3901, 524, 7621, 7862, 8137, 10265, 10691]",FOUND,3
1421,->,"[6348, 6426, 6407, 764, 8195, 8639, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6960, 6886, 7006, 874, 8397, 8914, 8377, 9873, 8950]",FOUND,3
1424,variable,"[7879, 7941, 1515, 1537]",FOUND,3
1426,->,"[6405, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6993, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,3
1429,[ _cmd_texp_start,"[7879, 7941, 1515, 1537]",FOUND,2
1430,( _cmd_texp_start,"[7875, 1104, 965, 12455]",FOUND,3
1431,variable,"[6645, 433, 12613]",FOUND,3
1432,", _ktype","[3873, 524, 8137, 10734]",FOUND,6
1434,variable,"[1281, 3874]",FOUND,4
1435,) _cmd_texp_end,"[3873, 524, 8137, 10666, 11096, 12055]",FOUND,5
1436,] _cmd_texp_end,"[3811, 3864, 3895, 524, 8137, 10287, 10694, 12740]",FOUND,1
1438,->,"[6572, 6427, 6411, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6863, 6887, 6854, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950]",FOUND,3
1441,[ _cmd_texp_start,"[7879, 7941, 1515, 1537]",FOUND,2
1442,( _cmd_texp_start,"[7875, 1104, 965, 12455]",FOUND,3
1443,variable,"[6645, 433, 12613]",FOUND,3
1444,", _ktype","[3873, 524, 8137, 10734]",FOUND,6
1446,variable,"[1281, 3874]",FOUND,4
1447,) _cmd_texp_end,"[3873, 524, 8137, 10666, 11096, 12055]",FOUND,5
1448,] _cmd_texp_end,"[3811, 3864, 3895, 524, 8137, 10287, 10694, 12740]",FOUND,1
1450,_cond_layout_semicolon declaration,"[14, 11039, 6863, 6887, 6854, 874, 8363, 8900, 8397, 8914, 8377, 9873, 8950, 6572, 6427, 6411, 764, 8173, 8718, 8195, 8639, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
1456,variable,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,3
1458,variable,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,4
1462,[ _cmd_texp_start,"[5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,13
1463,] _cmd_texp_end,"[7878, 952, 7543, 374, 369, 12332, 12277]",FOUND,2
