Location,Ground_Truth,State_List,Coverage_Result,Rank
40,module module exports where,"[1, 12559, 2]",FOUND,1
47,name,[10687],FOUND,2
52,exports where,"[9341, 9593]",FOUND,3
56,( _cmd_texp_start,"[9341, 9593]",FOUND,2
58,name,"[8876, 7779]",FOUND,5
65,", import_name","[8922, 10807]",FOUND,2
66,import_name,[7850],FOUND,2
72,variable,[7850],FOUND,1
77,", import_name","[9761, 12167, 10169]",FOUND,1
78,import_name,[7812],FOUND,2
84,variable,[7812],FOUND,1
91,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
92,import_name,[7812],FOUND,2
98,variable,[7812],FOUND,1
105,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
106,import_name,[7812],FOUND,2
112,variable,[7812],FOUND,1
120,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
121,import_name,[7812],FOUND,2
127,variable,[7812],FOUND,1
139,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
140,import_name,[7812],FOUND,2
146,variable,[7812],FOUND,1
154,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
155,import_name,[7812],FOUND,2
161,variable,[7812],FOUND,1
171,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
172,import_name,[7812],FOUND,2
178,variable,[7812],FOUND,1
189,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
190,import_name,[7812],FOUND,2
196,variable,[7812],FOUND,1
206,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
207,import_name,[7812],FOUND,2
213,name,[7812],FOUND,4
224,", import_name","[8922, 12167, 10984, 10169]",FOUND,1
225,import_name,[7812],FOUND,2
231,name children,[7812],FOUND,3
244,( _cmd_texp_start,"[8922, 12167, 10984, 10169]",FOUND,3
245,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
247,) _cmd_texp_end,[10256],FOUND,1
248,", import_name","[8759, 12121, 11385, 12167, 10984, 10169, 12517]",FOUND,1
249,import_name,[7812],FOUND,2
255,variable,[7812],FOUND,1
264,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
265,_paren_close,[7812],FOUND,5
269,) _cmd_texp_end,[7812],FOUND,7
270,where,"[9796, 11492, 11261]",FOUND,1
272,where,"[9796, 11492, 11261]",FOUND,1
281,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
288,qualified module as module,[9625],FOUND,2
298,name _tight_dot,[9924],FOUND,1
302,.,"[12494, 8847, 9064, 10664]",FOUND,1
303,name,"[8847, 9064, 10664, 12494, 10081, 10878, 10902]",FOUND,3
312,as module,"[8809, 9064, 10664, 12494]",FOUND,3
315,name,[10676],FOUND,1
318,imports_repeat1 _cond_layout_semicolon,"[8847, 9654, 10664, 12494, 4243, 13]",FOUND,3
325,qualified module as module,[9625],FOUND,2
335,name _tight_dot,[9924],FOUND,1
339,.,"[12494, 8847, 9064, 12000, 10116]",FOUND,1
340,name,"[8847, 9064, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
345,as module,"[8809, 9064, 12000, 10116, 12494]",FOUND,6
348,name,[10676],FOUND,1
353,declarations _cond_layout_end,"[8847, 9654, 12000, 10116, 12494, 4259, 13]",FOUND,10
358,name,[7743],FOUND,1
366,variable,"[9033, 9054, 8335]",FOUND,2
368,= _ktype,"[8709, 9063, 8402, 10175]",FOUND,1
370,name _tight_dot,[1193],FOUND,6
371,.,"[12494, 5783, 764, 8142, 10364, 10711, 9685, 11039]",FOUND,1
372,name,"[5783, 764, 8142, 10364, 10711, 9685, 11039, 12494, 10081, 10878, 10642, 11072]",FOUND,3
381,variable,"[5742, 6512, 6414, 764, 8142, 10364, 10711, 9685, 11039, 12494]",FOUND,2
383,[ _cmd_texp_start,"[6405, 784, 6412, 764, 8142, 10364, 10711, 9685, 11039]",FOUND,7
384,variable,"[7875, 1104, 12455]",FOUND,4
385,] _cmd_texp_end,"[3873, 524, 8137, 10287]",FOUND,1
390,_cond_layout_semicolon declaration,"[6572, 6427, 6411, 784, 6412, 764, 8142, 10364, 10711, 9685, 11039, 12]",FOUND,5
396,:: quantified_type,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,3
399,name,"[1462, 1484]",FOUND,1
407,variable,"[5783, 764, 8341, 10286, 10711, 10124, 9583, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,4
410,_cond_layout_semicolon declaration,"[14, 11039, 6993, 920, 6855, 874, 8377, 9873, 8950, 6405, 784, 6412, 764, 8341, 10286, 10711, 10124, 9583]",FOUND,1
