Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name,[10687],FOUND,2
12,( _cmd_texp_start,"[9341, 9593]",FOUND,2
13,variable,"[8876, 7779, 12402]",FOUND,2
17,) _cmd_texp_end,"[9761, 10807]",FOUND,3
19,where,"[9796, 11531, 11261]",FOUND,1
26,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
33,qualified module,[9625],FOUND,4
43,name,[9924],FOUND,2
47,imports_repeat1 _cond_layout_semicolon,"[8847, 9064, 10664, 4243, 13]",FOUND,3
54,qualified module as module,[9625],FOUND,2
64,name _tight_dot,[9924],FOUND,1
68,.,"[12494, 8847, 9064, 12000, 10116]",FOUND,1
69,name,"[8847, 9064, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
76,as module,"[8809, 9064, 12000, 10116, 12494]",FOUND,6
79,name,[10676],FOUND,1
81,_cond_layout_semicolon import,"[8847, 9654, 12000, 10116, 12494, 4259, 13]",FOUND,3
88,qualified module as module,[9625],FOUND,2
98,name _tight_dot,[9924],FOUND,1
102,.,"[12494, 8847, 9064, 12000, 10115, 10116]",FOUND,1
103,name,"[8847, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
109,as module,"[8809, 9064, 12000, 10115, 10116, 12494]",FOUND,6
112,name,[10676],FOUND,1
114,imports_repeat1,"[8847, 9654, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,3
121,name _tight_dot,[9625],FOUND,1
125,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
126,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
136,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
143,qualified module as module,[9625],FOUND,2
153,name _tight_dot,[9924],FOUND,1
157,.,"[12494, 8847, 9064, 12000, 10115, 10116]",FOUND,1
158,name,"[8847, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
163,as module,"[8809, 9064, 12000, 10115, 10116, 12494]",FOUND,6
166,name,[10676],FOUND,1
168,imports_repeat1,"[8847, 9654, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,3
175,qualified module as module,[9625],FOUND,2
185,name _tight_dot,[9924],FOUND,1
189,.,"[12494, 8847, 9064, 12000, 10115, 10116]",FOUND,1
190,name _tight_dot,"[8847, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,6
194,.,"[12494, 8809, 9064, 12000, 10115, 10116]",FOUND,1
195,name,"[8809, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 11327, 10902]",FOUND,2
198,as module,"[8809, 9064, 12000, 10115, 10116, 12494]",FOUND,6
201,name,[10676],FOUND,1
205,imports_repeat1,"[8847, 9654, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,3
212,qualified module as module,[9625],FOUND,2
222,name _tight_dot,[9924],FOUND,1
226,.,"[12494, 8847, 9064, 12000, 10115, 10116]",FOUND,1
227,name,"[8847, 9064, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
237,as module,"[8809, 9064, 12000, 10115, 10116, 12494]",FOUND,6
240,name,[10676],FOUND,1
246,declarations _cond_layout_end,"[8847, 9654, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,10
258,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
261,name _tight_dot,"[1462, 1484]",FOUND,6
262,.,"[12494, 5783, 764, 8341, 10286, 10711, 9685, 11039, 6115, 874, 8377, 9873, 8950]",FOUND,1
263,name,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8377, 9873, 8950, 10081, 10878, 10642, 11072, 11100]",FOUND,4
268,->,"[5742, 6512, 6414, 764, 8341, 10286, 10711, 9685, 11039, 12494, 6102, 6979, 6857, 874, 8377, 9873, 8950]",FOUND,2
271,name,"[7879, 7941, 1515, 1537]",FOUND,1
274,( _cmd_texp_start,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,6
275,name,"[6645, 431, 429, 12613]",FOUND,2
282,name,"[3164, 524, 8137, 10265, 10691, 12792]",FOUND,2
289,name _tight_dot,"[3164, 521, 3901, 524, 8137, 10265, 10691, 12792]",FOUND,9
292,.,"[12792, 3164, 521, 3901, 524, 8137, 10265, 10691]",FOUND,4
293,name,"[3164, 521, 3901, 524, 8137, 10265, 10691, 12792, 8568, 8571, 8562, 8481]",FOUND,1
296,) _cmd_texp_end,"[3158, 3880, 3911, 521, 3901, 524, 8137, 10265, 10691, 12792]",FOUND,3
298,variable,"[12, 11039, 6960, 6886, 7006, 920, 6855, 874, 8363, 8900, 8377, 9873, 8950, 6348, 6426, 6407, 784, 6412, 764, 8173, 8718, 8341, 10286, 10711, 9685]",FOUND,3
310,variable,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,2
314,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,2
316,do _statements,[1247],FOUND,4
321,variable,"[11149, 62, 277, 4432, 4760, 4652, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,2
329,<- _exp,"[3175, 262, 10300, 10863, 9187, 1274, 11002]",FOUND,2
332,name _tight_dot,[1327],FOUND,2
336,.,"[12494, 4296, 262, 10869, 10832, 9187]",FOUND,1
337,variable,"[4296, 262, 10869, 10832, 9187, 12494, 10081, 10878, 10642, 9404]",FOUND,2
345,variable,"[4460, 4545, 5116, 262, 10869, 10832, 9187]",FOUND,1
351,variable,"[5116, 325, 5146, 262, 10869, 10832, 9187, 12494, 165, 4539, 4760, 4652, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 4338]",FOUND,1
361,<- _exp,"[3175, 262, 10300, 10863, 10843, 9192, 1274, 11002]",FOUND,2
364,name _tight_dot,[1327],FOUND,2
368,.,"[12494, 4296, 262, 10869, 10832, 10843, 9192]",FOUND,1
369,variable,"[4296, 262, 10869, 10832, 10843, 9192, 12494, 10081, 10878, 10642, 9404]",FOUND,2
377,string,"[4460, 4545, 5116, 262, 10869, 10832, 10843, 9192]",FOUND,7
397,variable,"[4738, 5116, 325, 5146, 262, 10869, 10832, 10843, 9192, 12494, 170, 4342, 4760, 4652, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 4618]",FOUND,1
407,<- _exp,"[3175, 262, 10300, 10863, 10843, 9619, 9192, 1274, 11002]",FOUND,2
410,name _tight_dot,[1327],FOUND,2
414,.,"[12494, 4296, 262, 10869, 10832, 10843, 9619, 9192]",FOUND,1
415,variable,"[4296, 262, 10869, 10832, 10843, 9619, 9192, 12494, 10081, 10878, 10642, 9404]",FOUND,2
423,string,"[4460, 4545, 5116, 262, 10869, 10832, 10843, 9619, 9192]",FOUND,7
440,_cond_layout_semicolon statement,"[4738, 5116, 325, 5146, 262, 10869, 10832, 10843, 9619, 9192, 12494, 281, 170, 4342, 4760, 4652, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 4618]",FOUND,6
444,variable _bind_matches,"[1836, 1952, 9703, 9701, 10863, 10843, 9619, 9192, 8917]",FOUND,4
458,= _exp,"[4271, 915, 8950, 2167]",FOUND,2
459,_exp,[1247],FOUND,3
468,name _tight_dot,[1247],FOUND,6
471,.,"[12494, 3928, 180, 9590, 9088, 10117, 10286, 9244]",FOUND,1
472,variable,"[3928, 180, 9590, 9088, 10117, 10286, 9244, 12494, 10081, 10878, 10642, 9288]",FOUND,2
489,{ _cmd_brace_open field_update } _cmd_brace_close,"[4212, 4178, 4553, 180, 9590, 9088, 10117, 10286, 9244]",FOUND,16
500,{ _cmd_brace_open field_update } _cmd_brace_close,"[4212, 4178, 4553, 180, 9590, 9088, 10117, 10286, 9244]",FOUND,16
502,name _tight_dot,[8653],FOUND,4
505,.,"[12494, 10594]",FOUND,1
506,variable,"[10594, 12494, 10081, 10878, 10642, 9742]",FOUND,3
524,= _exp,"[10643, 10035, 10143, 9572, 11189, 11224]",FOUND,1
525,_exp,[1350],FOUND,7
540,name _tight_dot,[1350],FOUND,4
541,.,"[12494, 2429, 61, 11408, 11224]",FOUND,1
542,variable,"[2429, 61, 11408, 11224, 12494, 10081, 10878, 10642, 9209]",FOUND,2
551,expression,"[2699, 2734, 3017, 61, 11408, 11224]",FOUND,5
568,( _cmd_texp_start,"[2699, 2734, 3017, 61, 11408, 11224]",FOUND,3
569,name _tight_dot,"[6652, 393, 12695]",FOUND,5
572,.,"[12792, 4689, 240, 11164]",FOUND,4
573,variable,"[4689, 240, 11164, 12792, 8568, 8571, 8562, 8216]",FOUND,2
591,name _tight_dot,"[4274, 4270, 4901, 240, 11164]",FOUND,25
594,.,"[12494, 4002, 252, 5011, 240, 11164]",FOUND,1
595,variable,"[4002, 252, 5011, 240, 11164, 12494, 10081, 10878, 10642, 9327]",FOUND,3
612,) _cmd_texp_end,"[4274, 4270, 4901, 252, 5011, 240, 11164]",FOUND,1
613,expression,"[2742, 2703, 3019, 52, 2863, 61, 11408, 11224]",FOUND,5
630,variable,"[2742, 2703, 3019, 52, 2863, 61, 11408, 11224]",FOUND,1
639,} _cmd_brace_close,"[3017, 52, 2863, 61, 11408, 11224]",FOUND,7
650,} _cmd_brace_close,"[3017, 52, 2863, 61, 11408, 11224]",FOUND,7
658,_cond_layout_semicolon decl,"[4645, 4670, 180, 9590, 9088, 10117, 10286, 9244, 12494, 1865, 9704, 9701, 10863, 10843, 9619, 9192, 9545]",FOUND,16
668,= _exp,"[4271, 915, 8950, 2167]",FOUND,2
669,_exp,[1247],FOUND,3
678,if _exp then _exp else _exp,[1247],FOUND,10
681,variable,[1165],FOUND,1
690,then _exp else _exp,"[3017, 61, 11306]",FOUND,5
701,then _exp else _exp,"[3017, 61, 11306]",FOUND,5
706,name _tight_dot,[1280],FOUND,7
709,.,"[12494, 2429, 61, 11030]",FOUND,1
710,name,"[2429, 61, 11030, 12494, 10081, 10878, 10642, 9209]",FOUND,9
720,else _exp,"[2361, 2700, 3017, 61, 11030, 12494]",FOUND,6
731,else _exp,"[2361, 2700, 3017, 61, 11030, 12494]",FOUND,6
736,name _tight_dot,[1208],FOUND,7
739,.,"[12494, 3928, 194, 4491, 4649, 180, 9590, 9088, 10117, 10286, 10269, 9291]",FOUND,1
740,name,"[3928, 194, 4491, 4649, 180, 9590, 9088, 10117, 10286, 10269, 9291, 12494, 10081, 10878, 10642, 9288]",FOUND,9
