Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name _tight_dot,[10687],FOUND,1
11,.,"[12494, 9341, 9593]",FOUND,1
12,name,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,4
21,exports where,"[9375, 9593, 12494]",FOUND,4
24,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
26,name children,"[8876, 7779]",FOUND,3
36,( _cmd_texp_start,"[8922, 10807, 12494]",FOUND,2
37,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
39,) _cmd_texp_end,[10256],FOUND,1
40,", import_name","[8759, 12121, 11385, 10807, 12517]",FOUND,2
41,import_name,[7850],FOUND,2
46,variable,[7850],FOUND,1
54,", import_name","[9761, 12167, 10169]",FOUND,1
55,import_name,[7812],FOUND,2
60,variable,[7812],FOUND,1
71,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
72,_paren_close,[7812],FOUND,5
75,) _cmd_texp_end,[7812],FOUND,7
76,where,"[9796, 11492, 11261]",FOUND,1
77,where,"[9796, 11492, 11261]",FOUND,1
84,_cmd_layout_start declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,7
90,name,[7823],FOUND,1
100,variable,"[8634, 8648, 8039, 10711, 9685, 11086]",FOUND,5
102,where class_declarations,"[8612, 8623, 8140, 8727, 10711, 9685, 11086]",FOUND,5
110,variable :: quantified_type,"[9487, 10711, 9685, 11086, 676, 10193, 10132]",FOUND,5
116,:: quantified_type,"[4271, 915, 8950, 2167]",FOUND,6
119,name,"[1462, 1484]",FOUND,1
123,->,"[5783, 764, 8341, 10286, 10318, 9336, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,2
126,name,"[7879, 7941, 1515, 1537]",FOUND,1
130,->,"[5783, 764, 8173, 8718, 8341, 10286, 10318, 9336, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,2
133,variable,"[7879, 7941, 1515, 1537]",FOUND,3
135,->,"[6405, 764, 8173, 8718, 8341, 10286, 10318, 9336, 6993, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,1
138,variable,"[7879, 7941, 1515, 1537]",FOUND,3
142,variable,"[868, 10657, 10132, 10711, 9685, 11086, 6993, 874, 8363, 8900, 8377, 9873, 8950, 6405, 764, 8173, 8718, 8341, 10286, 10318, 9336, 10411]",FOUND,3
148,variable,"[4271, 915, 8950, 2167]",FOUND,1
153,variable,"[6905, 1837, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,3
158,variable,"[6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,3
161,= _exp,"[6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,1
162,_exp,[1247],FOUND,3
167,let local_binds in _exp,[1247],FOUND,11
171,_cmd_layout_start_let decl _cond_layout_end,"[1838, 1951, 9835]",FOUND,2
172,_,"[5805, 37, 12235]",FOUND,4
173,", _pat","[6780, 6789, 938, 10720]",FOUND,1
175,variable,[382],FOUND,1
176,", _pat","[3176, 61, 10897, 1274, 10215, 10974, 12015]",FOUND,10
178,_,[382],FOUND,2
179,) _cmd_texp_end,"[5811, 5745, 1274, 10215, 10245, 10974, 12015]",FOUND,4
181,= _exp,"[5991, 6692, 6600, 915, 8950]",FOUND,1
183,variable,[1247],FOUND,1
198,variable,"[4553, 180, 9590, 9088, 10520, 10286, 9450]",FOUND,1
203,variable,"[4553, 220, 4452, 180, 9590, 9088, 10520, 10286, 9450]",FOUND,1
208,variable,"[4553, 220, 4452, 180, 9590, 9088, 10520, 10286, 9450]",FOUND,1
210,in _exp,"[9702, 11934, 4553, 220, 4452, 180, 9590, 9088, 10520, 10286, 9450]",FOUND,10
216,in _exp,"[4553, 220, 4452, 180, 9590, 9088, 10520, 10286, 9450, 9702, 11934]",FOUND,10
219,variable,[1183],FOUND,1
