Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name _tight_dot,[10687],FOUND,1
13,.,"[12494, 9341, 9593]",FOUND,1
14,name,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,4
35,exports where,"[9375, 9593, 12494]",FOUND,4
38,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
40,variable,"[8876, 7779]",FOUND,1
60,", import_name","[9761, 10807]",FOUND,1
61,import_name,[7850],FOUND,2
66,variable,[7850],FOUND,1
87,", import_name","[9761, 12167, 10169]",FOUND,1
88,import_name,[7812],FOUND,2
93,variable,[7812],FOUND,1
112,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
113,_paren_close,[7812],FOUND,5
116,) _cmd_texp_end,[7812],FOUND,7
117,where,"[9796, 11492, 11261]",FOUND,1
118,where,"[9796, 11492, 11261]",FOUND,1
125,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
132,name _tight_dot,[9625],FOUND,1
138,.,"[12494, 8847, 8978, 10664]",FOUND,1
139,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
146,imports_repeat1 _cond_layout_semicolon,"[8809, 8978, 10664, 12494, 4243, 13]",FOUND,4
153,qualified module as module,[9625],FOUND,2
163,name _tight_dot,[9924],FOUND,1
167,.,"[12494, 8847, 9064, 12000, 10116]",FOUND,1
168,name,"[8847, 9064, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
173,as module,"[8809, 9064, 12000, 10116, 12494]",FOUND,6
176,name,[10676],FOUND,1
178,_cond_layout_semicolon import,"[8847, 9654, 12000, 10116, 12494, 4259, 13]",FOUND,3
185,name _tight_dot,[9625],FOUND,1
189,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
190,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
203,declarations _cond_layout_end,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,11
224,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
227,name,"[1462, 1484]",FOUND,1
230,( _cmd_texp_start,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,5
231,) _cmd_texp_end,"[6645, 431, 429, 12613]",FOUND,3
233,_cond_layout_semicolon declaration,"[12, 11039, 6960, 6869, 6993, 920, 6855, 874, 8377, 9873, 8950, 6348, 6215, 6405, 784, 6412, 764, 8341, 10286, 10711, 9685]",FOUND,8
254,= _exp,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,4
255,_exp,[1247],FOUND,3
258,variable,[1247],FOUND,1
270,expression,"[4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,10
275,( _cmd_texp_start,"[4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,3
276,\ patterns _arrow _exp,"[6652, 376, 12695]",FOUND,4
277,variable,[2071],FOUND,1
279,->,"[5856, 1857, 2051, 11009]",FOUND,1
282,variable,"[7952, 1293]",FOUND,1
284,_varsym,"[8104, 4901, 218, 4864, 4937, 321, 10945]",FOUND,3
287,variable,"[4901, 218, 4864, 4937, 321, 10945, 7720, 1542]",FOUND,1
293,( _cmd_texp_start,"[4901, 255, 5019, 218, 4864, 4937, 321, 10945]",FOUND,4
294,variable,"[6652, 389, 12695]",FOUND,2
300,variable,"[4901, 241, 11068]",FOUND,2
301,) _cmd_texp_end,"[4901, 252, 5011, 241, 11068]",FOUND,1
302,) _cmd_texp_end,"[4290, 4242, 4909, 252, 5011, 255, 5019, 218, 4864, 4937, 321, 10945, 12453]",FOUND,2
303,expression,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,10
