Location,Ground_Truth,State_List,Coverage_Result,Rank
887,import scoped_identifier ;,"[1, 1377]",FOUND,9
894,identifier . identifier,[894],FOUND,1
898,. identifier,[1205],FOUND,1
899,identifier,[1103],FOUND,1
903,. identifier,"[474, 1205]",FOUND,1
904,identifier,[1103],FOUND,1
911,;,"[474, 1205]",FOUND,2
914,public,"[372, 288, 377, 3, 1377]",FOUND,4
921,class identifier class_body,"[505, 727]",FOUND,8
927,identifier class_body,[1307],FOUND,1
942,{ enum_body_declarations_repeat1 },[896],FOUND,2
945,enum_body_declarations_repeat1 },[408],FOUND,2
965,public static,[408],FOUND,9
972,static,"[505, 698]",FOUND,4
979,void_type,"[503, 505, 698]",FOUND,1
984,identifier formal_parameters,"[766, 784]",FOUND,1
988,( formal_parameter ),"[867, 1058, 1134, 1308]",FOUND,3
989,identifier,[471],FOUND,2
995,[ ],"[720, 782]",FOUND,6
996,],[1354],FOUND,1
998,identifier,"[656, 583, 773, 766, 782]",FOUND,1
1002,),"[891, 1278, 1076]",FOUND,1
1004,{ switch_block_statement_group_repeat2 },"[943, 887, 1059, 1117]",FOUND,1
1008,identifier,[9],FOUND,1
1016,identifier,"[421, 775, 1318, 549, 752]",FOUND,4
1022,= expression,"[866, 1058, 1134, 1369]",FOUND,1
1024,new identifier argument_list,[146],FOUND,3
1028,identifier argument_list,[785],FOUND,1
1035,( expression ),[853],FOUND,1
1036,identifier,[155],FOUND,1
1042,. identifier,"[413, 895, 1318, 549, 662]",FOUND,4
1043,identifier,"[953, 811, 1356]",FOUND,2
1045,),"[704, 818, 895, 1318, 429, 441, 549, 662]",FOUND,2
1046,;,"[506, 501, 550, 562, 549, 668, 1134, 1369]",FOUND,2
1050,statement,"[376, 377, 8]",FOUND,8
1070,statement,"[376, 377, 8]",FOUND,8
1112,identifier,"[376, 377, 8]",FOUND,3
1118,. identifier,"[421, 775, 1318, 549, 752]",FOUND,5
1119,identifier,"[953, 811, 1356]",FOUND,2
1122,. identifier argument_list,"[704, 818, 775, 1318, 429, 441, 549, 752]",FOUND,1
1123,identifier argument_list,"[973, 811, 1356]",FOUND,1
1128,( expression ),"[707, 818, 775, 1318, 429, 441, 549, 752]",FOUND,3
1129,""" string_fragment """,[155],FOUND,3
1130,"string_fragment """,[978],FOUND,1
1146,"""",[962],FOUND,1
1147,),"[576, 526, 561, 562, 549, 662]",FOUND,2
1148,;,"[506, 515, 562, 549, 752]",FOUND,2
1152,long,"[383, 377, 7, 8]",FOUND,24
1157,identifier,"[742, 766, 775, 1318]",FOUND,1
1164,= expression,"[866, 1058, 1134, 1369]",FOUND,1
1166,identifier,[146],FOUND,1
1171,. identifier argument_list,"[413, 895, 1318, 549, 668, 1134, 1369]",FOUND,1
1172,identifier argument_list,"[953, 811, 1356]",FOUND,1
1180,( ),"[704, 818, 895, 1318, 429, 441, 549, 668, 1134, 1369]",FOUND,3
1181,),[155],FOUND,2
1182,;,"[510, 515, 562, 549, 668, 1134, 1369]",FOUND,2
1186,statement,"[376, 377, 7, 8]",FOUND,8
1216,identifier,"[376, 377, 7, 8]",FOUND,3
1222,. identifier,"[421, 775, 1318, 549, 752]",FOUND,5
1223,identifier,"[953, 811, 1356]",FOUND,2
1226,. identifier argument_list,"[704, 818, 775, 1318, 429, 441, 549, 752]",FOUND,1
1227,identifier argument_list,"[973, 811, 1356]",FOUND,1
1234,( expression ),"[707, 818, 775, 1318, 429, 441, 549, 752]",FOUND,3
1239,""" string_fragment """,[155],FOUND,3
1240,"string_fragment """,[978],FOUND,1
1272,"""",[962],FOUND,1
1274,+ expression,"[576, 526, 561, 562, 549, 662]",FOUND,5
1276,identifier,[234],FOUND,1
1283,+ expression,"[413, 895, 1318, 549, 617, 603, 662]",FOUND,9
1285,""" string_fragment """,[234],FOUND,2
1286,"string_fragment """,[978],FOUND,1
1291,"""",[962],FOUND,1
1293,+ expression,"[576, 526, 561, 562, 549, 617, 603, 662]",FOUND,5
1295,identifier argument_list,[234],FOUND,5
1299,( expression ),"[413, 895, 1318, 549, 617, 603, 662]",FOUND,5
1300,identifier,[155],FOUND,1
1306,),"[413, 895, 1318, 549, 662]",FOUND,2
1307,),"[506, 563, 562, 549, 617, 603, 662]",FOUND,2
1308,;,"[506, 515, 562, 549, 752]",FOUND,2
1311,},"[383, 377, 7, 8]",FOUND,1
