Location,Ground_Truth,State_List,Coverage_Result,Rank
0,public,"[1, 1377]",FOUND,8
7,class identifier class_body,"[505, 727]",FOUND,8
13,identifier class_body,[1307],FOUND,1
31,{ enum_body_declarations_repeat1 },[896],FOUND,2
34,public static,[408],FOUND,9
41,static,"[505, 698]",FOUND,4
48,void_type,"[503, 505, 698]",FOUND,1
53,identifier formal_parameters,"[766, 784]",FOUND,1
57,( formal_parameter ),"[867, 1058, 1134, 1308]",FOUND,3
58,identifier,[471],FOUND,2
64,[ ],"[720, 782]",FOUND,6
65,],[1354],FOUND,1
67,identifier,"[656, 583, 773, 766, 782]",FOUND,1
71,),"[891, 1278, 1076]",FOUND,1
73,{ switch_block_statement_group_repeat2 },"[943, 887, 1059, 1117]",FOUND,1
77,identifier,[9],FOUND,1
83,. identifier,"[421, 775, 1318, 549, 752]",FOUND,5
84,identifier,"[953, 811, 1356]",FOUND,2
87,. identifier argument_list,"[704, 818, 775, 1318, 429, 441, 549, 752]",FOUND,1
88,identifier argument_list,"[973, 811, 1356]",FOUND,1
95,( expression ),"[707, 818, 775, 1318, 429, 441, 549, 752]",FOUND,3
96,""" _string_literal_repeat1 """,[155],FOUND,17
97,string_fragment escape_sequence,[978],FOUND,3
128,escape_sequence,[962],FOUND,2
130,"""","[983, 962]",FOUND,1
131,),"[576, 526, 561, 562, 549, 662]",FOUND,2
132,;,"[506, 515, 562, 549, 752]",FOUND,2
136,identifier argument_list,"[383, 377, 8]",FOUND,2
153,( expression ),"[421, 775, 1318, 549, 752]",FOUND,6
154,decimal_integer_literal,[155],FOUND,4
156,),"[561, 562, 549, 662]",FOUND,2
157,;,"[506, 563, 562, 549, 752]",FOUND,2
160,},"[383, 377, 7, 8]",FOUND,1
164,public static,"[114, 394, 410]",FOUND,5
171,static,"[505, 698]",FOUND,4
178,void_type,"[503, 505, 698]",FOUND,1
183,identifier formal_parameters,"[766, 784]",FOUND,1
200,( formal_parameter ),"[867, 1058, 1134, 1308]",FOUND,3
201,int,[471],FOUND,6
205,identifier,"[742, 766, 782]",FOUND,1
219,),"[891, 1278, 1076]",FOUND,1
221,{ switch_block_statement_group_repeat2 },"[943, 887, 1059, 1117]",FOUND,1
225,final,[9],FOUND,5
231,int,"[505, 783]",FOUND,9
235,identifier,"[742, 766, 807]",FOUND,1
261,= expression,"[866, 1058, 1134, 1337]",FOUND,1
263,decimal_integer_literal,[146],FOUND,6
265,;,"[561, 562, 549, 668, 1134, 1337]",FOUND,3
269,statement,"[274, 377, 8]",FOUND,8
292,int,"[274, 377, 8]",FOUND,15
296,identifier,"[742, 766, 775, 1318]",FOUND,1
302,= expression,"[866, 1058, 1134, 1369]",FOUND,1
304,decimal_integer_literal,[146],FOUND,6
305,;,"[561, 562, 549, 668, 1134, 1369]",FOUND,2
309,statement,"[376, 377, 7, 8]",FOUND,8
346,int,"[376, 377, 7, 8]",FOUND,15
350,identifier,"[742, 766, 775, 1318]",FOUND,1
357,= expression,"[866, 1058, 1134, 1369]",FOUND,1
359,decimal_integer_literal,[146],FOUND,6
360,;,"[561, 562, 549, 668, 1134, 1369]",FOUND,2
364,statement,"[376, 377, 7, 8]",FOUND,8
403,statement,"[376, 377, 7, 8]",FOUND,8
