Location,Ground_Truth,State_List,Coverage_Result,Rank
612,public,"[1, 1377]",FOUND,8
619,class identifier class_body,"[505, 727]",FOUND,8
625,identifier class_body,[1307],FOUND,1
635,{ enum_body_declarations_repeat1 },[896],FOUND,2
638,double,[408],FOUND,47
645,identifier,"[732, 766, 788]",FOUND,2
650,;,"[867, 1058, 1134, 1315]",FOUND,6
653,field_declaration,"[575, 410]",FOUND,14
675,double,"[575, 410]",FOUND,62
682,identifier,"[732, 766, 788]",FOUND,2
688,;,"[867, 1058, 1134, 1315]",FOUND,6
691,constructor_declaration,"[575, 412, 410]",FOUND,15
714,constructor_declaration,"[575, 412, 410]",FOUND,15
777,identifier formal_parameters,"[575, 412, 410]",FOUND,14
786,( ),"[830, 788]",FOUND,5
787,),[471],FOUND,1
789,{ switch_block_statement_group_repeat2 },"[942, 1191, 1027]",FOUND,1
793,identifier = expression,[5],FOUND,5
799,= expression,"[421, 775, 1318, 636, 752]",FOUND,5
801,decimal_integer_literal,[228],FOUND,4
802,;,"[561, 562, 549, 618, 603, 752]",FOUND,2
806,identifier = expression,"[383, 377, 11]",FOUND,3
813,= expression,"[421, 775, 1318, 549, 752]",FOUND,7
815,decimal_integer_literal,[228],FOUND,4
816,;,"[561, 562, 549, 618, 603, 752]",FOUND,2
819,},"[383, 377, 7, 11]",FOUND,3
822,enum_body_declarations_repeat1,"[523, 544, 412, 410]",FOUND,4
916,identifier formal_parameters,"[523, 544, 412, 410]",FOUND,14
925,( formal_parameter formal_parameters_repeat1 ),"[830, 788]",FOUND,3
926,double,[471],FOUND,12
933,identifier,"[732, 766, 782]",FOUND,1
941,", formal_parameter","[891, 1278, 1076]",FOUND,2
943,double,[483],FOUND,9
950,identifier,"[732, 766, 809]",FOUND,1
959,),"[866, 1278, 1212, 1115]",FOUND,1
961,{ switch_block_statement_group_repeat2 },"[940, 1191, 1027]",FOUND,1
965,identifier = expression,[5],FOUND,5
971,= expression,"[421, 775, 1318, 636, 752]",FOUND,5
973,identifier,[228],FOUND,1
981,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
985,identifier = expression,"[383, 377, 11]",FOUND,3
992,= expression,"[421, 775, 1318, 549, 752]",FOUND,7
994,identifier,[228],FOUND,1
1003,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
1006,},"[383, 377, 7, 11]",FOUND,3
1009,method_declaration,"[523, 544, 412, 410]",FOUND,3
1052,double,"[523, 544, 412, 410]",FOUND,62
1059,identifier formal_parameters,"[732, 766, 788]",FOUND,1
1066,( ),"[867, 1058, 1134, 1315]",FOUND,2
1067,),[471],FOUND,1
1069,{ statement },"[942, 887, 1059, 1170]",FOUND,4
1073,return expression ;,[9],FOUND,2
1080,identifier,[149],FOUND,1
1086,* expression,"[413, 895, 1318, 549, 729]",FOUND,34
1088,identifier,[235],FOUND,2
1094,;,"[413, 895, 1318, 549, 607, 603, 729]",FOUND,3
1098,},"[315, 377, 8]",FOUND,1
1101,method_declaration,"[114, 390, 412, 410]",FOUND,3
1149,double,"[114, 390, 412, 410]",FOUND,62
1156,identifier formal_parameters,"[732, 766, 788]",FOUND,1
1168,( ),"[867, 1058, 1134, 1315]",FOUND,2
1169,),[471],FOUND,1
1171,{ statement },"[942, 887, 1059, 1170]",FOUND,4
1175,return expression ;,[9],FOUND,2
1182,decimal_integer_literal,[149],FOUND,12
1184,* expression,"[561, 562, 549, 729]",FOUND,23
1186,( expression ),[235],FOUND,3
1187,identifier,[115],FOUND,2
1193,+ expression,"[415, 701, 1037, 549, 757]",FOUND,16
1195,identifier,[234],FOUND,1
1201,),"[413, 895, 1318, 549, 617, 603, 757]",FOUND,3
1202,;,"[110, 562, 549, 607, 603, 729]",FOUND,3
1205,},"[315, 377, 8]",FOUND,1
1207,},"[114, 390, 412, 410]",FOUND,2
