Location,Ground_Truth,State_List,Coverage_Result,Rank
871,public,"[1, 1377]",FOUND,5
878,class identifier class_body,"[505, 727]",FOUND,8
884,identifier class_body,[1307],FOUND,1
902,{ enum_body_declarations_repeat1 },[896],FOUND,2
905,enum_body_declarations_repeat1 },[408],FOUND,2
925,enum_body_declarations_repeat1 },[408],FOUND,2
957,private,[408],FOUND,7
965,double,"[505, 698]",FOUND,24
972,identifier,"[732, 766, 784]",FOUND,2
973,;,"[867, 1058, 1134, 1308]",FOUND,4
976,private,"[522, 410]",FOUND,4
984,double,"[505, 698]",FOUND,24
991,identifier,"[732, 766, 784]",FOUND,2
992,;,"[867, 1058, 1134, 1308]",FOUND,4
995,private,"[522, 412, 410]",FOUND,6
1003,double,"[505, 698]",FOUND,24
1010,identifier,"[732, 766, 784]",FOUND,2
1011,;,"[867, 1058, 1134, 1308]",FOUND,4
1014,enum_body_declarations_repeat1,"[522, 412, 410]",FOUND,4
1069,identifier formal_parameters,"[522, 412, 410]",FOUND,14
1086,( formal_parameter formal_parameters_repeat1 ),"[830, 788]",FOUND,3
1087,double,[471],FOUND,12
1094,identifier,"[732, 766, 782]",FOUND,1
1095,", formal_parameter","[891, 1278, 1076]",FOUND,2
1097,double,[483],FOUND,9
1104,identifier,"[732, 766, 809]",FOUND,1
1105,", formal_parameter","[866, 1278, 1212, 1115]",FOUND,2
1107,double,[483],FOUND,9
1114,identifier,"[732, 766, 809]",FOUND,1
1115,),"[866, 1278, 1212, 1106, 1115]",FOUND,1
1117,{ switch_block_statement_group_repeat2 },"[940, 1191, 1027]",FOUND,1
1121,this,[5],FOUND,1
1125,. identifier,"[630, 636, 752]",FOUND,2
1126,identifier,[815],FOUND,1
1128,= expression,"[429, 441, 636, 752]",FOUND,5
1130,identifier,[228],FOUND,1
1131,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
1135,this,"[383, 377, 11]",FOUND,1
1139,. identifier,"[562, 549, 752]",FOUND,3
1140,identifier,[811],FOUND,2
1142,= expression,"[429, 441, 549, 752]",FOUND,7
1144,identifier,[228],FOUND,1
1145,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
1149,this,"[383, 377, 7, 11]",FOUND,2
1153,. identifier,"[562, 549, 752]",FOUND,3
1154,identifier,[811],FOUND,2
1156,= expression,"[429, 441, 549, 752]",FOUND,7
1158,identifier,[228],FOUND,1
1159,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
1162,},"[383, 377, 7, 11]",FOUND,3
1165,method_declaration,"[523, 544, 412, 410]",FOUND,3
1191,method_declaration,"[523, 544, 412, 410]",FOUND,3
1209,public,"[523, 544, 412, 410]",FOUND,5
1216,double,"[505, 698]",FOUND,24
1223,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1227,( ),"[867, 1058, 1134, 1308]",FOUND,2
1228,),[471],FOUND,1
1230,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1234,return expression ;,[9],FOUND,2
1241,identifier,[149],FOUND,1
1242,;,"[413, 895, 1318, 549, 729]",FOUND,3
1245,},"[315, 377, 8]",FOUND,1
1248,enum_body_declarations_repeat1,"[114, 394, 412, 410]",FOUND,4
1267,public,"[114, 394, 412, 410]",FOUND,5
1274,double,"[505, 698]",FOUND,24
1281,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1285,( ),"[867, 1058, 1134, 1308]",FOUND,2
1286,),[471],FOUND,1
1288,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1292,return expression ;,[9],FOUND,2
1299,identifier,[149],FOUND,1
1300,;,"[413, 895, 1318, 549, 729]",FOUND,3
1303,},"[315, 377, 8]",FOUND,1
1306,method_declaration,"[114, 394, 412, 410]",FOUND,3
1325,public,"[114, 394, 412, 410]",FOUND,5
1332,double,"[505, 698]",FOUND,24
1339,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1343,( ),"[867, 1058, 1134, 1308]",FOUND,2
1344,),[471],FOUND,1
1346,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1350,return expression ;,[9],FOUND,2
1357,identifier,[149],FOUND,1
1358,;,"[413, 895, 1318, 549, 729]",FOUND,3
1361,},"[315, 377, 8]",FOUND,1
1364,enum_body_declarations_repeat1,"[114, 394, 412, 410]",FOUND,4
1398,public,"[114, 394, 412, 410]",FOUND,5
1405,double,"[505, 698]",FOUND,24
1412,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1427,( ),"[867, 1058, 1134, 1308]",FOUND,2
1428,),[471],FOUND,1
1430,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1434,return expression ;,[9],FOUND,2
1441,identifier,[149],FOUND,1
1445,. identifier argument_list,"[413, 895, 1318, 549, 729]",FOUND,1
1446,identifier argument_list,"[953, 811, 1356]",FOUND,1
1449,( expression argument_list_repeat1 ),"[704, 818, 895, 1318, 429, 441, 549, 729]",FOUND,4
1450,identifier,[155],FOUND,1
1451,", expression","[413, 895, 1318, 549, 662]",FOUND,3
1453,decimal_integer_literal,[199],FOUND,3
1454,),"[561, 562, 549, 654, 1169]",FOUND,2
1456,- expression,"[512, 515, 562, 549, 729]",FOUND,20
1458,decimal_integer_literal,[234],FOUND,3
1460,* expression,"[561, 562, 549, 617, 603, 729]",FOUND,15
1462,identifier,[235],FOUND,2
1464,* expression,"[413, 895, 1318, 549, 607, 603, 617, 729]",FOUND,22
1466,identifier,[235],FOUND,2
1467,;,"[413, 895, 1318, 549, 607, 603, 617, 729]",FOUND,3
1470,},"[315, 377, 8]",FOUND,1
1473,method_declaration,"[114, 394, 412, 410]",FOUND,3
1496,public,"[114, 394, 412, 410]",FOUND,5
1503,double,"[505, 698]",FOUND,24
1510,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1518,( ),"[867, 1058, 1134, 1308]",FOUND,2
1519,),[471],FOUND,1
1521,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1525,return expression ;,[9],FOUND,2
1532,identifier argument_list,[149],FOUND,2
1547,( ),"[413, 895, 1318, 549, 729]",FOUND,7
1548,),[155],FOUND,2
1550,< expression,"[510, 563, 562, 549, 729]",FOUND,18
1552,decimal_integer_literal,[230],FOUND,1
1554,? expression : expression,"[561, 562, 549, 614, 603, 729]",FOUND,7
1556,decimal_integer_literal,[239],FOUND,4
1558,: expression,"[561, 562, 549, 728]",FOUND,5
1563,( expression ),[200],FOUND,10
1564,( expression ),[115],FOUND,15
1565,- expression,[115],NOT_FOUND,0
1566,identifier,[244],FOUND,2
1567,),"[413, 895, 1318, 549, 605, 603, 757]",FOUND,3
1569,+ expression,"[110, 562, 549, 757]",FOUND,14
1571,identifier,[234],FOUND,1
1575,. identifier argument_list,"[413, 895, 1318, 549, 617, 603, 757]",FOUND,1
1576,identifier argument_list,"[953, 811, 1356]",FOUND,1
1580,( expression ),"[704, 818, 895, 1318, 429, 441, 549, 617, 603, 757]",FOUND,2
1581,identifier,[155],FOUND,1
1585,. identifier argument_list,"[413, 895, 1318, 549, 662]",FOUND,1
1586,identifier argument_list,"[953, 811, 1356]",FOUND,1
1589,( expression argument_list_repeat1 ),"[704, 818, 895, 1318, 429, 441, 549, 662]",FOUND,6
1590,identifier,[155],FOUND,1
1591,", expression","[413, 895, 1318, 549, 662]",FOUND,3
1593,decimal_integer_literal,[199],FOUND,3
1594,),"[561, 562, 549, 654, 1169]",FOUND,2
1596,- expression,"[512, 515, 562, 549, 662]",FOUND,13
1598,decimal_integer_literal,[234],FOUND,3
1600,* expression,"[561, 562, 549, 617, 603, 662]",FOUND,8
1602,identifier,[235],FOUND,2
1604,* expression,"[413, 895, 1318, 549, 607, 603, 617, 662]",FOUND,13
1606,identifier,[235],FOUND,2
1607,),"[413, 895, 1318, 549, 607, 603, 617, 662]",FOUND,2
1608,),"[506, 515, 562, 549, 617, 603, 757]",FOUND,3
1610,/ expression,"[110, 562, 549, 615, 603, 729]",FOUND,21
1612,( expression ),[235],FOUND,3
1613,decimal_integer_literal,[115],FOUND,23
1615,* expression,"[561, 562, 549, 757]",FOUND,19
1617,identifier,[235],FOUND,2
1618,),"[413, 895, 1318, 549, 607, 603, 757]",FOUND,3
1619,;,"[110, 562, 549, 607, 603, 615, 729]",FOUND,3
1622,},"[315, 377, 8]",FOUND,1
1625,method_declaration,"[114, 394, 412, 410]",FOUND,3
1648,public,"[114, 394, 412, 410]",FOUND,5
1655,double,"[505, 698]",FOUND,24
1662,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1670,( ),"[867, 1058, 1134, 1308]",FOUND,2
1671,),[471],FOUND,1
1673,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1677,return expression ;,[9],FOUND,2
1684,identifier argument_list,[149],FOUND,2
1699,( ),"[413, 895, 1318, 549, 729]",FOUND,7
1700,),[155],FOUND,2
1702,< expression,"[510, 563, 562, 549, 729]",FOUND,18
1704,decimal_integer_literal,[230],FOUND,1
1706,? expression : expression,"[561, 562, 549, 614, 603, 729]",FOUND,7
1708,decimal_integer_literal,[239],FOUND,4
1710,: expression,"[561, 562, 549, 728]",FOUND,5
1715,( expression ),[200],FOUND,10
1716,( expression ),[115],FOUND,15
1717,- expression,[115],NOT_FOUND,0
1718,identifier,[244],FOUND,2
1719,),"[413, 895, 1318, 549, 605, 603, 757]",FOUND,3
1721,- expression,"[110, 562, 549, 757]",FOUND,22
1723,identifier,[234],FOUND,1
1727,. identifier argument_list,"[413, 895, 1318, 549, 617, 603, 757]",FOUND,1
1728,identifier argument_list,"[953, 811, 1356]",FOUND,1
1732,( expression ),"[704, 818, 895, 1318, 429, 441, 549, 617, 603, 757]",FOUND,2
1733,identifier,[155],FOUND,1
1737,. identifier argument_list,"[413, 895, 1318, 549, 662]",FOUND,1
1738,identifier argument_list,"[953, 811, 1356]",FOUND,1
1741,( expression argument_list_repeat1 ),"[704, 818, 895, 1318, 429, 441, 549, 662]",FOUND,6
1742,identifier,[155],FOUND,1
1743,", expression","[413, 895, 1318, 549, 662]",FOUND,3
1745,decimal_integer_literal,[199],FOUND,3
1746,),"[561, 562, 549, 654, 1169]",FOUND,2
1748,- expression,"[512, 515, 562, 549, 662]",FOUND,13
1750,decimal_integer_literal,[234],FOUND,3
1752,* expression,"[561, 562, 549, 617, 603, 662]",FOUND,8
1754,identifier,[235],FOUND,2
1756,* expression,"[413, 895, 1318, 549, 607, 603, 617, 662]",FOUND,13
1758,identifier,[235],FOUND,2
1759,),"[413, 895, 1318, 549, 607, 603, 617, 662]",FOUND,2
1760,),"[506, 515, 562, 549, 617, 603, 757]",FOUND,3
1762,/ expression,"[110, 562, 549, 615, 603, 729]",FOUND,21
1764,( expression ),[235],FOUND,3
1765,decimal_integer_literal,[115],FOUND,23
1767,* expression,"[561, 562, 549, 757]",FOUND,19
1769,identifier,[235],FOUND,2
1770,),"[413, 895, 1318, 549, 607, 603, 757]",FOUND,3
1771,;,"[110, 562, 549, 607, 603, 615, 729]",FOUND,3
1774,},"[315, 377, 8]",FOUND,1
1776,},"[114, 394, 412, 410]",FOUND,2
