Location,Ground_Truth,State_List,Coverage_Result,Rank
0,public,"[1, 1377]",FOUND,8
7,class identifier class_body,"[505, 727]",FOUND,8
13,identifier class_body,[1307],FOUND,1
40,{ enum_body_declarations_repeat1 },[896],FOUND,2
43,enum_body_declarations_repeat1 },[408],FOUND,2
63,public static,[408],FOUND,9
70,static,"[505, 698]",FOUND,4
77,void_type,"[503, 505, 698]",FOUND,1
82,identifier formal_parameters,"[766, 784]",FOUND,1
86,( formal_parameter ),"[867, 1058, 1134, 1308]",FOUND,3
87,identifier,[471],FOUND,2
93,[ ],"[720, 782]",FOUND,6
94,],[1354],FOUND,1
96,identifier,"[656, 583, 773, 766, 782]",FOUND,1
100,),"[891, 1278, 1076]",FOUND,1
102,throws _type,"[943, 887, 1059, 1117]",FOUND,3
109,identifier,[770],FOUND,1
119,{ switch_block_statement_group_repeat2 },"[720, 839, 1038, 1257, 1117]",FOUND,1
123,switch_block_statement_group_repeat2 },[9],FOUND,7
159,if parenthesized_expression statement,[9],FOUND,4
162,( expression ),[1236],FOUND,1
163,identifier,[227],FOUND,1
167,. identifier,"[413, 895, 1318, 549, 757]",FOUND,2
168,identifier,"[953, 811, 1356]",FOUND,2
175,!= expression,"[704, 818, 895, 1318, 429, 441, 549, 757]",FOUND,10
178,decimal_integer_literal,[231],FOUND,3
179,),"[561, 562, 549, 619, 603, 757]",FOUND,3
181,{ switch_block_statement_group_repeat2 },"[110, 48]",FOUND,2
186,identifier,[9],FOUND,1
192,. identifier,"[421, 775, 1318, 549, 752]",FOUND,5
193,identifier,"[953, 811, 1356]",FOUND,2
196,. identifier argument_list,"[704, 818, 775, 1318, 429, 441, 549, 752]",FOUND,1
197,identifier argument_list,"[973, 811, 1356]",FOUND,1
204,( expression ),"[707, 818, 775, 1318, 429, 441, 549, 752]",FOUND,3
210,""" string_fragment """,[155],FOUND,3
211,"string_fragment """,[978],FOUND,1
260,"""",[962],FOUND,1
261,),"[576, 526, 561, 562, 549, 662]",FOUND,2
262,;,"[506, 515, 562, 549, 752]",FOUND,2
267,identifier,"[383, 377, 8]",FOUND,3
273,. identifier argument_list,"[421, 775, 1318, 549, 752]",FOUND,1
274,identifier argument_list,"[953, 811, 1356]",FOUND,1
278,( expression ),"[704, 818, 775, 1318, 429, 441, 549, 752]",FOUND,3
279,decimal_integer_literal,[155],FOUND,4
280,),"[561, 562, 549, 662]",FOUND,2
281,;,"[506, 515, 562, 549, 752]",FOUND,2
285,},"[383, 377, 7, 8]",FOUND,1
289,statement,"[114, 377, 392, 8]",FOUND,9
326,identifier argument_list,"[114, 377, 392, 8]",FOUND,2
335,( expression ),"[421, 775, 1318, 549, 752]",FOUND,6
336,identifier,[155],FOUND,1
340,[ expression ],"[413, 895, 1318, 549, 662]",FOUND,10
341,decimal_integer_literal,"[1354, 240]",FOUND,2
342,],"[561, 562, 549, 735]",FOUND,3
343,),"[434, 441, 549, 662]",FOUND,2
344,;,"[506, 563, 562, 549, 752]",FOUND,2
348,identifier argument_list,"[383, 377, 7, 8]",FOUND,2
357,( expression ),"[421, 775, 1318, 549, 752]",FOUND,6
358,identifier,[155],FOUND,1
362,[ expression ],"[413, 895, 1318, 549, 662]",FOUND,10
