Location,Ground_Truth,State_List,Coverage_Result,Rank
961,public,"[1, 1377]",FOUND,5
968,class identifier class_body,"[505, 727]",FOUND,8
974,identifier class_body,[1307],FOUND,1
979,{ enum_body_declarations_repeat1 },[896],FOUND,2
982,private,[408],FOUND,7
990,double,"[505, 698]",FOUND,24
997,identifier,"[732, 766, 784]",FOUND,2
1015,;,"[867, 1058, 1134, 1308]",FOUND,4
1018,private,"[522, 410]",FOUND,4
1026,int,"[505, 698]",FOUND,11
1030,identifier,"[742, 766, 784]",FOUND,2
1043,;,"[867, 1058, 1134, 1308]",FOUND,4
1046,private,"[522, 412, 410]",FOUND,6
1054,double,"[505, 698]",FOUND,24
1061,identifier,"[732, 766, 784]",FOUND,2
1071,;,"[867, 1058, 1134, 1308]",FOUND,4
1074,private,"[522, 412, 410]",FOUND,6
1082,identifier . identifier,"[505, 698]",FOUND,20
1086,. identifier,"[827, 784]",FOUND,10
1087,identifier,[953],FOUND,1
1091,. identifier,"[704, 709, 784]",FOUND,3
1092,identifier,[973],FOUND,1
1097,identifier,"[707, 709, 784]",FOUND,2
1105,;,"[867, 1058, 1134, 1308]",FOUND,4
1108,enum_body_declarations_repeat1,"[522, 412, 410]",FOUND,4
1137,public,"[522, 412, 410]",FOUND,5
1144,identifier formal_parameters,"[505, 698]",FOUND,10
1148,( ),"[827, 784]",FOUND,8
1149,),[471],FOUND,1
1151,{ explicit_constructor_invocation },"[942, 1191, 1017]",FOUND,1
1155,this argument_list ;,[5],FOUND,4
1159,( expression argument_list_repeat1 ),"[630, 636, 752]",FOUND,4
1160,decimal_floating_point_literal,[155],FOUND,19
1163,", expression","[561, 562, 549, 662]",FOUND,3
1165,decimal_integer_literal,[199],FOUND,3
1166,", expression","[561, 562, 549, 654, 1169]",FOUND,3
1168,decimal_integer_literal,[199],FOUND,3
1172,),"[561, 562, 549, 654, 1009, 1169]",FOUND,2
1173,;,"[512, 1338]",FOUND,1
1176,},"[400, 10]",FOUND,1
1179,constructor_declaration,"[523, 572, 412, 410]",FOUND,15
1283,public,"[523, 572, 412, 410]",FOUND,5
1290,identifier formal_parameters,"[505, 698]",FOUND,10
1294,( formal_parameter formal_parameters_repeat1 ),"[827, 784]",FOUND,4
1295,double,[471],FOUND,12
1302,identifier,"[732, 766, 782]",FOUND,1
1320,", formal_parameter","[891, 1278, 1076]",FOUND,2
1322,int,[483],FOUND,6
1326,identifier,"[742, 766, 809]",FOUND,1
1339,", formal_parameter","[866, 1278, 1212, 1115]",FOUND,2
1343,double,[483],FOUND,9
1350,identifier,"[732, 766, 809]",FOUND,1
1360,),"[866, 1278, 1212, 1106, 1115]",FOUND,1
1362,{ switch_block_statement_group_repeat2 },"[940, 1191, 1017]",FOUND,2
1366,identifier argument_list,[5],FOUND,7
1387,( expression ),"[421, 775, 1318, 636, 752]",FOUND,4
1388,identifier,[155],FOUND,1
1406,),"[413, 895, 1318, 549, 662]",FOUND,2
1407,;,"[506, 563, 562, 636, 752]",FOUND,1
1411,identifier argument_list,"[383, 377, 11]",FOUND,5
1427,( expression ),"[421, 775, 1318, 549, 752]",FOUND,6
1428,identifier,[155],FOUND,1
1441,),"[413, 895, 1318, 549, 662]",FOUND,2
1442,;,"[506, 563, 562, 549, 752]",FOUND,2
1446,identifier argument_list,"[383, 377, 7, 11]",FOUND,7
1459,( expression ),"[421, 775, 1318, 549, 752]",FOUND,6
1460,identifier,[155],FOUND,1
1470,),"[413, 895, 1318, 549, 662]",FOUND,2
1471,;,"[506, 563, 562, 549, 752]",FOUND,2
1475,identifier = expression,"[383, 377, 7, 11]",FOUND,5
1484,= expression,"[421, 775, 1318, 549, 752]",FOUND,7
1486,new scoped_type_identifier argument_list,[228],FOUND,24
1490,identifier . identifier,[785],FOUND,13
1494,. identifier,[853],FOUND,7
1495,identifier,[953],FOUND,1
1499,. identifier,"[704, 854]",FOUND,1
1500,identifier,[973],FOUND,1
1504,( ),"[707, 854]",FOUND,4
1505,),[155],FOUND,2
1506,;,"[510, 502, 550, 562, 549, 618, 603, 752]",FOUND,2
1509,},"[383, 377, 7, 11]",FOUND,3
1512,enum_body_declarations_repeat1,"[523, 572, 412, 410]",FOUND,4
1547,public,"[523, 572, 412, 410]",FOUND,5
1554,double,"[505, 698]",FOUND,24
1561,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1582,( ),"[867, 1058, 1134, 1308]",FOUND,2
1583,),[471],FOUND,1
1585,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1589,return expression ;,[9],FOUND,2
1596,identifier,[149],FOUND,1
1614,;,"[413, 895, 1318, 549, 729]",FOUND,3
1617,},"[315, 377, 8]",FOUND,1
1620,method_declaration,"[114, 394, 412, 410]",FOUND,3
1659,public,"[114, 394, 412, 410]",FOUND,5
1666,void_type,"[505, 698]",FOUND,1
1671,identifier formal_parameters,"[766, 784]",FOUND,1
1692,( formal_parameter ),"[867, 1058, 1134, 1308]",FOUND,3
1693,double,[471],FOUND,12
1700,identifier,"[732, 766, 782]",FOUND,1
1718,),"[891, 1278, 1076]",FOUND,1
1724,throws _type,"[943, 887, 1059, 1117]",FOUND,3
1731,identifier,[770],FOUND,1
1756,{ switch_block_statement_group_repeat2 },"[720, 839, 1038, 1257, 1117]",FOUND,1
1760,if parenthesized_expression statement,[9],FOUND,4
1763,( expression ),[1236],FOUND,1
1764,identifier,[227],FOUND,1
1783,<= expression,"[413, 895, 1318, 549, 757]",FOUND,25
1786,decimal_integer_literal,[230],FOUND,1
1787,),"[561, 562, 549, 614, 603, 757]",FOUND,3
1789,{ statement },"[110, 48]",FOUND,1
1794,throw expression ;,[9],FOUND,9
1800,new identifier argument_list,[193],FOUND,1
1804,identifier argument_list,[785],FOUND,1
1828,( expression ),[853],FOUND,1
1834,""" string_fragment """,[155],FOUND,3
1835,"string_fragment """,[978],FOUND,1
1878,"""",[962],FOUND,1
1879,),"[576, 526, 561, 562, 549, 662]",FOUND,2
1880,;,"[506, 501, 550, 562, 549, 731]",FOUND,5
1884,},"[319, 377, 8]",FOUND,1
1888,this,"[114, 377, 392, 8]",FOUND,21
1892,. identifier,"[562, 549, 752]",FOUND,3
1893,identifier,[811],FOUND,2
1912,= expression,"[429, 441, 549, 752]",FOUND,7
1914,identifier,[228],FOUND,1
1932,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
1935,},"[383, 377, 7, 8]",FOUND,1
1938,enum_body_declarations_repeat1,"[114, 394, 412, 410]",FOUND,4
1968,public,"[114, 394, 412, 410]",FOUND,5
1975,int,"[505, 698]",FOUND,11
