Location,Ground_Truth,State_List,Coverage_Result,Rank
914,public,"[1, 1377]",FOUND,5
921,class identifier superclass class_body,"[505, 727]",FOUND,6
927,identifier superclass class_body,[1307],FOUND,2
939,extends _type,[896],FOUND,1
947,identifier,[764],FOUND,1
963,{ enum_body_declarations_repeat1 },"[720, 839, 1086, 963]",FOUND,4
966,private,[408],FOUND,7
974,double,"[505, 698]",FOUND,24
981,identifier,"[732, 766, 784]",FOUND,2
986,;,"[867, 1058, 1134, 1308]",FOUND,4
989,private,"[522, 410]",FOUND,4
997,double,"[505, 698]",FOUND,24
1004,identifier,"[732, 766, 784]",FOUND,2
1009,;,"[867, 1058, 1134, 1308]",FOUND,4
1012,private,"[522, 412, 410]",FOUND,6
1020,double,"[505, 698]",FOUND,24
1027,identifier,"[732, 766, 784]",FOUND,2
1032,;,"[867, 1058, 1134, 1308]",FOUND,4
1035,constructor_declaration,"[522, 412, 410]",FOUND,15
1078,public,"[522, 412, 410]",FOUND,5
1085,identifier formal_parameters,"[505, 698]",FOUND,10
1093,( ),"[827, 784]",FOUND,8
1094,),[471],FOUND,1
1096,{ statement },"[942, 1191, 1017]",FOUND,4
1100,identifier = expression,[5],FOUND,5
1106,= expression,"[421, 775, 1318, 636, 752]",FOUND,5
1108,identifier = expression,[228],FOUND,30
1114,= expression,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,27
1116,identifier = expression,[228],FOUND,30
1122,= expression,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,27
1124,decimal_floating_point_literal,[228],FOUND,26
1127,;,"[561, 562, 549, 618, 603, 752]",FOUND,2
1130,},"[383, 377, 11]",FOUND,2
1133,enum_body_declarations_repeat1,"[523, 572, 412, 410]",FOUND,4
1201,public,"[523, 572, 412, 410]",FOUND,5
1208,identifier formal_parameters,"[505, 698]",FOUND,10
1216,( formal_parameter formal_parameters_repeat1 ),"[827, 784]",FOUND,4
1217,double,[471],FOUND,12
1224,identifier,"[732, 766, 782]",FOUND,1
1229,", formal_parameter","[891, 1278, 1076]",FOUND,2
1231,double,[483],FOUND,9
1238,identifier,"[732, 766, 809]",FOUND,1
1243,", formal_parameter","[866, 1278, 1212, 1115]",FOUND,2
1245,double,[483],FOUND,9
1252,identifier,"[732, 766, 809]",FOUND,1
1257,),"[866, 1278, 1212, 1106, 1115]",FOUND,1
1262,throws _type,"[940, 1191, 1017]",FOUND,7
1269,identifier,[770],FOUND,1
1294,{ switch_block_statement_group_repeat2 },"[720, 839, 1038, 1259]",FOUND,9
1298,if parenthesized_expression statement,[5],FOUND,9
1301,( expression ),[1236],FOUND,1
1302,identifier,[227],FOUND,1
1308,+ expression,"[413, 895, 1318, 549, 757]",FOUND,21
1310,identifier,[234],FOUND,1
1316,<= expression,"[413, 895, 1318, 549, 617, 603, 757]",FOUND,26
1319,identifier,[230],FOUND,2
1325,|| expression,"[413, 895, 1318, 549, 614, 603, 757]",FOUND,14
1333,identifier,[233],FOUND,1
1339,+ expression,"[413, 895, 1318, 549, 625, 603, 757]",FOUND,21
1341,identifier,[234],FOUND,1
1347,<= expression,"[413, 895, 1318, 549, 617, 603, 625, 757]",FOUND,26
1350,identifier,[230],FOUND,2
1356,|| expression,"[413, 895, 1318, 549, 614, 603, 625, 757]",FOUND,14
1364,identifier,[233],FOUND,1
1370,+ expression,"[413, 895, 1318, 549, 625, 603, 757]",FOUND,21
1372,identifier,[234],FOUND,1
1378,<= expression,"[413, 895, 1318, 549, 617, 603, 625, 757]",FOUND,26
1381,identifier,[230],FOUND,2
1386,),"[413, 895, 1318, 549, 614, 603, 625, 757]",FOUND,3
1392,throw expression ;,"[110, 48]",FOUND,8
1398,new identifier argument_list,[193],FOUND,1
1402,identifier argument_list,[785],FOUND,1
1426,( expression argument_list_repeat1 ),[853],FOUND,3
1427,identifier,[155],FOUND,1
1432,", expression","[413, 895, 1318, 549, 662]",FOUND,3
1434,identifier,[199],FOUND,1
1439,", expression","[413, 895, 1318, 549, 654, 1169]",FOUND,3
1441,identifier,[199],FOUND,1
1446,),"[413, 895, 1318, 549, 654, 1009, 1169]",FOUND,2
1447,;,"[512, 501, 550, 562, 549, 731]",FOUND,5
1451,this,"[319, 377, 392, 11]",FOUND,2
1455,. identifier,"[562, 549, 752]",FOUND,3
1456,identifier,[811],FOUND,2
1462,= expression,"[429, 441, 549, 752]",FOUND,7
1464,identifier,[228],FOUND,1
1469,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
1473,this,"[383, 377, 7, 11]",FOUND,2
1477,. identifier,"[562, 549, 752]",FOUND,3
1478,identifier,[811],FOUND,2
1484,= expression,"[429, 441, 549, 752]",FOUND,7
1486,identifier,[228],FOUND,1
1491,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
1495,this,"[383, 377, 7, 11]",FOUND,2
1499,. identifier,"[562, 549, 752]",FOUND,3
1500,identifier,[811],FOUND,2
1506,= expression,"[429, 441, 549, 752]",FOUND,7
1508,identifier,[228],FOUND,1
1513,;,"[413, 895, 1318, 549, 618, 603, 752]",FOUND,2
1516,},"[383, 377, 7, 11]",FOUND,3
1519,method_declaration,"[523, 521, 412, 410]",FOUND,3
1541,public,"[523, 521, 412, 410]",FOUND,5
1548,double,"[505, 698]",FOUND,24
1555,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1563,( ),"[867, 1058, 1134, 1308]",FOUND,2
1564,),[471],FOUND,1
1566,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1570,return expression ;,[9],FOUND,2
1577,identifier,[149],FOUND,1
1582,;,"[413, 895, 1318, 549, 729]",FOUND,3
1585,},"[315, 377, 8]",FOUND,1
1588,enum_body_declarations_repeat1,"[114, 394, 412, 410]",FOUND,4
1610,public,"[114, 394, 412, 410]",FOUND,5
1617,double,"[505, 698]",FOUND,24
1624,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1632,( ),"[867, 1058, 1134, 1308]",FOUND,2
1633,),[471],FOUND,1
1635,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1639,return expression ;,[9],FOUND,2
1646,identifier,[149],FOUND,1
1651,;,"[413, 895, 1318, 549, 729]",FOUND,3
1654,},"[315, 377, 8]",FOUND,1
1657,method_declaration,"[114, 394, 412, 410]",FOUND,3
1679,public,"[114, 394, 412, 410]",FOUND,5
1686,double,"[505, 698]",FOUND,24
1693,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1701,( ),"[867, 1058, 1134, 1308]",FOUND,2
1702,),[471],FOUND,1
1704,{ statement },"[942, 887, 1059, 1117]",FOUND,2
1708,return expression ;,[9],FOUND,2
1715,identifier,[149],FOUND,1
1720,;,"[413, 895, 1318, 549, 729]",FOUND,3
1723,},"[315, 377, 8]",FOUND,1
1726,enum_body_declarations_repeat1,"[114, 394, 412, 410]",FOUND,4
1764,public,"[114, 394, 412, 410]",FOUND,5
1771,double,"[505, 698]",FOUND,24
1778,identifier formal_parameters,"[732, 766, 784]",FOUND,1
1785,( ),"[867, 1058, 1134, 1308]",FOUND,2
1786,),[471],FOUND,1
1788,{ switch_block_statement_group_repeat2 },"[942, 887, 1059, 1117]",FOUND,1
1792,double,[9],FOUND,31
1799,identifier,"[732, 766, 775, 1318]",FOUND,1
1801,= expression,"[866, 1058, 1134, 1369]",FOUND,1
1803,( expression ),[146],FOUND,14
1804,identifier,[115],FOUND,2
1810,+ expression,"[415, 701, 1037, 549, 757]",FOUND,16
1812,identifier,[234],FOUND,1
1818,+ expression,"[413, 895, 1318, 549, 617, 603, 757]",FOUND,21
1820,identifier,[234],FOUND,1
1825,),"[413, 895, 1318, 549, 617, 603, 757]",FOUND,3
