Location,Ground_Truth,State_List,Coverage_Result,Rank
0,import scoped_identifier ;,"[1, 1377]",FOUND,6
7,identifier . identifier,[894],FOUND,1
13,. identifier,[1205],FOUND,1
14,identifier,[1103],FOUND,1
23,. identifier,"[474, 1205]",FOUND,1
24,identifier,[1103],FOUND,1
33,;,"[474, 1205]",FOUND,2
35,import scoped_identifier ;,"[372, 288, 377, 3, 1377]",FOUND,1
42,identifier . identifier,[894],FOUND,1
48,. identifier,[1205],FOUND,1
49,identifier,[1103],FOUND,1
58,. identifier,"[474, 1205]",FOUND,1
59,identifier,[1103],FOUND,1
67,;,"[474, 1205]",FOUND,2
69,import scoped_identifier ;,"[372, 288, 377, 2, 3, 1377]",FOUND,1
76,identifier . identifier,[894],FOUND,1
82,. identifier,[1205],FOUND,1
83,identifier,[1103],FOUND,1
92,. identifier,"[474, 1205]",FOUND,1
93,identifier,[1103],FOUND,1
101,;,"[474, 1205]",FOUND,2
103,import scoped_identifier ;,"[372, 288, 377, 2, 3, 1377]",FOUND,1
110,identifier . identifier,[894],FOUND,1
116,. identifier,[1205],FOUND,1
117,identifier,[1103],FOUND,1
128,. identifier,"[474, 1205]",FOUND,1
129,identifier,[1103],FOUND,1
140,;,"[474, 1205]",FOUND,2
142,import scoped_identifier ;,"[372, 288, 377, 2, 3, 1377]",FOUND,1
149,identifier . identifier,[894],FOUND,1
155,. identifier,[1205],FOUND,1
156,identifier,[1103],FOUND,1
161,. identifier,"[474, 1205]",FOUND,1
162,identifier,[1103],FOUND,1
167,;,"[474, 1205]",FOUND,2
169,import scoped_identifier ;,"[372, 288, 377, 2, 3, 1377]",FOUND,1
176,identifier . identifier,[894],FOUND,1
182,. identifier,[1205],FOUND,1
183,identifier,[1103],FOUND,1
188,. identifier,"[474, 1205]",FOUND,1
189,identifier,[1103],FOUND,1
194,. identifier,"[474, 1205]",FOUND,1
195,identifier,[1103],FOUND,1
204,;,"[474, 1205]",FOUND,2
206,import scoped_identifier ;,"[372, 288, 377, 2, 3, 1377]",FOUND,1
213,identifier . identifier,[894],FOUND,1
219,. identifier,[1205],FOUND,1
220,identifier,[1103],FOUND,1
225,. identifier,"[474, 1205]",FOUND,1
226,identifier,[1103],FOUND,1
231,. identifier,"[474, 1205]",FOUND,1
232,identifier,[1103],FOUND,1
237,;,"[474, 1205]",FOUND,2
239,import scoped_identifier ;,"[372, 288, 377, 2, 3, 1377]",FOUND,1
246,identifier . identifier,[894],FOUND,1
252,. identifier,[1205],FOUND,1
253,identifier,[1103],FOUND,1
258,. identifier,"[474, 1205]",FOUND,1
259,identifier,[1103],FOUND,1
265,. identifier,"[474, 1205]",FOUND,1
266,identifier,[1103],FOUND,1
