Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 1786]",FOUND,1
12,. identifier,"[531, 686, 823, 1140]",FOUND,1
13,identifier,[1507],FOUND,1
17,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
19,( pattern formal_parameters_repeat1 ),[231],FOUND,26
20,identifier,[119],FOUND,1
24,", pattern","[536, 589, 875, 1370, 1139]",FOUND,3
26,identifier,"[252, 124]",FOUND,1
29,),"[501, 589, 690, 1224, 1817, 1139, 533, 979, 1474, 1486, 1138]",FOUND,2
31,=> statement_block,"[538, 552, 686, 719, 746, 823, 1140, 1660, 1849]",FOUND,15
34,{ program_repeat1 },[167],FOUND,2
37,if parenthesized_expression statement,[4],FOUND,4
40,( expression ),[1668],FOUND,1
41,identifier,[195],FOUND,1
45,. identifier,"[501, 589, 857, 1139]",FOUND,1
46,identifier,[1503],FOUND,1
53,!= expression,"[494, 507, 589, 857, 1139]",FOUND,19
56,number,[261],FOUND,5
58,|| expression,"[646, 589, 679, 602, 857]",FOUND,10
61,identifier,[254],FOUND,1
65,[ expression ],"[501, 589, 672, 602, 857, 1139]",FOUND,3
66,number,[181],FOUND,2
67,],"[646, 589, 860]",FOUND,2
68,. identifier,"[500, 507, 589, 672, 602, 857, 1139]",FOUND,1
69,identifier,[1503],FOUND,1
74,!= expression,"[494, 507, 589, 672, 602, 857, 1139]",FOUND,19
77,' string_fragment ',[261],FOUND,4
78,string_fragment ',[1369],FOUND,1
82,',[1363],FOUND,1
83,),"[614, 646, 589, 679, 602, 672, 857]",FOUND,2
85,{ statement } _automatic_semicolon,"[524, 57]",FOUND,1
89,throw expression ;,[2],FOUND,14
95,new primary_expression arguments,[174],FOUND,1
99,identifier,[192],FOUND,1
110,( expression ),"[529, 657, 682, 818, 1138]",FOUND,1
111,' string_fragment ',[123],FOUND,3
112,string_fragment ',[1369],FOUND,1
126,',[1363],FOUND,1
127,),"[614, 646, 589, 847]",FOUND,2
128,;,"[747, 700, 682, 818]",FOUND,1
131,} _automatic_semicolon,"[439, 471, 18]",FOUND,1
134,let variable_declarator ;,"[384, 471, 411, 22, 369]",FOUND,20
138,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
146,= expression,"[1311, 1385]",FOUND,1
148,identifier,[273],FOUND,1
152,[ expression ],"[543, 686, 855, 1425, 1385, 1140]",FOUND,5
153,number,[189],FOUND,2
154,],"[646, 589, 849]",FOUND,2
155,. identifier,"[534, 552, 686, 855, 1425, 1385, 1140]",FOUND,1
156,identifier,[1507],FOUND,1
160,;,"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,3
163,let variable_declarator ;,"[476, 419, 471, 9, 22]",FOUND,18
167,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
173,= expression,"[1311, 1385]",FOUND,1
175,identifier,[273],FOUND,1
183,( expression array_repeat1 ),"[543, 686, 855, 1425, 1385, 1140]",FOUND,6
184,identifier,[123],FOUND,1
188,[ expression ],"[501, 589, 847, 1139]",FOUND,5
189,number,[181],FOUND,2
190,],"[646, 589, 860]",FOUND,2
191,", expression","[500, 507, 589, 847, 1139]",FOUND,3
193,identifier,"[127, 1465]",FOUND,2
196,),"[501, 589, 845, 1465, 1139]",FOUND,2
197,;,"[800, 797, 740, 686, 855, 1425, 1385]",FOUND,2
201,for ( lexical_declaration expression ; expression ) statement,"[476, 419, 471, 9, 22]",FOUND,31
205,( lexical_declaration expression ; expression ) statement,[1498],FOUND,3
206,let variable_declarator ;,[112],FOUND,4
210,identifier _initializer,"[488, 589, 842, 1139]",FOUND,7
216,= expression,"[1202, 1385, 1649]",FOUND,5
218,identifier,[273],FOUND,1
221,;,"[543, 686, 855, 1425, 1385, 1140]",FOUND,2
223,identifier,"[476, 141]",FOUND,1
228,; expression ) statement,"[501, 589, 863, 1139]",FOUND,7
230,identifier = expression,[149],FOUND,4
236,= expression,"[501, 589, 831, 1139]",FOUND,9
238,identifier,[249],FOUND,1
244,. identifier,"[501, 589, 660, 602, 831, 1139]",FOUND,1
245,identifier,[1503],FOUND,1
259,( expression ),"[494, 507, 589, 660, 602, 831, 1139]",FOUND,13
260,identifier,[125],FOUND,1
265,),"[501, 589, 859, 1139]",FOUND,2
266,) statement,"[634, 637, 646, 589, 660, 602, 831]",FOUND,6
268,{ statement } _automatic_semicolon,[47],FOUND,1
272,if parenthesized_expression statement,[2],FOUND,5
275,( expression ),[1668],FOUND,1
276,identifier,[195],FOUND,1
282,. identifier,"[501, 589, 857, 1139]",FOUND,1
283,identifier,[1503],FOUND,1
292,. identifier,"[494, 507, 589, 857, 1139]",FOUND,1
293,identifier,[1503],FOUND,1
307,. identifier,"[494, 507, 589, 857, 1139]",FOUND,1
308,identifier,[1503],FOUND,1
312,( expression array_repeat1 ),"[494, 507, 589, 857, 1139]",FOUND,15
