Location,Ground_Truth,State_List,Coverage_Result,Rank
0,const variable_declarator ;,"[1, 1786]",FOUND,6
6,identifier _initializer,[1199],FOUND,1
16,= expression,"[1311, 1385]",FOUND,1
18,[ expression array_repeat1 ],[273],FOUND,13
21,{ pair object_repeat1 },[111],FOUND,7
23,identifier,[856],FOUND,1
27,: expression,"[1220, 1407]",FOUND,1
29,' string_fragment ',[132],FOUND,3
30,string_fragment ',[1369],FOUND,1
41,',[1363],FOUND,1
42,", pair","[614, 646, 589, 941, 1458]",FOUND,2
44,identifier,"[989, 1422]",FOUND,1
50,: expression,"[1397, 1422, 1448]",FOUND,1
52,number,[227],FOUND,3
56,", pair","[646, 589, 941, 1516, 1422]",FOUND,2
58,identifier,"[989, 1417, 1422]",FOUND,1
63,: expression,"[1397, 1417, 1422, 1448]",FOUND,1
65,' string_fragment ',[227],FOUND,4
66,string_fragment ',[1369],FOUND,1
74,',[1363],FOUND,1
76,},"[614, 646, 589, 941, 1516, 1417, 1422]",FOUND,3
77,", expression","[617, 646, 589, 841]",FOUND,6
80,{ pair object_repeat1 },"[127, 1483]",FOUND,5
82,identifier,[865],FOUND,1
86,: expression,"[1212, 1407]",FOUND,1
88,' string_fragment ',[132],FOUND,3
89,string_fragment ',[1369],FOUND,1
96,',[1363],FOUND,1
97,", pair","[614, 646, 589, 941, 1458]",FOUND,2
99,identifier,"[989, 1422]",FOUND,1
105,: expression,"[1397, 1422, 1448]",FOUND,1
107,number,[227],FOUND,3
111,", pair","[646, 589, 941, 1516, 1422]",FOUND,2
113,identifier,"[989, 1417, 1422]",FOUND,1
118,: expression,"[1397, 1417, 1422, 1448]",FOUND,1
120,' string_fragment ',[227],FOUND,4
121,string_fragment ',[1369],FOUND,1
126,',[1363],FOUND,1
128,},"[614, 646, 589, 941, 1516, 1417, 1422]",FOUND,3
129,", expression","[617, 646, 589, 845, 1483]",FOUND,3
132,{ pair object_repeat1 },"[127, 1354, 1483]",FOUND,5
134,identifier,[865],FOUND,1
138,: expression,"[1212, 1407]",FOUND,1
140,' string_fragment ',[132],FOUND,3
141,string_fragment ',[1369],FOUND,1
151,',[1363],FOUND,1
152,", pair","[614, 646, 589, 941, 1458]",FOUND,2
154,identifier,"[989, 1422]",FOUND,1
160,: expression,"[1397, 1422, 1448]",FOUND,1
162,number,[227],FOUND,3
166,", pair","[646, 589, 941, 1516, 1422]",FOUND,2
168,identifier,"[989, 1417, 1422]",FOUND,1
173,: expression,"[1397, 1417, 1422, 1448]",FOUND,1
175,' string_fragment ',[227],FOUND,4
176,string_fragment ',[1369],FOUND,1
181,',[1363],FOUND,1
183,},"[614, 646, 589, 941, 1516, 1417, 1422]",FOUND,3
184,", expression","[617, 646, 589, 845, 1354, 1483]",FOUND,3
187,{ pair object_repeat1 },"[127, 1354, 1483]",FOUND,5
189,identifier,[865],FOUND,1
193,: expression,"[1212, 1407]",FOUND,1
195,' string_fragment ',[132],FOUND,3
196,string_fragment ',[1369],FOUND,1
207,',[1363],FOUND,1
208,", pair","[614, 646, 589, 941, 1458]",FOUND,2
210,identifier,"[989, 1422]",FOUND,1
216,: expression,"[1397, 1422, 1448]",FOUND,1
218,number,[227],FOUND,3
221,", pair","[646, 589, 941, 1516, 1422]",FOUND,2
