Location,Ground_Truth,State_List,Coverage_Result,Rank
0,function identifier formal_parameters statement_block _automatic_semicolon,"[1, 1786]",FOUND,5
9,identifier formal_parameters statement_block _automatic_semicolon,[1336],FOUND,1
15,( pattern ),[1675],FOUND,1
16,identifier,[126],FOUND,1
20,),"[533, 589, 979, 1370, 1138]",FOUND,2
22,{ program_repeat1 } _automatic_semicolon,"[1659, 1672]",FOUND,1
25,let variable_declarator ;,[23],FOUND,18
29,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
34,= expression,"[1311, 1385]",FOUND,1
36,identifier,[273],FOUND,1
41,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
42,identifier,[1507],FOUND,1
46,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
47,identifier,[123],FOUND,1
51,. identifier,"[501, 589, 847, 1139]",FOUND,1
52,identifier,[1503],FOUND,1
60,),"[494, 507, 589, 847, 1139]",FOUND,2
61,. identifier,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,1
62,identifier,[1507],FOUND,1
65,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
66,( pattern ),[123],FOUND,18
67,identifier,[120],FOUND,2
71,),"[536, 589, 866, 1370, 1139]",FOUND,2
73,=> statement_block,"[491, 507, 589, 847, 1139, 1659, 1763]",FOUND,5
76,{ program_repeat1 },[169],FOUND,1
80,let variable_declarator ;,[5],FOUND,9
84,identifier _initializer,"[380, 686, 823, 1407, 1140]",FOUND,41
91,= expression,"[1311, 1385]",FOUND,1
93,identifier,[273],FOUND,1
101,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
102,identifier,[1507],FOUND,1
115,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
116,' string_fragment ',[123],FOUND,3
117,string_fragment ',[1369],FOUND,1
123,',[1363],FOUND,1
124,),"[614, 646, 589, 847]",FOUND,2
125,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
129,identifier,"[476, 419, 471, 24]",FOUND,1
135,. identifier,"[531, 686, 823, 1140]",FOUND,1
136,identifier,[1507],FOUND,1
148,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
150,identifier,[231],FOUND,1
154,. identifier,"[543, 686, 719, 746, 823, 1140]",FOUND,1
155,identifier,[1507],FOUND,1
167,( expression ),"[545, 552, 686, 719, 746, 823, 1140]",FOUND,3
168,' string_fragment ',[123],FOUND,3
169,string_fragment ',[1369],FOUND,1
181,',[1363],FOUND,1
182,),"[614, 646, 589, 847]",FOUND,2
183,;,"[747, 797, 740, 686, 719, 746, 823]",FOUND,2
187,identifier,"[447, 471, 9, 24]",FOUND,1
193,. identifier,"[531, 686, 823, 1140]",FOUND,1
194,identifier,[1507],FOUND,1
210,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
211,' string_fragment ',[123],FOUND,3
212,string_fragment ',[1369],FOUND,1
217,',[1363],FOUND,1
218,", expression","[614, 646, 589, 847]",FOUND,3
220,( ),"[127, 1465]",FOUND,11
221,),[120],FOUND,1
223,=> expression,"[1538, 1763]",FOUND,2
226,identifier,[169],FOUND,3
235,( expression ),"[501, 589, 654, 646, 845, 1465, 1139]",FOUND,7
236,identifier,[125],FOUND,1
239,),"[501, 589, 859, 1139]",FOUND,2
240,),"[634, 637, 646, 589, 654, 845, 1465]",FOUND,2
241,;,"[800, 797, 740, 686, 823]",FOUND,2
245,let variable_declarator ;,"[447, 471, 9, 24]",FOUND,18
249,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
253,= expression,"[1311, 1385]",FOUND,1
255,{ identifier object_repeat1 },[273],FOUND,44
257,identifier object_repeat1 },[828],FOUND,4
261,", identifier","[1217, 1407]",FOUND,7
263,identifier,"[969, 1487, 1452]",FOUND,1
270,},"[1297, 1487, 1452, 1407]",FOUND,3
271,;,"[1218, 1790, 734, 740, 686, 855, 1425, 1385]",FOUND,2
275,return expression ;,"[476, 419, 471, 9, 24]",FOUND,9
282,identifier,"[142, 467, 471, 9, 24]",FOUND,1
285,;,"[543, 686, 822, 1140]",FOUND,2
288,},"[438, 471, 9, 24]",FOUND,2
289,),"[586, 613, 646, 589, 847, 618]",FOUND,2
290,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
294,let variable_declarator ;,"[476, 419, 471, 22]",FOUND,18
298,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
306,= expression,"[1311, 1385]",FOUND,1
308,identifier,[273],FOUND,1
316,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
317,identifier,[1507],FOUND,1
330,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
331,' string_fragment ',[123],FOUND,3
332,string_fragment ',[1369],FOUND,1
335,',[1363],FOUND,1
336,),"[614, 646, 589, 847]",FOUND,2
337,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
340,for _for_header statement,"[476, 419, 471, 9, 22]",FOUND,19
344,( let object_pattern of expression ),[1498],FOUND,57
345,let object_pattern of expression ),[112],FOUND,55
349,{ identifier },"[488, 589, 842, 1139]",FOUND,49
351,identifier },[986],FOUND,1
358,},"[1262, 1796]",FOUND,2
360,of expression ),"[1241, 1202, 1385]",FOUND,3
363,identifier,[193],FOUND,1
367,),"[501, 589, 830, 1139]",FOUND,6
369,{ statement } _automatic_semicolon,"[516, 69]",FOUND,1
373,identifier,[2],FOUND,1
380,. identifier,"[492, 686, 823, 1407, 1140]",FOUND,1
381,identifier,[1507],FOUND,1
392,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
393,identifier,[123],FOUND,1
399,),"[501, 589, 847, 1139]",FOUND,2
400,;,"[747, 797, 740, 686, 823]",FOUND,2
403,} _automatic_semicolon,"[447, 471, 18]",FOUND,1
406,identifier,"[384, 471, 429, 9, 22, 369]",FOUND,5
410,. identifier,"[531, 686, 823, 1140]",FOUND,1
411,identifier,[1507],FOUND,1
423,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
424,identifier,[123],FOUND,1
431,", expression","[501, 589, 847, 1139]",FOUND,3
433,identifier,"[127, 1465]",FOUND,2
437,. identifier,"[501, 589, 845, 1465, 1139]",FOUND,1
438,identifier,[1503],FOUND,1
448,),"[494, 507, 589, 845, 1465, 1139]",FOUND,2
449,;,"[800, 797, 740, 686, 823]",FOUND,2
