Location,Ground_Truth,State_List,Coverage_Result,Rank
0,const variable_declarator ;,"[1, 1786]",FOUND,6
6,identifier _initializer,[1199],FOUND,1
10,= expression,"[1311, 1385]",FOUND,1
12,' string_fragment ',[273],FOUND,12
13,string_fragment ',[1364],FOUND,1
50,',[1329],FOUND,1
51,;,"[687, 740, 686, 855, 1425, 1385]",FOUND,2
53,const variable_declarator ;,"[476, 419, 471, 20, 1786]",FOUND,2
59,identifier _initializer,[1199],FOUND,1
65,= expression,"[1311, 1385]",FOUND,1
67,[ expression array_repeat1 ],[273],FOUND,13
68,' string_fragment ',[111],FOUND,3
69,string_fragment ',[1369],FOUND,1
79,',[1363],FOUND,1
80,", expression","[614, 646, 589, 841]",FOUND,6
82,' string_fragment ',"[127, 1483]",FOUND,3
83,string_fragment ',[1369],FOUND,1
92,',[1363],FOUND,1
93,", expression","[614, 646, 589, 845, 1483]",FOUND,3
95,' string_fragment ',"[127, 1354, 1483]",FOUND,3
96,string_fragment ',[1369],FOUND,1
112,',[1363],FOUND,1
113,", expression","[614, 646, 589, 845, 1354, 1483]",FOUND,3
115,' string_fragment ',"[127, 1354, 1483]",FOUND,3
116,string_fragment ',[1369],FOUND,1
145,',[1363],FOUND,1
146,],"[614, 646, 589, 845, 1354, 1483]",FOUND,7
147,;,"[735, 740, 686, 855, 1425, 1385]",FOUND,2
150,async function identifier formal_parameters statement_block _automatic_semicolon,"[476, 419, 471, 9, 20, 1786]",FOUND,23
156,function identifier formal_parameters statement_block _automatic_semicolon,"[371, 686, 823, 1140]",FOUND,20
165,identifier formal_parameters statement_block _automatic_semicolon,[1386],FOUND,1
174,( ),[1663],FOUND,1
175,),[126],FOUND,2
177,{ statement } _automatic_semicolon,"[1538, 1502]",FOUND,2
180,for _for_header statement,[23],FOUND,27
184,( let identifier of expression ),[1498],FOUND,9
185,let identifier of expression ),[112],FOUND,10
189,identifier of expression ),"[488, 589, 842, 1139]",FOUND,12
194,of expression ),"[1202, 1385, 1649]",FOUND,3
197,identifier,[193],FOUND,1
202,),"[501, 589, 830, 1139]",FOUND,6
204,{ program_repeat1 } _automatic_semicolon,"[516, 69]",FOUND,2
208,let variable_declarator ;,[2],FOUND,17
212,identifier _initializer,"[370, 686, 823, 1407, 1140]",FOUND,23
217,= expression,"[1311, 1385]",FOUND,1
219,await expression,[273],FOUND,7
225,identifier,"[37, 686, 855, 1425, 1385, 1140]",FOUND,10
230,( expression array_repeat1 ),"[543, 686, 692, 746, 855, 1425, 1385, 1140]",FOUND,6
231,identifier,[123],FOUND,1
234,", expression","[501, 589, 847, 1139]",FOUND,3
236,{ pair },"[127, 1465]",FOUND,9
238,identifier,[865],FOUND,1
245,: expression,"[1212, 1407]",FOUND,1
247,{ pair },[132],FOUND,8
249,identifier,[856],FOUND,1
255,: expression,"[1220, 1407]",FOUND,1
257,identifier,[132],FOUND,4
262,},"[536, 589, 941, 1458, 1434, 1454, 1139]",FOUND,3
264,},"[639, 646, 589, 941, 1458, 1222, 1282, 1434, 1454]",FOUND,3
265,),"[639, 646, 589, 845, 1465, 1222, 1815]",FOUND,2
266,;,"[800, 797, 740, 686, 692, 746, 855, 1425, 1385]",FOUND,2
270,identifier,"[476, 419, 471, 18]",FOUND,3
277,. identifier,"[531, 686, 823, 1140]",FOUND,1
278,identifier,[1507],FOUND,1
281,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
282,` template_string_repeat1 `,[123],FOUND,14
283,${ expression },[1242],FOUND,3
285,identifier,[211],FOUND,1
289,},"[501, 589, 846, 1139]",FOUND,3
290,string_fragment,"[1375, 1244]",FOUND,3
292,${ expression },"[1375, 1244, 1233]",FOUND,2
294,await expression,[211],NOT_FOUND,0
300,identifier,"[15, 589, 846, 1139]",FOUND,9
304,. identifier,"[501, 589, 587, 602, 846, 1139]",FOUND,1
305,identifier,[1503],FOUND,1
309,( ),"[494, 507, 589, 587, 602, 846, 1139]",FOUND,12
310,),[125],FOUND,2
311,},"[601, 637, 646, 589, 587, 602, 846]",FOUND,3
312,escape_sequence,"[1375, 1233, 1244]",FOUND,4
314,`,"[1233, 1244]",FOUND,1
315,),"[599, 646, 589, 847]",FOUND,2
316,;,"[747, 797, 740, 686, 823]",FOUND,2
319,} _automatic_semicolon,"[447, 471, 9, 18]",FOUND,1
321,} _automatic_semicolon,"[384, 471, 429, 22, 369]",FOUND,2
324,identifier,"[455, 419, 471, 9, 20, 1786, 88, 94, 740, 686, 823, 89]",FOUND,6
333,( ),"[531, 686, 823, 1140]",FOUND,7
334,),[123],FOUND,2
335,;,"[728, 797, 740, 686, 823]",FOUND,2
