Location,Ground_Truth,State_List,Coverage_Result,Rank
0,const variable_declarator variable_declaration_repeat1 ;,"[1, 1786]",FOUND,71
6,identifier _initializer,[1199],FOUND,1
12,= expression,"[1311, 1385]",FOUND,1
14,number,[273],FOUND,2
16,", variable_declarator","[740, 686, 855, 1425, 1385]",FOUND,13
19,identifier _initializer,[1201],FOUND,1
26,= expression,"[1311, 1415, 1365]",FOUND,1
28,number,[273],FOUND,2
30,;,"[740, 686, 855, 1425, 1415, 1365]",FOUND,13
33,statement,"[485, 419, 471, 20, 1786]",FOUND,9
88,let variable_declarator ;,"[485, 419, 471, 20, 1786]",FOUND,12
92,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
101,= expression,"[1311, 1385]",FOUND,1
103,identifier,[273],FOUND,1
111,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
112,identifier,[1507],FOUND,1
125,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
126,' string_fragment ',[123],FOUND,3
127,string_fragment ',[1369],FOUND,1
132,',[1363],FOUND,1
133,),"[614, 646, 589, 847]",FOUND,2
134,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
136,statement,"[476, 419, 471, 9, 20, 1786]",FOUND,2
204,let variable_declarator ;,"[476, 419, 471, 9, 20, 1786]",FOUND,13
208,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
219,= expression,"[1311, 1385]",FOUND,1
221,[ ],[273],FOUND,8
222,],[111],FOUND,1
223,;,"[683, 740, 686, 855, 1425, 1385, 1790]",FOUND,2
225,for ( lexical_declaration expression ; expression ) statement,"[476, 419, 471, 9, 20, 1786]",FOUND,54
229,( lexical_declaration expression ; expression ) statement,[1498],FOUND,3
230,let variable_declarator ;,[112],FOUND,4
234,identifier _initializer,"[488, 589, 842, 1139]",FOUND,7
236,= expression,"[1202, 1385, 1649]",FOUND,5
238,number,[273],FOUND,2
239,;,"[740, 686, 855, 1425, 1385]",FOUND,2
241,identifier,"[476, 141]",FOUND,1
243,< expression,"[501, 589, 863, 1139]",FOUND,8
245,identifier,[250],FOUND,1
251,; expression ) statement,"[501, 589, 662, 602, 863, 1139]",FOUND,7
253,identifier,[149],FOUND,1
254,++,"[501, 589, 831, 1139]",FOUND,8
256,) statement,"[606, 602, 831]",FOUND,1
258,{ program_repeat1 } _automatic_semicolon,[47],FOUND,2
261,for ( lexical_declaration expression ; expression ) statement,[2],FOUND,42
265,( lexical_declaration expression ; expression ) statement,[1498],FOUND,3
266,let variable_declarator ;,[112],FOUND,4
270,identifier _initializer,"[488, 589, 842, 1139]",FOUND,7
272,= expression,"[1202, 1385, 1649]",FOUND,5
274,number,[273],FOUND,2
275,;,"[740, 686, 855, 1425, 1385]",FOUND,2
277,identifier,"[476, 141]",FOUND,1
279,< expression,"[501, 589, 863, 1139]",FOUND,8
281,identifier,[250],FOUND,1
286,; expression ) statement,"[501, 589, 662, 602, 863, 1139]",FOUND,7
288,identifier,[149],FOUND,1
289,++,"[501, 589, 831, 1139]",FOUND,8
291,) statement,"[606, 602, 831]",FOUND,1
293,{ program_repeat1 } _automatic_semicolon,[47],FOUND,2
297,let variable_declarator ;,[2],FOUND,17
301,identifier _initializer,"[370, 686, 823, 1407, 1140]",FOUND,23
305,= expression,"[1311, 1385]",FOUND,1
307,identifier,[273],FOUND,1
315,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
316,identifier,[1507],FOUND,1
329,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
330,' string_fragment ',[123],FOUND,3
331,string_fragment ',[1369],FOUND,1
336,',[1363],FOUND,1
337,),"[614, 646, 589, 847]",FOUND,2
338,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
342,identifier,"[476, 419, 471, 18]",FOUND,3
345,. identifier,"[531, 686, 823, 1140]",FOUND,1
346,identifier,[1507],FOUND,1
351,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
353,' string_fragment ',[231],FOUND,9
354,string_fragment ',[1364],FOUND,1
362,',[1329],FOUND,1
363,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
367,identifier,"[447, 471, 9, 18]",FOUND,4
375,. identifier,"[531, 686, 823, 1140]",FOUND,1
376,identifier,[1507],FOUND,1
387,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
388,identifier,[123],FOUND,1
391,),"[501, 589, 847, 1139]",FOUND,2
392,;,"[747, 797, 740, 686, 823]",FOUND,2
396,identifier,"[447, 471, 9, 18]",FOUND,4
406,. identifier,"[531, 686, 823, 1140]",FOUND,1
407,identifier,[1507],FOUND,1
411,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
412,identifier,[123],FOUND,1
415,),"[501, 589, 847, 1139]",FOUND,2
416,;,"[747, 797, 740, 686, 823]",FOUND,2
419,} _automatic_semicolon,"[447, 471, 9, 18]",FOUND,1
422,identifier,"[384, 471, 479, 18, 369]",FOUND,4
430,. identifier,"[531, 686, 823, 1140]",FOUND,1
431,identifier,[1507],FOUND,1
442,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
443,identifier,[123],FOUND,1
451,. identifier,"[501, 589, 847, 1139]",FOUND,1
452,identifier,[1503],FOUND,1
465,( expression ),"[494, 507, 589, 847, 1139]",FOUND,4
466,' string_fragment ',[125],FOUND,3
467,string_fragment ',[1369],FOUND,1
469,',[1363],FOUND,1
470,),"[614, 646, 589, 859]",FOUND,2
471,),"[634, 637, 646, 589, 847]",FOUND,2
472,;,"[747, 797, 740, 686, 823]",FOUND,2
474,} _automatic_semicolon,"[447, 471, 9, 18]",FOUND,1
477,function identifier formal_parameters statement_block _automatic_semicolon,"[384, 471, 479, 9, 20, 1786, 369]",FOUND,6
486,identifier formal_parameters statement_block _automatic_semicolon,[1336],FOUND,1
504,( ),[1675],FOUND,2
505,),[126],FOUND,2
507,{ statement } _automatic_semicolon,"[1538, 1672]",FOUND,2
510,return expression ;,[23],FOUND,1
517,identifier,"[142, 467, 471, 22]",FOUND,1
527,. identifier,"[543, 686, 822, 1140]",FOUND,1
528,identifier,[1507],FOUND,1
531,( expression ),"[545, 552, 686, 822, 1140]",FOUND,7
532,( pattern ),[123],FOUND,18
533,identifier,[120],FOUND,2
536,),"[536, 589, 866, 1370, 1139]",FOUND,2
538,=> expression,"[491, 507, 589, 847, 1139, 1659, 1763]",FOUND,8
541,identifier,[169],FOUND,3
544,. identifier,"[501, 589, 654, 646, 847, 1139]",FOUND,1
545,identifier,[1503],FOUND,1
552,),"[494, 507, 589, 654, 646, 847, 1139]",FOUND,2
553,;,"[747, 797, 740, 686, 822]",FOUND,2
555,} _automatic_semicolon,"[438, 471, 22]",FOUND,1
557,function identifier formal_parameters statement_block _automatic_semicolon,"[434, 419, 471, 9, 20, 1786, 88, 99, 740, 686, 823, 89]",FOUND,13
566,identifier formal_parameters statement_block _automatic_semicolon,[1336],FOUND,1
584,( pattern ),[1675],FOUND,1
585,identifier,[126],FOUND,1
589,),"[533, 589, 979, 1370, 1138]",FOUND,2
591,{ statement } _automatic_semicolon,"[1659, 1672]",FOUND,2
594,identifier,[23],FOUND,3
598,. identifier,"[531, 686, 823, 1140]",FOUND,1
599,identifier,[1507],FOUND,1
606,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
607,( pattern formal_parameters_repeat1 ),[123],FOUND,28
608,identifier,[120],FOUND,2
613,", pattern","[536, 589, 866, 1370, 1139]",FOUND,3
615,identifier,"[252, 124]",FOUND,1
616,),"[501, 589, 690, 1224, 1804, 1139, 533, 979, 1474, 1486, 1138]",FOUND,2
618,=> expression,"[491, 507, 589, 847, 1139, 1660, 1763]",FOUND,8
621,( expression ),[169],FOUND,4
622,identifier,[120],FOUND,2
632,[ expression ],"[536, 589, 866, 1370, 1139]",FOUND,4
633,identifier,[181],FOUND,1
634,],"[501, 589, 860, 1139]",FOUND,2
635,. identifier,"[500, 557, 589, 866, 1370, 1139]",FOUND,1
636,identifier,[1503],FOUND,1
644,= expression,"[494, 557, 589, 866, 1370, 1139]",FOUND,9
646,identifier,"[249, 293]",FOUND,1
651,),"[501, 589, 660, 602, 866, 824, 1426, 1139]",FOUND,3
652,),"[491, 507, 589, 654, 646, 847, 1139, 1659, 1763]",FOUND,2
653,;,"[747, 797, 740, 686, 823]",FOUND,2
655,} _automatic_semicolon,"[447, 471, 22]",FOUND,1
657,function identifier formal_parameters statement_block _automatic_semicolon,"[434, 419, 471, 9, 20, 1786, 88, 99, 740, 686, 823, 89]",FOUND,13
666,identifier formal_parameters statement_block _automatic_semicolon,[1336],FOUND,1
676,( ),[1675],FOUND,2
677,),[126],FOUND,2
679,{ program_repeat1 } _automatic_semicolon,"[1538, 1672]",FOUND,1
682,let variable_declarator ;,[23],FOUND,18
686,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
693,= expression,"[1311, 1385]",FOUND,1
695,[ ],[273],FOUND,8
696,],[111],FOUND,1
697,;,"[683, 740, 686, 855, 1425, 1385, 1790]",FOUND,2
700,for ( lexical_declaration expression ; expression ) statement,"[476, 419, 471, 22]",FOUND,31
704,( lexical_declaration expression ; expression ) statement,[1498],FOUND,3
705,let variable_declarator ;,[112],FOUND,4
709,identifier _initializer,"[488, 589, 842, 1139]",FOUND,7
711,= expression,"[1202, 1385, 1649]",FOUND,5
713,number,[273],FOUND,2
714,;,"[740, 686, 855, 1425, 1385]",FOUND,2
716,identifier,"[476, 141]",FOUND,1
718,< expression,"[501, 589, 863, 1139]",FOUND,8
720,identifier,[250],FOUND,1
726,* expression,"[501, 589, 662, 602, 863, 1139]",NOT_FOUND,0
728,identifier,[251],FOUND,2
734,; expression ) statement,"[501, 589, 669, 602, 662, 863, 1139]",FOUND,7
736,identifier,[149],FOUND,1
737,++,"[501, 589, 831, 1139]",FOUND,8
739,) statement,"[606, 602, 831]",FOUND,1
741,{ statement } _automatic_semicolon,[47],FOUND,1
745,identifier,[2],FOUND,1
751,. identifier,"[492, 686, 823, 1407, 1140]",FOUND,1
752,identifier,[1507],FOUND,1
