Location,Ground_Truth,State_List,Coverage_Result,Rank
0,const variable_declarator ;,"[1, 1786]",FOUND,6
6,{ identifier },[1199],FOUND,2
8,identifier },[986],FOUND,1
21,},"[1262, 1796]",FOUND,2
23,= expression,"[1241, 1311, 1385]",FOUND,1
25,identifier,[273],FOUND,1
32,( expression ),"[543, 686, 855, 1425, 1385, 1140]",FOUND,3
33,' string_fragment ',[123],FOUND,3
34,string_fragment ',[1369],FOUND,1
38,',[1363],FOUND,1
39,),"[614, 646, 589, 847]",FOUND,2
40,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
43,const variable_declarator ;,"[476, 419, 471, 20, 1786]",FOUND,2
49,identifier _initializer,[1199],FOUND,1
57,= expression,"[1311, 1385]",FOUND,1
59,identifier,[273],FOUND,1
65,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
66,identifier,[1507],FOUND,1
72,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
73,null,[123],FOUND,25
77,),"[646, 589, 847]",FOUND,2
78,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
81,identifier,"[476, 419, 471, 9, 20, 1786]",FOUND,1
93,( expression ),"[531, 686, 823, 1140]",FOUND,3
94,( pattern formal_parameters_repeat1 ),[123],FOUND,28
95,identifier,[120],FOUND,2
102,", pattern","[536, 589, 866, 1370, 1139]",FOUND,3
104,identifier,"[252, 124]",FOUND,1
112,),"[501, 589, 690, 1224, 1804, 1139, 533, 979, 1474, 1486, 1138]",FOUND,2
114,=> statement_block,"[491, 507, 589, 847, 1139, 1660, 1763]",FOUND,5
117,{ program_repeat1 },[169],FOUND,1
120,let variable_declarator ;,[5],FOUND,9
124,identifier _initializer,"[380, 686, 823, 1407, 1140]",FOUND,41
132,= expression,"[1311, 1385]",FOUND,1
134,identifier,[273],FOUND,1
141,[ expression ],"[543, 686, 855, 1425, 1385, 1140]",FOUND,5
142,identifier,[189],FOUND,1
149,. identifier,"[501, 589, 849, 1139]",FOUND,1
150,identifier,[1503],FOUND,1
156,],"[494, 507, 589, 849, 1139]",FOUND,2
158,|| expression,"[534, 552, 686, 855, 1425, 1385, 1140]",FOUND,13
161,identifier,[236],FOUND,1
171,;,"[543, 686, 753, 746, 855, 1425, 1385, 1140]",FOUND,2
174,identifier,"[476, 419, 471, 24]",FOUND,1
181,( expression ),"[531, 686, 823, 1140]",FOUND,3
182,identifier,[123],FOUND,1
189,),"[501, 589, 847, 1139]",FOUND,2
193,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
194,identifier,[1507],FOUND,1
199,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
200,( pattern ),[123],FOUND,18
201,identifier,[120],FOUND,2
206,),"[536, 589, 866, 1370, 1139]",FOUND,2
