Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class identifier class_body _automatic_semicolon,"[1, 1786]",FOUND,3
6,identifier class_body _automatic_semicolon,[1268],FOUND,1
13,{ class_body_repeat1 },[1367],FOUND,1
16,identifier,[990],FOUND,1
27,( pattern ),"[1342, 1228, 1526]",FOUND,5
28,identifier,[126],FOUND,1
35,),"[533, 589, 979, 1370, 1138]",FOUND,2
37,{ statement } _automatic_semicolon,"[1659, 1515]",FOUND,1
41,this,[27],FOUND,4
45,. identifier,"[740, 686, 823]",FOUND,1
46,identifier,[1507],FOUND,1
54,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
56,identifier,[231],FOUND,1
63,;,"[543, 686, 719, 746, 823, 1140]",FOUND,2
66,} _automatic_semicolon,"[447, 471, 26]",FOUND,1
69,identifier,"[1085, 1040, 1071, 988, 1042]",FOUND,3
72,( pattern ),"[1342, 1228, 1526]",FOUND,5
73,identifier,[126],FOUND,1
78,),"[533, 589, 979, 1370, 1138]",FOUND,2
80,{ program_repeat1 } _automatic_semicolon,"[1659, 1515]",FOUND,2
84,if parenthesized_expression statement,[27],FOUND,6
87,( expression ),[1668],FOUND,1
88,this,[195],FOUND,3
92,. identifier,"[646, 589, 857]",FOUND,1
93,identifier,[1503],FOUND,1
96,( expression ),"[494, 507, 589, 857, 1139]",FOUND,8
97,identifier,[125],FOUND,1
102,),"[501, 589, 859, 1139]",FOUND,2
103,),"[634, 637, 646, 589, 857]",FOUND,2
105,return expression ;,"[524, 57]",FOUND,5
112,this,"[142, 467, 471, 411, 26]",FOUND,3
116,;,"[740, 686, 822]",FOUND,2
120,return expression ;,"[438, 471, 411, 26]",FOUND,10
127,new primary_expression arguments,"[142, 467, 471, 9, 26]",FOUND,14
131,identifier,[192],FOUND,1
137,( expression ),"[529, 657, 682, 822, 1138]",FOUND,2
138,this,[123],FOUND,6
142,. identifier,"[646, 589, 847]",FOUND,1
143,identifier,[1503],FOUND,1
150,. identifier,"[494, 507, 589, 847, 1139]",FOUND,1
151,identifier,[1503],FOUND,1
157,( expression ),"[494, 507, 589, 847, 1139]",FOUND,4
158,[ expression ],[125],FOUND,15
159,identifier,[105],FOUND,4
164,],"[536, 589, 858, 1382, 1139]",FOUND,3
165,),"[649, 646, 589, 859, 1206, 1815]",FOUND,2
166,),"[634, 637, 646, 589, 847]",FOUND,2
167,;,"[747, 700, 682, 822]",FOUND,1
170,} _automatic_semicolon,"[438, 471, 9, 26]",FOUND,2
173,identifier,"[1085, 1040, 1071, 985, 988, 1042]",FOUND,3
179,( pattern ),"[1342, 1228, 1526]",FOUND,5
180,identifier,[126],FOUND,1
185,),"[533, 589, 979, 1370, 1138]",FOUND,2
187,{ program_repeat1 } _automatic_semicolon,"[1659, 1515]",FOUND,2
191,if parenthesized_expression statement,[27],FOUND,6
194,( expression ),[1668],FOUND,1
195,! expression,[195],FOUND,2
196,this,[244],FOUND,3
200,. identifier,"[646, 589, 588, 602, 857]",FOUND,1
201,identifier,[1503],FOUND,1
204,( expression ),"[494, 507, 589, 588, 602, 857, 1139]",FOUND,8
205,identifier,[125],FOUND,1
210,),"[501, 589, 859, 1139]",FOUND,2
211,),"[634, 637, 646, 589, 588, 602, 857]",FOUND,2
213,return expression ;,"[524, 57]",FOUND,5
220,this,"[142, 467, 471, 411, 26]",FOUND,3
224,;,"[740, 686, 822]",FOUND,2
228,return expression ;,"[438, 471, 411, 26]",FOUND,10
235,new primary_expression arguments,"[142, 467, 471, 9, 26]",FOUND,14
239,identifier,[192],FOUND,1
245,( expression ),"[529, 657, 682, 822, 1138]",FOUND,2
246,this,[123],FOUND,6
250,. identifier,"[646, 589, 847]",FOUND,1
251,identifier,[1503],FOUND,1
258,. identifier,"[494, 507, 589, 847, 1139]",FOUND,1
259,identifier,[1503],FOUND,1
265,( expression ),"[494, 507, 589, 847, 1139]",FOUND,4
266,( pattern ),[125],FOUND,12
267,identifier,[120],FOUND,2
268,),"[536, 589, 866, 1370, 1139]",FOUND,2
270,=> expression,"[491, 507, 589, 859, 1139, 1659, 1763]",FOUND,6
273,identifier,[169],FOUND,3
275,!== expression,"[501, 589, 654, 646, 859, 1139]",FOUND,24
279,identifier,[261],FOUND,2
