Location,Ground_Truth,State_List,Coverage_Result,Rank
36,let variable_declarator ;,"[1, 1786]",FOUND,9
40,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
47,= expression,"[1311, 1385]",FOUND,1
49,/ regex_pattern /,[273],FOUND,25
50,regex_pattern /,[1769],FOUND,1
93,/,[1808],FOUND,1
94,;,"[701, 740, 686, 855, 1425, 1385]",FOUND,2
96,statement,"[476, 419, 471, 20, 1786]",FOUND,9
107,for _for_header statement,"[476, 419, 471, 20, 1786]",FOUND,17
111,( let identifier of expression ),[1498],FOUND,9
112,let identifier of expression ),[112],FOUND,10
116,identifier of expression ),"[488, 589, 842, 1139]",FOUND,12
120,of expression ),"[1202, 1385, 1649]",FOUND,3
123,[ expression array_repeat1 ],[193],FOUND,3
124,""" string_fragment """,[105],FOUND,1
125,"string_fragment """,[1357],FOUND,1
126,"""",[1361],FOUND,1
127,", expression","[614, 646, 589, 858]",FOUND,2
129,""" string_fragment ""","[127, 1429]",FOUND,3
130,"string_fragment """,[1357],FOUND,1
132,"""",[1361],FOUND,1
133,", expression","[614, 646, 589, 845, 1429]",FOUND,2
135,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
136,"string_fragment """,[1357],FOUND,1
139,"""",[1361],FOUND,1
140,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
142,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
143,"string_fragment """,[1357],FOUND,1
147,"""",[1361],FOUND,1
148,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
150,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
151,"string_fragment """,[1357],FOUND,1
153,"""",[1361],FOUND,1
154,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
156,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
157,"string_fragment """,[1357],FOUND,1
159,"""",[1361],FOUND,1
160,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
179,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
180,"string_fragment """,[1357],FOUND,1
185,"""",[1361],FOUND,1
186,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
188,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
189,"string_fragment """,[1357],FOUND,1
193,"""",[1361],FOUND,1
194,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
196,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
197,"string_fragment """,[1357],FOUND,1
202,"""",[1361],FOUND,1
203,],"[614, 646, 589, 845, 1354, 1429]",FOUND,3
204,),"[651, 646, 589, 830]",FOUND,6
206,{ statement } _automatic_semicolon,"[516, 69]",FOUND,1
210,if parenthesized_expression statement,[2],FOUND,5
213,( expression ),[1668],FOUND,1
214,! expression,[195],FOUND,2
215,identifier,[244],FOUND,1
221,. identifier,"[501, 589, 588, 602, 857, 1139]",FOUND,1
222,identifier,[1503],FOUND,1
226,( expression ),"[494, 507, 589, 588, 602, 857, 1139]",FOUND,8
227,identifier,[125],FOUND,1
230,),"[501, 589, 859, 1139]",FOUND,2
231,),"[634, 637, 646, 589, 588, 602, 857]",FOUND,2
233,{ statement } _automatic_semicolon,"[524, 57]",FOUND,1
239,identifier,[2],FOUND,1
246,. identifier,"[492, 686, 823, 1407, 1140]",FOUND,1
247,identifier,[1507],FOUND,1
250,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
251,` template_string_repeat1 `,[123],FOUND,14
252,string_fragment template_substitution,[1242],FOUND,1
269,${ expression },"[1242, 1244]",FOUND,2
271,identifier,[211],FOUND,1
274,},"[501, 589, 846, 1139]",FOUND,3
275,string_fragment,"[1375, 1233, 1244]",FOUND,3
276,`,"[1375, 1233, 1244]",FOUND,1
277,),"[599, 646, 589, 847]",FOUND,2
278,;,"[747, 797, 740, 686, 823]",FOUND,2
282,} _automatic_semicolon,"[447, 471, 18]",FOUND,1
284,} _automatic_semicolon,"[384, 471, 411, 18, 369]",FOUND,1
286,for _for_header statement,"[384, 471, 429, 9, 20, 1786, 369]",FOUND,18
290,( let identifier of expression ),[1498],FOUND,9
291,let identifier of expression ),[112],FOUND,10
295,identifier of expression ),"[488, 589, 842, 1139]",FOUND,12
299,of expression ),"[1202, 1385, 1649]",FOUND,3
302,[ expression array_repeat1 ],[193],FOUND,3
303,""" string_fragment """,[105],FOUND,1
304,"string_fragment """,[1357],FOUND,1
306,"""",[1361],FOUND,1
307,", expression","[614, 646, 589, 858]",FOUND,2
309,""" string_fragment ""","[127, 1429]",FOUND,3
310,"string_fragment """,[1357],FOUND,1
313,"""",[1361],FOUND,1
314,", expression","[614, 646, 589, 845, 1429]",FOUND,2
316,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
317,"string_fragment """,[1357],FOUND,1
322,"""",[1361],FOUND,1
323,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
325,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
326,"string_fragment """,[1357],FOUND,1
329,"""",[1361],FOUND,1
330,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
332,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
333,"string_fragment """,[1357],FOUND,1
338,"""",[1361],FOUND,1
339,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
358,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
359,"string_fragment """,[1357],FOUND,1
362,"""",[1361],FOUND,1
363,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
365,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
366,"string_fragment """,[1357],FOUND,1
369,"""",[1361],FOUND,1
370,", expression","[614, 646, 589, 845, 1354, 1429]",FOUND,2
372,""" string_fragment ""","[127, 1354, 1429]",FOUND,3
373,"string_fragment """,[1357],FOUND,1
374,"""",[1361],FOUND,1
375,],"[614, 646, 589, 845, 1354, 1429]",FOUND,3
376,),"[651, 646, 589, 830]",FOUND,6
378,{ statement } _automatic_semicolon,"[516, 69]",FOUND,1
382,if parenthesized_expression statement,[2],FOUND,5
385,( expression ),[1668],FOUND,1
386,identifier,[195],FOUND,1
392,. identifier,"[501, 589, 857, 1139]",FOUND,1
393,identifier,[1503],FOUND,1
397,( expression ),"[494, 507, 589, 857, 1139]",FOUND,8
398,identifier,[125],FOUND,1
401,),"[501, 589, 859, 1139]",FOUND,2
402,),"[634, 637, 646, 589, 857]",FOUND,2
404,{ statement } _automatic_semicolon,"[524, 57]",FOUND,1
410,identifier,[2],FOUND,1
417,. identifier,"[492, 686, 823, 1407, 1140]",FOUND,1
418,identifier,[1507],FOUND,1
421,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
422,` template_string_repeat1 `,[123],FOUND,14
423,string_fragment template_substitution,[1242],FOUND,1
445,${ expression },"[1242, 1244]",FOUND,2
447,identifier,[211],FOUND,1
450,},"[501, 589, 846, 1139]",FOUND,3
451,string_fragment,"[1375, 1233, 1244]",FOUND,3
452,`,"[1375, 1233, 1244]",FOUND,1
453,),"[599, 646, 589, 847]",FOUND,2
454,;,"[747, 797, 740, 686, 823]",FOUND,2
458,} _automatic_semicolon,"[447, 471, 18]",FOUND,1
460,} _automatic_semicolon,"[384, 471, 411, 18, 369]",FOUND,1
