Location,Ground_Truth,State_List,Coverage_Result,Rank
312,! expression,"[1, 1786]",FOUND,74
313,! expression,[224],FOUND,4
314,number,[224],FOUND,1
315,;,"[740, 686, 695, 746, 823]",FOUND,2
318,statement,"[447, 471, 20, 1786]",FOUND,9
327,! expression,"[447, 471, 20, 1786]",FOUND,32
328,! expression,[224],FOUND,4
329,number,[224],FOUND,1
330,;,"[740, 686, 695, 746, 823]",FOUND,2
333,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
341,! expression,"[447, 471, 9, 20, 1786]",FOUND,32
342,! expression,[224],FOUND,4
343,""" string_fragment """,[224],FOUND,12
344,"string_fragment """,[1339],FOUND,1
346,"""",[1328],FOUND,1
347,;,"[687, 740, 686, 695, 746, 823]",FOUND,2
350,statement,"[447, 471, 9, 20, 1786]",FOUND,2
358,! expression,"[447, 471, 9, 20, 1786]",FOUND,32
359,! expression,[224],FOUND,4
360,""" """,[224],NOT_FOUND,0
361,"""",[1339],FOUND,2
362,;,"[689, 740, 686, 695, 746, 823]",FOUND,2
365,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
374,! expression,"[447, 471, 9, 20, 1786]",FOUND,32
375,! expression,[224],FOUND,4
376,undefined,[224],NOT_FOUND,0
385,;,"[771, 686, 695, 746, 823]",FOUND,2
388,statement,"[447, 471, 9, 20, 1786]",FOUND,2
397,! expression,"[447, 471, 9, 20, 1786]",FOUND,32
398,! expression,[224],FOUND,4
399,null,[224],FOUND,45
403,;,"[740, 686, 695, 746, 823]",FOUND,2
406,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
415,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
487,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
495,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
560,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
627,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
671,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
737,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
803,number,"[447, 471, 9, 20, 1786]",FOUND,22
805,&& expression,"[740, 686, 823]",FOUND,16
808,number,[235],FOUND,10
810,;,"[740, 686, 751, 746, 823]",FOUND,2
813,statement,"[447, 471, 9, 20, 1786]",FOUND,2
819,number,"[447, 471, 9, 20, 1786]",FOUND,22
821,|| expression,"[740, 686, 823]",FOUND,11
824,number,[236],FOUND,6
826,;,"[740, 686, 753, 746, 823]",FOUND,2
829,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
834,number,"[447, 471, 9, 20, 1786]",FOUND,22
836,&& expression,"[740, 686, 823]",FOUND,16
839,number,[235],FOUND,10
841,;,"[740, 686, 751, 746, 823]",FOUND,2
