Location,Ground_Truth,State_List,Coverage_Result,Rank
67,let variable_declarator ;,"[1, 1786]",FOUND,9
71,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
78,= expression,"[1311, 1385]",FOUND,1
80,[ expression array_repeat1 ],[273],FOUND,13
81,number,[111],FOUND,5
82,", expression","[646, 589, 841]",FOUND,6
84,number,"[127, 1483]",FOUND,4
85,", expression","[646, 589, 845, 1483]",FOUND,3
87,number,"[127, 1354, 1483]",FOUND,4
88,", expression","[646, 589, 845, 1354, 1483]",FOUND,3
90,number,"[127, 1354, 1483]",FOUND,4
91,", expression","[646, 589, 845, 1354, 1483]",FOUND,3
93,number,"[127, 1354, 1483]",FOUND,4
95,", expression","[646, 589, 845, 1354, 1483]",FOUND,3
97,number,"[127, 1354, 1483]",FOUND,4
99,", expression","[646, 589, 845, 1354, 1483]",FOUND,3
101,number,"[127, 1354, 1483]",FOUND,4
103,", expression","[646, 589, 845, 1354, 1483]",FOUND,3
105,number,"[127, 1354, 1483]",FOUND,4
107,],"[646, 589, 845, 1354, 1483]",FOUND,7
108,;,"[735, 740, 686, 855, 1425, 1385]",FOUND,2
110,identifier,"[476, 419, 471, 20, 1786]",FOUND,1
116,;,"[531, 686, 823, 1140]",FOUND,2
119,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
157,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
163,[ expression ],"[531, 686, 823, 1140]",FOUND,6
164,number,[189],FOUND,2
165,],"[646, 589, 849]",FOUND,2
166,;,"[534, 552, 686, 823, 1140]",FOUND,2
169,statement,"[447, 471, 9, 20, 1786]",FOUND,2
174,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
180,[ expression ],"[531, 686, 823, 1140]",FOUND,6
181,number,[189],FOUND,2
182,],"[646, 589, 849]",FOUND,2
183,;,"[534, 552, 686, 823, 1140]",FOUND,2
186,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
191,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
197,[ expression ],"[531, 686, 823, 1140]",FOUND,6
198,number,[189],FOUND,2
199,],"[646, 589, 849]",FOUND,2
200,;,"[534, 552, 686, 823, 1140]",FOUND,2
203,statement,"[447, 471, 9, 20, 1786]",FOUND,2
216,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
222,. identifier,"[531, 686, 823, 1140]",FOUND,1
223,identifier,[1507],FOUND,1
229,;,"[545, 552, 686, 823, 1140]",FOUND,2
232,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
237,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
243,[ expression ],"[531, 686, 823, 1140]",FOUND,6
244,identifier,[189],FOUND,1
250,. identifier,"[501, 589, 849, 1139]",FOUND,1
251,identifier,[1503],FOUND,1
258,- expression,"[494, 507, 589, 849, 1139]",FOUND,10
260,number,[259],FOUND,2
261,],"[646, 589, 677, 602, 849]",FOUND,2
262,;,"[534, 552, 686, 823, 1140]",FOUND,2
265,statement,"[447, 471, 9, 20, 1786]",FOUND,2
290,statement,"[447, 471, 9, 20, 1786]",FOUND,2
296,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
302,[ expression ],"[531, 686, 823, 1140]",FOUND,6
303,number,[189],FOUND,2
304,],"[646, 589, 849]",FOUND,2
306,= expression,"[534, 552, 686, 823, 1140]",FOUND,6
308,number,[231],FOUND,2
309,;,"[740, 686, 719, 746, 823]",FOUND,2
312,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
317,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
323,[ expression ],"[531, 686, 823, 1140]",FOUND,6
324,number,[189],FOUND,2
325,],"[646, 589, 849]",FOUND,2
326,;,"[534, 552, 686, 823, 1140]",FOUND,2
329,statement,"[447, 471, 9, 20, 1786]",FOUND,2
334,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
340,[ expression ],"[531, 686, 823, 1140]",FOUND,6
341,number,[189],FOUND,2
342,],"[646, 589, 849]",FOUND,2
344,= expression,"[534, 552, 686, 823, 1140]",FOUND,6
346,number,[231],FOUND,2
348,;,"[740, 686, 719, 746, 823]",FOUND,2
351,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
423,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
429,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
435,;,"[531, 686, 823, 1140]",FOUND,2
437,statement,"[447, 471, 9, 20, 1786]",FOUND,2
479,statement,"[447, 471, 9, 20, 1786]",FOUND,2
507,let variable_declarator ;,"[447, 471, 9, 20, 1786]",FOUND,13
511,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
521,= expression,"[1311, 1385]",FOUND,1
523,[ expression array_repeat1 ],[273],FOUND,13
524,[ expression array_repeat1 ],[111],FOUND,8
525,""" """,[110],FOUND,16
526,"""",[1357],FOUND,3
527,", expression","[640, 646, 589, 858]",FOUND,2
529,""" ""","[127, 1429]",FOUND,33
530,"""",[1357],FOUND,3
531,", expression","[640, 646, 589, 845, 1429]",FOUND,2
533,""" ""","[127, 1354, 1429]",FOUND,33
534,"""",[1357],FOUND,3
535,],"[640, 646, 589, 845, 1354, 1429]",FOUND,3
536,", expression","[651, 646, 589, 841]",FOUND,6
555,[ expression array_repeat1 ],"[127, 1483]",FOUND,9
556,""" """,[105],FOUND,18
557,"""",[1357],FOUND,3
558,", expression","[640, 646, 589, 858]",FOUND,2
560,""" ""","[127, 1429]",FOUND,33
561,"""",[1357],FOUND,3
562,", expression","[640, 646, 589, 845, 1429]",FOUND,2
564,""" ""","[127, 1354, 1429]",FOUND,33
565,"""",[1357],FOUND,3
566,],"[640, 646, 589, 845, 1354, 1429]",FOUND,3
567,", expression","[651, 646, 589, 845, 1483]",FOUND,3
586,[ expression array_repeat1 ],"[127, 1354, 1483]",FOUND,9
587,""" """,[105],FOUND,18
588,"""",[1357],FOUND,3
589,", expression","[640, 646, 589, 858]",FOUND,2
591,""" ""","[127, 1429]",FOUND,33
592,"""",[1357],FOUND,3
593,", expression","[640, 646, 589, 845, 1429]",FOUND,2
595,""" ""","[127, 1354, 1429]",FOUND,33
596,"""",[1357],FOUND,3
597,],"[640, 646, 589, 845, 1354, 1429]",FOUND,3
598,],"[651, 646, 589, 845, 1354, 1483]",FOUND,7
599,;,"[735, 740, 686, 855, 1425, 1385]",FOUND,2
601,identifier,"[476, 419, 471, 9, 20, 1786]",FOUND,1
610,;,"[531, 686, 823, 1140]",FOUND,2
613,statement,"[447, 471, 9, 20, 1786]",FOUND,2
653,statement,"[447, 471, 9, 20, 1786]",FOUND,2
681,statement,"[447, 471, 9, 20, 1786]",FOUND,2
709,statement,"[447, 471, 9, 20, 1786]",FOUND,2
737,statement,"[447, 471, 9, 20, 1786]",FOUND,2
755,statement,"[447, 471, 9, 20, 1786]",FOUND,2
787,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
796,[ expression ],"[531, 686, 823, 1140]",FOUND,6
797,number,[189],FOUND,2
798,],"[646, 589, 849]",FOUND,2
799,[ expression ],"[534, 552, 686, 823, 1140]",FOUND,7
800,number,[189],FOUND,2
801,],"[646, 589, 849]",FOUND,2
803,= expression,"[534, 552, 686, 823, 1140]",FOUND,6
805,""" string_fragment """,[231],FOUND,7
806,"string_fragment """,[1339],FOUND,1
807,"""",[1328],FOUND,1
808,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
810,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
817,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
826,;,"[531, 686, 823, 1140]",FOUND,2
829,statement,"[447, 471, 9, 20, 1786]",FOUND,2
869,statement,"[447, 471, 9, 20, 1786]",FOUND,2
897,statement,"[447, 471, 9, 20, 1786]",FOUND,2
924,statement,"[447, 471, 9, 20, 1786]",FOUND,2
951,statement,"[447, 471, 9, 20, 1786]",FOUND,2
968,statement,"[447, 471, 9, 20, 1786]",FOUND,2
999,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
1008,[ expression ],"[531, 686, 823, 1140]",FOUND,6
1009,number,[189],FOUND,2
1010,],"[646, 589, 849]",FOUND,2
1011,[ expression ],"[534, 552, 686, 823, 1140]",FOUND,7
1012,number,[189],FOUND,2
1013,],"[646, 589, 849]",FOUND,2
1015,= expression,"[534, 552, 686, 823, 1140]",FOUND,6
1017,""" string_fragment """,[231],FOUND,7
1018,"string_fragment """,[1339],FOUND,1
1019,"""",[1328],FOUND,1
1020,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
1022,statement,"[447, 471, 9, 20, 1786]",FOUND,2
1029,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
1038,;,"[531, 686, 823, 1140]",FOUND,2
