Location,Ground_Truth,State_List,Coverage_Result,Rank
60,/ regex_pattern /,"[1, 1786]",FOUND,45
61,regex_pattern /,[1769],FOUND,1
63,/,[1808],FOUND,1
64,. identifier,"[701, 740, 686, 823]",FOUND,1
65,identifier,[1507],FOUND,1
69,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
70,""" string_fragment """,[123],FOUND,4
71,"string_fragment """,[1357],FOUND,1
83,"""",[1361],FOUND,1
84,),"[614, 646, 589, 847]",FOUND,2
85,;,"[747, 797, 740, 686, 823]",FOUND,2
87,statement,"[447, 471, 20, 1786]",FOUND,9
95,/ regex_pattern /,"[447, 471, 20, 1786]",FOUND,103
96,regex_pattern /,[1769],FOUND,1
98,/,[1808],FOUND,1
99,. identifier,"[701, 740, 686, 823]",FOUND,1
100,identifier,[1507],FOUND,1
104,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
105,""" string_fragment """,[123],FOUND,4
106,"string_fragment """,[1357],FOUND,1
115,"""",[1361],FOUND,1
116,),"[614, 646, 589, 847]",FOUND,2
117,;,"[747, 797, 740, 686, 823]",FOUND,2
119,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
128,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
194,/ regex_pattern /,"[447, 471, 9, 20, 1786]",FOUND,103
195,regex_pattern /,[1769],FOUND,1
198,/,[1808],FOUND,1
199,. identifier,"[701, 740, 686, 823]",FOUND,1
200,identifier,[1507],FOUND,1
204,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
205,""" string_fragment """,[123],FOUND,4
206,"string_fragment """,[1357],FOUND,1
214,"""",[1361],FOUND,1
215,),"[614, 646, 589, 847]",FOUND,2
216,;,"[747, 797, 740, 686, 823]",FOUND,2
218,statement,"[447, 471, 9, 20, 1786]",FOUND,2
225,/ regex_pattern /,"[447, 471, 9, 20, 1786]",FOUND,103
226,regex_pattern /,[1769],FOUND,1
229,/,[1808],FOUND,1
230,. identifier,"[701, 740, 686, 823]",FOUND,1
231,identifier,[1507],FOUND,1
235,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
236,""" string_fragment """,[123],FOUND,4
237,"string_fragment """,[1357],FOUND,1
244,"""",[1361],FOUND,1
245,),"[614, 646, 589, 847]",FOUND,2
246,;,"[747, 797, 740, 686, 823]",FOUND,2
248,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
256,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
323,/ regex_pattern /,"[447, 471, 9, 20, 1786]",FOUND,103
324,regex_pattern /,[1769],FOUND,1
328,/,[1808],FOUND,1
329,. identifier,"[701, 740, 686, 823]",FOUND,1
330,identifier,[1507],FOUND,1
334,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
335,""" string_fragment """,[123],FOUND,4
336,"string_fragment """,[1357],FOUND,1
338,"""",[1361],FOUND,1
339,),"[614, 646, 589, 847]",FOUND,2
340,;,"[747, 797, 740, 686, 823]",FOUND,2
342,statement,"[447, 471, 9, 20, 1786]",FOUND,2
350,/ regex_pattern /,"[447, 471, 9, 20, 1786]",FOUND,103
351,regex_pattern /,[1769],FOUND,1
355,/,[1808],FOUND,1
356,. identifier,"[701, 740, 686, 823]",FOUND,1
357,identifier,[1507],FOUND,1
361,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
362,""" string_fragment """,[123],FOUND,4
363,"string_fragment """,[1357],FOUND,1
366,"""",[1361],FOUND,1
367,),"[614, 646, 589, 847]",FOUND,2
368,;,"[747, 797, 740, 686, 823]",FOUND,2
370,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
379,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
457,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
520,/ regex_pattern /,"[447, 471, 9, 20, 1786]",FOUND,103
521,regex_pattern /,[1769],FOUND,1
533,/,[1808],FOUND,1
