Location,Ground_Truth,State_List,Coverage_Result,Rank
91,class identifier class_body _automatic_semicolon,"[1, 1786]",FOUND,3
97,identifier class_body _automatic_semicolon,[1268],FOUND,1
104,{ class_body_repeat1 },[1367],FOUND,1
110,class_body_repeat1 },[990],FOUND,14
183,identifier,[990],FOUND,1
194,( pattern formal_parameters_repeat1 ),"[1342, 1228, 1526]",FOUND,6
195,identifier,[126],FOUND,1
201,", pattern","[533, 589, 979, 1370, 1138]",FOUND,3
203,identifier,[124],FOUND,1
209,),"[533, 589, 979, 1474, 1486, 1138]",FOUND,2
211,{ program_repeat1 } _automatic_semicolon,"[1660, 1515]",FOUND,2
221,program_repeat1 } _automatic_semicolon,[27],FOUND,11
274,program_repeat1 } _automatic_semicolon,[27],FOUND,11
296,this,[27],FOUND,4
300,. identifier,"[740, 686, 823]",FOUND,1
301,identifier,[1507],FOUND,1
303,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
305,identifier,[231],FOUND,1
311,;,"[543, 686, 719, 746, 823, 1140]",FOUND,2
321,statement,"[447, 471, 26]",FOUND,8
352,this,"[447, 471, 26]",FOUND,3
356,. identifier,"[740, 686, 823]",FOUND,1
357,identifier,[1507],FOUND,1
359,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
361,identifier,[231],FOUND,1
367,;,"[543, 686, 719, 746, 823, 1140]",FOUND,2
373,} _automatic_semicolon,"[447, 471, 9, 26]",FOUND,2
444,} _automatic_semicolon,"[447, 471, 9, 26]",FOUND,2
450,class_body_repeat1,"[1085, 1040, 1071, 988, 1042]",FOUND,15
524,identifier,"[1042, 1040, 1071, 988, 1085]",FOUND,3
528,( pattern formal_parameters_repeat1 ),"[1342, 1228, 1526]",FOUND,6
529,identifier,[126],FOUND,1
531,", pattern","[533, 589, 979, 1370, 1138]",FOUND,3
533,identifier,[124],FOUND,1
535,),"[533, 589, 979, 1474, 1486, 1138]",FOUND,2
537,{ program_repeat1 } _automatic_semicolon,"[1660, 1515]",FOUND,2
547,program_repeat1 } _automatic_semicolon,[27],FOUND,11
585,this,[27],FOUND,4
589,. identifier,"[740, 686, 823]",FOUND,1
590,identifier,[1507],FOUND,1
592,+= expression,"[545, 552, 686, 823, 1140]",FOUND,18
595,identifier,[264],FOUND,2
597,;,"[543, 686, 791, 746, 823, 1140]",FOUND,2
607,this,"[447, 471, 26]",FOUND,3
611,. identifier,"[740, 686, 823]",FOUND,1
612,identifier,[1507],FOUND,1
614,+= expression,"[545, 552, 686, 823, 1140]",FOUND,18
617,identifier,[264],FOUND,2
619,;,"[543, 686, 791, 746, 823, 1140]",FOUND,2
625,} _automatic_semicolon,"[447, 471, 9, 26]",FOUND,2
627,},"[1085, 1040, 1071, 985, 988, 1042]",FOUND,2
630,let variable_declarator ;,"[465, 419, 471, 20, 1786, 86, 97, 740, 686, 823]",FOUND,27
634,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
642,= expression,"[1311, 1385]",FOUND,1
644,new primary_expression arguments,[273],FOUND,3
648,identifier,[192],FOUND,1
654,( expression array_repeat1 ),"[529, 657, 682, 855, 1425, 1385, 1138]",FOUND,5
655,number,[123],FOUND,5
656,", expression","[646, 589, 847]",FOUND,3
658,number,"[127, 1465]",FOUND,6
659,),"[646, 589, 845, 1465]",FOUND,2
660,;,"[800, 700, 682, 855, 1425, 1385]",FOUND,1
662,statement,"[476, 419, 471, 9, 20, 1786]",FOUND,2
699,identifier,"[476, 419, 471, 9, 20, 1786]",FOUND,1
706,;,"[531, 686, 823, 1140]",FOUND,2
709,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
734,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
747,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
760,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
790,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
826,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
858,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
890,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
927,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
934,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
1042,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
1049,. identifier,"[531, 686, 823, 1140]",FOUND,1
1050,identifier,[1507],FOUND,1
1051,;,"[545, 552, 686, 823, 1140]",FOUND,2
1053,statement,"[447, 471, 9, 20, 1786]",FOUND,2
1086,statement,"[447, 471, 9, 20, 1786]",FOUND,2
1091,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
1098,. identifier,"[531, 686, 823, 1140]",FOUND,1
1099,identifier,[1507],FOUND,1
1100,;,"[545, 552, 686, 823, 1140]",FOUND,2
1103,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
1108,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
1115,. identifier,"[531, 686, 823, 1140]",FOUND,1
1116,identifier,[1507],FOUND,1
1120,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
1121,number,[123],FOUND,5
1122,", expression","[646, 589, 847]",FOUND,3
1124,number,"[127, 1465]",FOUND,6
1125,),"[646, 589, 845, 1465]",FOUND,2
1126,;,"[800, 797, 740, 686, 823]",FOUND,2
1128,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
1135,. identifier,"[531, 686, 823, 1140]",FOUND,1
1136,identifier,[1507],FOUND,1
1137,;,"[545, 552, 686, 823, 1140]",FOUND,2
1139,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
1144,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
1151,. identifier,"[531, 686, 823, 1140]",FOUND,1
1152,identifier,[1507],FOUND,1
1153,;,"[545, 552, 686, 823, 1140]",FOUND,2
1156,statement,"[447, 471, 9, 20, 1786]",FOUND,2
1161,let variable_declarator ;,"[447, 471, 9, 20, 1786]",FOUND,13
1165,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
1173,= expression,"[1311, 1385]",FOUND,1
1175,new primary_expression arguments,[273],FOUND,3
1179,identifier,[192],FOUND,1
