Location,Ground_Truth,State_List,Coverage_Result,Rank
0,let variable_declarator ;,"[1, 1786]",FOUND,9
4,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
11,= expression,"[1311, 1385]",FOUND,1
13,identifier,[273],FOUND,1
21,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
22,identifier,[1507],FOUND,1
35,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
36,""" string_fragment """,[123],FOUND,4
37,"string_fragment """,[1357],FOUND,1
44,"""",[1361],FOUND,1
45,),"[614, 646, 589, 847]",FOUND,2
46,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
48,statement,"[476, 419, 471, 20, 1786]",FOUND,9
114,statement,"[476, 419, 471, 20, 1786]",FOUND,9
175,let variable_declarator ;,"[476, 419, 471, 20, 1786]",FOUND,12
179,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
183,= expression,"[1311, 1385]",FOUND,1
185,identifier,[273],FOUND,1
191,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
192,identifier,[1507],FOUND,1
202,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
203,""" string_fragment """,[123],FOUND,4
204,"string_fragment """,[1357],FOUND,1
206,"""",[1361],FOUND,1
207,),"[614, 646, 589, 847]",FOUND,2
208,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
210,program_repeat1,"[476, 419, 471, 9, 20, 1786]",FOUND,3
242,identifier,"[476, 419, 471, 9, 20, 1786]",FOUND,1
245,. identifier,"[531, 686, 823, 1140]",FOUND,1
246,identifier,[1507],FOUND,1
256,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
258,""" string_fragment """,[231],FOUND,7
259,"string_fragment """,[1339],FOUND,1
263,"""",[1328],FOUND,1
264,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
266,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
269,. identifier,"[531, 686, 823, 1140]",FOUND,1
270,identifier,[1507],FOUND,1
278,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
279,number,[123],FOUND,5
281,", expression","[646, 589, 847]",FOUND,3
283,number,"[127, 1465]",FOUND,6
285,", expression","[646, 589, 845, 1465]",FOUND,3
287,number,"[127, 1354, 1465]",FOUND,6
290,", expression","[646, 589, 845, 1354, 1465]",FOUND,3
292,number,"[127, 1354, 1465]",FOUND,6
295,),"[646, 589, 845, 1354, 1465]",FOUND,2
296,;,"[800, 797, 740, 686, 823]",FOUND,2
298,program_repeat1,"[447, 471, 9, 20, 1786]",FOUND,3
339,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
342,. identifier,"[531, 686, 823, 1140]",FOUND,1
343,identifier,[1507],FOUND,1
353,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
355,number,[231],FOUND,2
356,;,"[740, 686, 719, 746, 823]",FOUND,2
358,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
361,. identifier,"[531, 686, 823, 1140]",FOUND,1
362,identifier,[1507],FOUND,1
374,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
376,""" string_fragment """,[231],FOUND,7
377,"string_fragment """,[1339],FOUND,1
380,"""",[1328],FOUND,1
381,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
383,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
386,. identifier,"[531, 686, 823, 1140]",FOUND,1
387,identifier,[1507],FOUND,1
397,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
398,number,[123],FOUND,5
400,", expression","[646, 589, 847]",FOUND,3
402,number,"[127, 1465]",FOUND,6
404,", expression","[646, 589, 845, 1465]",FOUND,3
406,number,"[127, 1354, 1465]",FOUND,6
409,", expression","[646, 589, 845, 1354, 1465]",FOUND,3
411,number,"[127, 1354, 1465]",FOUND,6
413,),"[646, 589, 845, 1354, 1465]",FOUND,2
414,;,"[800, 797, 740, 686, 823]",FOUND,2
417,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
420,. identifier,"[531, 686, 823, 1140]",FOUND,1
421,identifier,[1507],FOUND,1
433,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
435,""" string_fragment """,[231],FOUND,7
436,"string_fragment """,[1339],FOUND,1
442,"""",[1328],FOUND,1
443,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
445,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
448,. identifier,"[531, 686, 823, 1140]",FOUND,1
449,identifier,[1507],FOUND,1
459,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
460,number,[123],FOUND,5
462,", expression","[646, 589, 847]",FOUND,3
464,number,"[127, 1465]",FOUND,6
466,", expression","[646, 589, 845, 1465]",FOUND,3
468,number,"[127, 1354, 1465]",FOUND,6
471,", expression","[646, 589, 845, 1354, 1465]",FOUND,3
473,number,"[127, 1354, 1465]",FOUND,6
475,),"[646, 589, 845, 1354, 1465]",FOUND,2
476,;,"[800, 797, 740, 686, 823]",FOUND,2
479,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
482,. identifier,"[531, 686, 823, 1140]",FOUND,1
483,identifier,[1507],FOUND,1
495,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
497,""" string_fragment """,[231],FOUND,7
498,"string_fragment """,[1339],FOUND,1
504,"""",[1328],FOUND,1
505,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
507,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
