Location,Ground_Truth,State_List,Coverage_Result,Rank
0,let variable_declarator ;,"[1, 1786]",FOUND,9
4,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
11,= expression,"[1311, 1385]",FOUND,1
13,identifier,[273],FOUND,1
21,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
22,identifier,[1507],FOUND,1
35,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
36,""" string_fragment """,[123],FOUND,4
37,"string_fragment """,[1357],FOUND,1
44,"""",[1361],FOUND,1
45,),"[614, 646, 589, 847]",FOUND,2
46,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
48,statement,"[476, 419, 471, 20, 1786]",FOUND,9
114,statement,"[476, 419, 471, 20, 1786]",FOUND,9
175,let variable_declarator ;,"[476, 419, 471, 20, 1786]",FOUND,12
179,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
183,= expression,"[1311, 1385]",FOUND,1
185,identifier,[273],FOUND,1
191,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
192,identifier,[1507],FOUND,1
202,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
203,""" string_fragment """,[123],FOUND,4
204,"string_fragment """,[1357],FOUND,1
206,"""",[1361],FOUND,1
207,),"[614, 646, 589, 847]",FOUND,2
208,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
210,program_repeat1,"[476, 419, 471, 9, 20, 1786]",FOUND,3
283,program_repeat1,"[476, 419, 471, 9, 20, 1786]",FOUND,3
361,program_repeat1,"[476, 419, 471, 9, 20, 1786]",FOUND,3
422,program_repeat1,"[476, 419, 471, 9, 20, 1786]",FOUND,3
446,identifier,"[476, 419, 471, 9, 20, 1786]",FOUND,1
449,. identifier,"[531, 686, 823, 1140]",FOUND,1
450,identifier,[1507],FOUND,1
460,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
462,""" string_fragment """,[231],FOUND,7
463,"string_fragment """,[1339],FOUND,1
466,"""",[1328],FOUND,1
467,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
469,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
472,. identifier,"[531, 686, 823, 1140]",FOUND,1
473,identifier,[1507],FOUND,1
482,( ),"[545, 552, 686, 823, 1140]",FOUND,8
483,),[123],FOUND,2
484,;,"[728, 797, 740, 686, 823]",FOUND,2
486,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
489,. identifier,"[531, 686, 823, 1140]",FOUND,1
490,identifier,[1507],FOUND,1
496,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
497,number,[123],FOUND,5
500,", expression","[646, 589, 847]",FOUND,3
502,number,"[127, 1465]",FOUND,6
505,),"[646, 589, 845, 1465]",FOUND,2
506,;,"[800, 797, 740, 686, 823]",FOUND,2
508,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
511,. identifier,"[531, 686, 823, 1140]",FOUND,1
512,identifier,[1507],FOUND,1
518,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
519,number,[123],FOUND,5
522,", expression","[646, 589, 847]",FOUND,3
524,number,"[127, 1465]",FOUND,6
526,),"[646, 589, 845, 1465]",FOUND,2
527,;,"[800, 797, 740, 686, 823]",FOUND,2
529,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
532,. identifier,"[531, 686, 823, 1140]",FOUND,1
533,identifier,[1507],FOUND,1
539,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
540,number,[123],FOUND,5
543,", expression","[646, 589, 847]",FOUND,3
545,number,"[127, 1465]",FOUND,6
548,),"[646, 589, 845, 1465]",FOUND,2
549,;,"[800, 797, 740, 686, 823]",FOUND,2
551,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
554,. identifier,"[531, 686, 823, 1140]",FOUND,1
555,identifier,[1507],FOUND,1
561,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
562,number,[123],FOUND,5
565,", expression","[646, 589, 847]",FOUND,3
567,number,"[127, 1465]",FOUND,6
570,),"[646, 589, 845, 1465]",FOUND,2
571,;,"[800, 797, 740, 686, 823]",FOUND,2
573,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
576,. identifier,"[531, 686, 823, 1140]",FOUND,1
577,identifier,[1507],FOUND,1
581,( ),"[545, 552, 686, 823, 1140]",FOUND,8
582,),[123],FOUND,2
583,;,"[728, 797, 740, 686, 823]",FOUND,2
585,statement,"[447, 471, 9, 20, 1786]",FOUND,2
613,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
616,. identifier,"[531, 686, 823, 1140]",FOUND,1
617,identifier,[1507],FOUND,1
627,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
629,""" string_fragment """,[231],FOUND,7
630,"string_fragment """,[1339],FOUND,1
635,"""",[1328],FOUND,1
636,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
638,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
641,. identifier,"[531, 686, 823, 1140]",FOUND,1
642,identifier,[1507],FOUND,1
651,( ),"[545, 552, 686, 823, 1140]",FOUND,8
652,),[123],FOUND,2
653,;,"[728, 797, 740, 686, 823]",FOUND,2
655,identifier,"[447, 471, 9, 20, 1786]",FOUND,1
658,. identifier,"[531, 686, 823, 1140]",FOUND,1
659,identifier,[1507],FOUND,1
662,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
663,number,[123],FOUND,5
666,", expression","[646, 589, 847]",FOUND,3
