Location,Ground_Truth,State_List,Coverage_Result,Rank
587,let variable_declarator ;,"[1, 1786]",FOUND,9
591,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
602,= expression,"[1311, 1385]",FOUND,1
604,identifier,[273],FOUND,1
612,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
613,identifier,[1507],FOUND,1
626,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
627,""" string_fragment """,[123],FOUND,4
628,"string_fragment """,[1357],FOUND,1
633,"""",[1361],FOUND,1
634,),"[614, 646, 589, 847]",FOUND,2
635,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
637,let variable_declarator ;,"[476, 419, 471, 20, 1786]",FOUND,12
641,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
658,= expression,"[1311, 1385]",FOUND,1
660,identifier,[273],FOUND,1
668,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
669,identifier,[1507],FOUND,1
682,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
683,""" string_fragment """,[123],FOUND,4
684,"string_fragment """,[1357],FOUND,1
692,"""",[1361],FOUND,1
693,),"[614, 646, 589, 847]",FOUND,2
694,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
696,statement,"[476, 419, 471, 9, 20, 1786]",FOUND,2
781,identifier,"[476, 419, 471, 9, 20, 1786]",FOUND,1
791,. identifier,"[531, 686, 823, 1140]",FOUND,1
792,identifier,[1507],FOUND,1
808,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
809,""" string_fragment """,[123],FOUND,4
810,"string_fragment """,[1357],FOUND,1
815,"""",[1361],FOUND,1
816,", expression","[614, 646, 589, 847]",FOUND,3
818,( ),"[127, 1465]",FOUND,11
819,),[120],FOUND,1
821,=> statement_block,"[1538, 1763]",FOUND,1
824,{ program_repeat1 },[169],FOUND,1
830,program_repeat1 },[5],FOUND,4
854,identifier,[5],FOUND,1
864,. identifier,"[499, 686, 823, 1407, 1140]",FOUND,1
865,identifier,[1507],FOUND,1
871,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
873,""" string_fragment """,[231],FOUND,7
874,"string_fragment """,[1339],FOUND,1
886,"""",[1328],FOUND,1
887,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
893,identifier,"[447, 471, 24]",FOUND,1
