Location,Ground_Truth,State_List,Coverage_Result,Rank
541,let variable_declarator ;,"[1, 1786]",FOUND,9
545,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
556,= expression,"[1311, 1385]",FOUND,1
558,identifier,[273],FOUND,1
566,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
567,identifier,[1507],FOUND,1
580,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
581,""" string_fragment """,[123],FOUND,4
582,"string_fragment """,[1357],FOUND,1
587,"""",[1361],FOUND,1
588,),"[614, 646, 589, 847]",FOUND,2
589,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
591,let variable_declarator ;,"[476, 419, 471, 20, 1786]",FOUND,12
595,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
612,= expression,"[1311, 1385]",FOUND,1
614,identifier,[273],FOUND,1
622,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
623,identifier,[1507],FOUND,1
636,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
637,""" string_fragment """,[123],FOUND,4
638,"string_fragment """,[1357],FOUND,1
646,"""",[1361],FOUND,1
647,),"[614, 646, 589, 847]",FOUND,2
648,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
650,statement,"[476, 419, 471, 9, 20, 1786]",FOUND,2
735,identifier,"[476, 419, 471, 9, 20, 1786]",FOUND,1
745,. identifier,"[531, 686, 823, 1140]",FOUND,1
746,identifier,[1507],FOUND,1
762,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
763,""" string_fragment """,[123],FOUND,4
764,"string_fragment """,[1357],FOUND,1
769,"""",[1361],FOUND,1
770,", expression","[614, 646, 589, 847]",FOUND,3
772,( ),"[127, 1465]",FOUND,11
773,),[120],FOUND,1
775,=> statement_block,"[1538, 1763]",FOUND,1
778,{ program_repeat1 },[169],FOUND,1
784,program_repeat1 },[5],FOUND,4
808,identifier,[5],FOUND,1
818,. identifier,"[499, 686, 823, 1407, 1140]",FOUND,1
819,identifier,[1507],FOUND,1
825,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
827,""" string_fragment """,[231],FOUND,7
828,"string_fragment """,[1339],FOUND,1
840,"""",[1328],FOUND,1
841,;,"[687, 740, 686, 719, 746, 823]",FOUND,2
847,identifier,"[447, 471, 24]",FOUND,1
863,. identifier,"[531, 686, 823, 1140]",FOUND,1
864,identifier,[1507],FOUND,1
870,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
872,""" """,[231],FOUND,33
873,"""",[1339],FOUND,2
874,;,"[689, 740, 686, 719, 746, 823]",FOUND,2
880,statement,"[447, 471, 9, 24]",FOUND,3
950,identifier,"[447, 471, 9, 24]",FOUND,1
954,. identifier,"[531, 686, 823, 1140]",FOUND,1
955,identifier,[1507],FOUND,1
960,( ),"[545, 552, 686, 823, 1140]",FOUND,8
961,),[123],FOUND,2
962,;,"[728, 797, 740, 686, 823]",FOUND,2
968,identifier,"[447, 471, 9, 24]",FOUND,1
972,. identifier,"[531, 686, 823, 1140]",FOUND,1
973,identifier,[1507],FOUND,1
982,. identifier,"[545, 552, 686, 823, 1140]",FOUND,1
983,identifier,[1507],FOUND,1
988,( ),"[545, 552, 686, 823, 1140]",FOUND,8
