Location,Ground_Truth,State_List,Coverage_Result,Rank
379,function identifier formal_parameters statement_block _automatic_semicolon,"[1, 1786]",FOUND,5
388,identifier formal_parameters statement_block _automatic_semicolon,[1336],FOUND,1
395,( ),[1675],FOUND,2
396,),[126],FOUND,2
398,{ program_repeat1 } _automatic_semicolon,"[1538, 1672]",FOUND,1
404,let variable_declarator ;,[23],FOUND,18
408,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
415,= expression,"[1311, 1385]",FOUND,1
417,new primary_expression arguments,[273],FOUND,3
421,identifier,[192],FOUND,1
425,. identifier,"[529, 657, 682, 855, 1425, 1385, 1138]",FOUND,12
426,identifier,[1507],FOUND,1
432,( expression ),"[545, 528, 657, 682, 855, 1425, 1385, 1138]",FOUND,2
433,{ pair object_repeat1 },[123],FOUND,7
443,identifier,[865],FOUND,1
448,: expression,"[1212, 1407]",FOUND,1
450,number,[132],FOUND,2
451,", pair","[646, 589, 941, 1458]",FOUND,2
461,pair,"[989, 1422]",FOUND,6
515,identifier,"[989, 1422]",FOUND,1
518,: expression,"[1397, 1422, 1448]",FOUND,1
520,number,[227],FOUND,3
528,},"[646, 589, 941, 1516, 1422]",FOUND,3
583,},"[646, 589, 941, 1516, 1422]",FOUND,3
584,),"[617, 646, 589, 847]",FOUND,2
585,. identifier,"[747, 700, 682, 855, 1425, 1385]",FOUND,16
586,identifier,[1507],FOUND,1
599,( ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,8
600,),[123],FOUND,2
601,;,"[728, 797, 740, 686, 855, 1425, 1385]",FOUND,2
608,let variable_declarator ;,"[476, 419, 471, 22]",FOUND,18
612,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
624,= expression,"[1311, 1385]",FOUND,1
626,new primary_expression arguments,[273],FOUND,3
630,identifier,[192],FOUND,1
634,. identifier,"[529, 657, 682, 855, 1425, 1385, 1138]",FOUND,12
635,identifier,[1507],FOUND,1
641,( expression array_repeat1 ),"[545, 528, 657, 682, 855, 1425, 1385, 1138]",FOUND,5
642,number,[123],FOUND,5
647,", expression","[646, 589, 847]",FOUND,3
649,""" string_fragment ""","[127, 1465]",FOUND,3
650,"string_fragment """,[1357],FOUND,1
658,"""",[1361],FOUND,1
659,),"[614, 646, 589, 845, 1465]",FOUND,2
660,. identifier,"[800, 700, 682, 855, 1425, 1385]",FOUND,16
661,identifier,[1507],FOUND,1
668,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
669,identifier,[123],FOUND,1
675,),"[501, 589, 847, 1139]",FOUND,2
676,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
683,let variable_declarator ;,"[476, 419, 471, 9, 22]",FOUND,18
687,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
693,= expression,"[1311, 1385]",FOUND,1
695,new primary_expression arguments,[273],FOUND,3
699,identifier,[192],FOUND,1
703,. identifier,"[529, 657, 682, 855, 1425, 1385, 1138]",FOUND,12
704,identifier,[1507],FOUND,1
714,( expression ),"[545, 528, 657, 682, 855, 1425, 1385, 1138]",FOUND,2
715,{ pair object_repeat1 },[123],FOUND,7
725,identifier,[865],FOUND,1
733,: expression,"[1212, 1407]",FOUND,1
735,{ pair object_repeat1 },[132],FOUND,5
737,identifier,[856],FOUND,1
743,: expression,"[1220, 1407]",FOUND,1
745,number,[132],FOUND,2
750,", pair","[646, 589, 941, 1458]",FOUND,2
752,identifier,"[989, 1422]",FOUND,1
757,: expression,"[1397, 1422, 1448]",FOUND,1
759,number,[227],FOUND,3
762,", pair","[646, 589, 941, 1516, 1422]",FOUND,2
764,identifier,"[989, 1417, 1422]",FOUND,1
771,: expression,"[1397, 1417, 1422, 1448]",FOUND,1
773,number,[227],FOUND,3
774,", pair","[646, 589, 941, 1516, 1417, 1422]",FOUND,2
776,identifier,"[989, 1417, 1422]",FOUND,1
783,: expression,"[1397, 1417, 1422, 1448]",FOUND,1
785,number,[227],FOUND,3
787,},"[646, 589, 941, 1516, 1417, 1422]",FOUND,3
788,", pair","[617, 646, 589, 941, 1458]",FOUND,2
798,identifier,"[989, 1422]",FOUND,1
804,: expression,"[1397, 1422, 1448]",FOUND,1
806,- expression,[227],FOUND,51
807,number,[244],FOUND,2
813,},"[646, 589, 588, 602, 941, 1516, 1422]",FOUND,3
814,),"[617, 646, 589, 847]",FOUND,2
815,. identifier,"[747, 700, 682, 855, 1425, 1385]",FOUND,16
816,identifier,[1507],FOUND,1
823,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
824,identifier,[123],FOUND,1
835,),"[501, 589, 847, 1139]",FOUND,2
836,;,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,2
843,class identifier class_body _automatic_semicolon,"[476, 419, 471, 9, 22]",FOUND,60
849,identifier class_body _automatic_semicolon,[1268],FOUND,1
855,{ class_body_repeat1 },[1367],FOUND,1
865,identifier,[990],FOUND,1
876,( ),"[1342, 1228, 1526]",FOUND,2
877,),[126],FOUND,2
879,{ program_repeat1 } _automatic_semicolon,"[1538, 1515]",FOUND,2
893,this,[27],FOUND,4
897,. identifier,"[740, 686, 823]",FOUND,1
898,identifier,[1507],FOUND,1
910,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
912,new primary_expression arguments,[231],FOUND,14
916,identifier,[192],FOUND,1
920,. identifier,"[529, 657, 682, 719, 746, 823, 1138]",FOUND,16
921,identifier,[1507],FOUND,1
927,( expression array_repeat1 ),"[545, 528, 657, 682, 719, 746, 823, 1138]",FOUND,3
928,number,[123],FOUND,5
932,", expression","[646, 589, 847]",FOUND,3
934,""" string_fragment ""","[127, 1465]",FOUND,3
935,"string_fragment """,[1357],FOUND,1
943,"""",[1361],FOUND,1
944,),"[614, 646, 589, 845, 1465]",FOUND,2
945,. identifier,"[800, 700, 682, 719, 746, 823]",FOUND,20
946,identifier,[1507],FOUND,1
953,( expression ),"[545, 552, 686, 719, 746, 823, 1140]",FOUND,3
954,identifier,[123],FOUND,1
960,),"[501, 589, 847, 1139]",FOUND,2
961,;,"[747, 797, 740, 686, 719, 746, 823]",FOUND,2
976,this,"[447, 471, 26]",FOUND,3
980,. identifier,"[740, 686, 823]",FOUND,1
981,identifier,[1507],FOUND,1
992,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
994,new primary_expression arguments,[231],FOUND,14
998,identifier,[192],FOUND,1
1002,. identifier,"[529, 657, 682, 719, 746, 823, 1138]",FOUND,16
1003,identifier,[1507],FOUND,1
1013,( expression ),"[545, 528, 657, 682, 719, 746, 823, 1138]",FOUND,2
1014,{ pair object_repeat1 },[123],FOUND,7
1032,identifier,[865],FOUND,1
1040,: expression,"[1212, 1407]",FOUND,1
1042,{ pair object_repeat1 },[132],FOUND,5
1044,identifier,[856],FOUND,1
1050,: expression,"[1220, 1407]",FOUND,1
1052,number,[132],FOUND,2
1057,", pair","[646, 589, 941, 1458]",FOUND,2
1059,identifier,"[989, 1422]",FOUND,1
1064,: expression,"[1397, 1422, 1448]",FOUND,1
1066,number,[227],FOUND,3
1069,", pair","[646, 589, 941, 1516, 1422]",FOUND,2
1071,identifier,"[989, 1417, 1422]",FOUND,1
1078,: expression,"[1397, 1417, 1422, 1448]",FOUND,1
1080,number,[227],FOUND,3
1081,", pair","[646, 589, 941, 1516, 1417, 1422]",FOUND,2
1083,identifier,"[989, 1417, 1422]",FOUND,1
1090,: expression,"[1397, 1417, 1422, 1448]",FOUND,1
1092,number,[227],FOUND,3
1094,},"[646, 589, 941, 1516, 1417, 1422]",FOUND,3
1095,", pair","[617, 646, 589, 941, 1458]",FOUND,2
1113,identifier,"[989, 1422]",FOUND,1
1119,: expression,"[1397, 1422, 1448]",FOUND,1
1121,- expression,[227],FOUND,51
1122,number,[244],FOUND,2
1137,},"[646, 589, 588, 602, 941, 1516, 1422]",FOUND,3
1138,),"[617, 646, 589, 847]",FOUND,2
1139,. identifier,"[747, 700, 682, 719, 746, 823]",FOUND,20
1140,identifier,[1507],FOUND,1
1147,( expression ),"[545, 552, 686, 719, 746, 823, 1140]",FOUND,3
1148,this,[123],FOUND,6
1152,. identifier,"[646, 589, 847]",FOUND,1
1153,identifier,[1503],FOUND,1
1164,),"[494, 507, 589, 847, 1139]",FOUND,2
1165,;,"[747, 797, 740, 686, 719, 746, 823]",FOUND,2
1180,this,"[447, 471, 9, 26]",FOUND,5
1184,. identifier,"[740, 686, 823]",FOUND,1
1185,identifier,[1507],FOUND,1
1198,= expression,"[545, 552, 686, 823, 1140]",FOUND,6
1200,new primary_expression arguments,[231],FOUND,14
1204,identifier,[192],FOUND,1
1208,. identifier,"[529, 657, 682, 719, 746, 823, 1138]",FOUND,16
1209,identifier,[1507],FOUND,1
1214,( expression ),"[545, 528, 657, 682, 719, 746, 823, 1138]",FOUND,2
1215,{ pair object_repeat1 },[123],FOUND,7
1233,identifier,[865],FOUND,1
1241,: expression,"[1212, 1407]",FOUND,1
1243,{ pair object_repeat1 },[132],FOUND,5
1245,identifier,[856],FOUND,1
1251,: expression,"[1220, 1407]",FOUND,1
1253,number,[132],FOUND,2
1259,", pair","[646, 589, 941, 1458]",FOUND,2
1261,identifier,"[989, 1422]",FOUND,1
