Location,Ground_Truth,State_List,Coverage_Result,Rank
0,let variable_declarator ;,"[1, 1786]",FOUND,9
4,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
12,= expression,"[1311, 1385]",FOUND,1
14,[ expression array_repeat1 ],[273],FOUND,13
15,number,[111],FOUND,5
16,", expression","[646, 589, 841]",FOUND,6
18,number,"[127, 1483]",FOUND,4
19,", expression","[646, 589, 845, 1483]",FOUND,3
21,number,"[127, 1354, 1483]",FOUND,4
22,", expression","[646, 589, 845, 1354, 1483]",FOUND,3
24,number,"[127, 1354, 1483]",FOUND,4
25,", expression","[646, 589, 845, 1354, 1483]",FOUND,3
27,number,"[127, 1354, 1483]",FOUND,4
28,],"[646, 589, 845, 1354, 1483]",FOUND,7
29,;,"[735, 740, 686, 855, 1425, 1385]",FOUND,2
32,identifier,"[476, 419, 471, 20, 1786]",FOUND,1
39,. identifier,"[531, 686, 823, 1140]",FOUND,1
40,identifier,[1507],FOUND,1
46,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
47,""" string_fragment """,[123],FOUND,4
48,"string_fragment """,[1357],FOUND,1
51,"""",[1361],FOUND,1
52,),"[614, 646, 589, 847]",FOUND,2
58,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
117,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
181,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
182,identifier,[1507],FOUND,1
191,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
192,""" string_fragment """,[123],FOUND,4
193,"string_fragment """,[1357],FOUND,1
199,"""",[1361],FOUND,1
200,),"[614, 646, 589, 847]",FOUND,2
206,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
280,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
281,identifier,[1507],FOUND,1
285,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
286,identifier,[123],FOUND,1
293,),"[501, 589, 847, 1139]",FOUND,2
299,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
330,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
397,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
457,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
525,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
526,identifier,[1507],FOUND,1
530,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
531,""" string_fragment """,[123],FOUND,4
532,"string_fragment """,[1357],FOUND,1
538,"""",[1361],FOUND,1
539,),"[614, 646, 589, 847]",FOUND,2
545,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
546,identifier,[1507],FOUND,1
550,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
551,""" string_fragment """,[123],FOUND,4
552,"string_fragment """,[1357],FOUND,1
554,"""",[1361],FOUND,1
555,", expression","[614, 646, 589, 847]",FOUND,3
557,( pattern formal_parameters_repeat1 ),"[127, 1465]",FOUND,29
558,identifier,[120],FOUND,2
559,", pattern","[536, 589, 866, 1370, 1139]",FOUND,3
561,identifier,"[252, 124]",FOUND,1
562,),"[501, 589, 690, 1224, 1804, 1139, 533, 979, 1474, 1486, 1138]",FOUND,2
564,=> expression,"[491, 507, 589, 845, 1465, 1139, 1660, 1763]",FOUND,6
567,( expression ),[169],FOUND,4
568,identifier,[120],FOUND,2
570,+ expression,"[536, 589, 866, 1370, 1139]",FOUND,18
572,number,[259],FOUND,2
573,),"[646, 589, 677, 602, 866]",FOUND,3
575,* expression,"[491, 507, 589, 654, 646, 845, 1465, 1139]",FOUND,31
577,number,[251],FOUND,1
579,),"[646, 589, 669, 602, 654, 845, 1465]",FOUND,2
585,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
586,identifier,[1507],FOUND,1
590,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
591,""" string_fragment """,[123],FOUND,4
592,"string_fragment """,[1357],FOUND,1
594,"""",[1361],FOUND,1
595,", expression","[614, 646, 589, 847]",FOUND,3
597,number,"[127, 1465]",FOUND,6
599,),"[646, 589, 845, 1465]",FOUND,2
605,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
606,identifier,[1507],FOUND,1
610,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
611,""" string_fragment """,[123],FOUND,4
612,"string_fragment """,[1357],FOUND,1
613,"""",[1361],FOUND,1
614,", expression","[614, 646, 589, 847]",FOUND,3
616,( pattern formal_parameters_repeat1 ),"[127, 1465]",FOUND,29
617,identifier,[120],FOUND,2
618,", pattern","[536, 589, 866, 1370, 1139]",FOUND,3
620,identifier,"[252, 124]",FOUND,1
621,),"[501, 589, 690, 1224, 1804, 1139, 533, 979, 1474, 1486, 1138]",FOUND,2
623,=> expression,"[491, 507, 589, 845, 1465, 1139, 1660, 1763]",FOUND,6
626,identifier,[169],FOUND,3
628,* expression,"[501, 589, 654, 646, 845, 1465, 1139]",FOUND,33
630,number,[251],FOUND,1
631,),"[646, 589, 669, 602, 654, 845, 1465]",FOUND,2
632,;,"[800, 797, 740, 686, 823]",FOUND,2
