Location,Ground_Truth,State_List,Coverage_Result,Rank
0,let variable_declarator ;,"[1, 1786]",FOUND,9
4,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
12,= expression,"[1311, 1385]",FOUND,1
14,[ expression array_repeat1 ],[273],FOUND,13
15,number,[111],FOUND,5
16,", expression","[646, 589, 841]",FOUND,6
18,number,"[127, 1483]",FOUND,4
19,", expression","[646, 589, 845, 1483]",FOUND,3
21,number,"[127, 1354, 1483]",FOUND,4
22,],"[646, 589, 845, 1354, 1483]",FOUND,7
23,;,"[735, 740, 686, 855, 1425, 1385]",FOUND,2
26,function identifier formal_parameters statement_block _automatic_semicolon,"[476, 419, 471, 20, 1786]",FOUND,3
35,identifier formal_parameters statement_block _automatic_semicolon,[1336],FOUND,1
41,( pattern ),[1675],FOUND,1
42,identifier,[126],FOUND,1
46,),"[533, 589, 979, 1370, 1138]",FOUND,2
48,{ statement } _automatic_semicolon,"[1659, 1672]",FOUND,2
54,identifier,[23],FOUND,3
65,. identifier,"[531, 686, 823, 1140]",FOUND,1
66,identifier,[1507],FOUND,1
72,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
73,""" string_fragment """,[123],FOUND,4
74,"string_fragment """,[1357],FOUND,1
77,"""",[1361],FOUND,1
78,),"[614, 646, 589, 847]",FOUND,2
88,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
151,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
219,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
220,identifier,[1507],FOUND,1
229,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
230,""" string_fragment """,[123],FOUND,4
231,"string_fragment """,[1357],FOUND,1
237,"""",[1361],FOUND,1
238,),"[614, 646, 589, 847]",FOUND,2
248,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
326,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
327,identifier,[1507],FOUND,1
331,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
332,identifier,[123],FOUND,1
336,),"[501, 589, 847, 1139]",FOUND,2
346,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
381,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
452,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
516,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
588,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
589,identifier,[1507],FOUND,1
593,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
594,""" string_fragment """,[123],FOUND,4
595,"string_fragment """,[1357],FOUND,1
601,"""",[1361],FOUND,1
602,),"[614, 646, 589, 847]",FOUND,2
612,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
613,identifier,[1507],FOUND,1
617,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
618,""" string_fragment """,[123],FOUND,4
619,"string_fragment """,[1357],FOUND,1
621,"""",[1361],FOUND,1
622,", expression","[614, 646, 589, 847]",FOUND,3
624,( pattern formal_parameters_repeat1 ),"[127, 1465]",FOUND,29
625,identifier,[120],FOUND,2
626,", pattern","[536, 589, 866, 1370, 1139]",FOUND,3
628,identifier,"[252, 124]",FOUND,1
629,),"[501, 589, 690, 1224, 1804, 1139, 533, 979, 1474, 1486, 1138]",FOUND,2
631,=> expression,"[491, 507, 589, 845, 1465, 1139, 1660, 1763]",FOUND,6
634,( expression ),[169],FOUND,4
635,identifier,[120],FOUND,2
637,+ expression,"[536, 589, 866, 1370, 1139]",FOUND,18
639,number,[259],FOUND,2
640,),"[646, 589, 677, 602, 866]",FOUND,3
642,* expression,"[491, 507, 589, 654, 646, 845, 1465, 1139]",FOUND,31
644,number,[251],FOUND,1
646,),"[646, 589, 669, 602, 654, 845, 1465]",FOUND,2
656,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
657,identifier,[1507],FOUND,1
661,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
662,""" string_fragment """,[123],FOUND,4
663,"string_fragment """,[1357],FOUND,1
665,"""",[1361],FOUND,1
666,", expression","[614, 646, 589, 847]",FOUND,3
668,number,"[127, 1465]",FOUND,6
670,),"[646, 589, 845, 1465]",FOUND,2
680,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
681,identifier,[1507],FOUND,1
685,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
686,""" string_fragment """,[123],FOUND,4
687,"string_fragment """,[1357],FOUND,1
688,"""",[1361],FOUND,1
689,", expression","[614, 646, 589, 847]",FOUND,3
691,( pattern formal_parameters_repeat1 ),"[127, 1465]",FOUND,29
692,identifier,[120],FOUND,2
693,", pattern","[536, 589, 866, 1370, 1139]",FOUND,3
695,identifier,"[252, 124]",FOUND,1
696,),"[501, 589, 690, 1224, 1804, 1139, 533, 979, 1474, 1486, 1138]",FOUND,2
698,=> expression,"[491, 507, 589, 845, 1465, 1139, 1660, 1763]",FOUND,6
701,identifier,[169],FOUND,3
703,* expression,"[501, 589, 654, 646, 845, 1465, 1139]",FOUND,33
705,number,[251],FOUND,1
706,),"[646, 589, 669, 602, 654, 845, 1465]",FOUND,2
707,;,"[800, 797, 740, 686, 823]",FOUND,2
709,} _automatic_semicolon,"[447, 471, 22]",FOUND,1
712,identifier,"[434, 419, 471, 9, 20, 1786, 88, 99, 740, 686, 823, 89]",FOUND,6
718,( expression ),"[531, 686, 823, 1140]",FOUND,3
719,identifier,[123],FOUND,1
726,),"[501, 589, 847, 1139]",FOUND,2
727,;,"[747, 797, 740, 686, 823]",FOUND,2
