Location,Ground_Truth,State_List,Coverage_Result,Rank
0,let variable_declarator ;,"[1, 1786]",FOUND,9
4,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
12,= expression,"[1311, 1385]",FOUND,1
14,[ expression array_repeat1 ],[273],FOUND,13
15,number,[111],FOUND,5
16,", expression","[646, 589, 841]",FOUND,6
18,number,"[127, 1483]",FOUND,4
19,", expression","[646, 589, 845, 1483]",FOUND,3
21,number,"[127, 1354, 1483]",FOUND,4
22,],"[646, 589, 845, 1354, 1483]",FOUND,7
23,;,"[735, 740, 686, 855, 1425, 1385]",FOUND,2
26,function identifier formal_parameters statement_block _automatic_semicolon,"[476, 419, 471, 20, 1786]",FOUND,3
35,identifier formal_parameters statement_block _automatic_semicolon,[1336],FOUND,1
41,( pattern ),[1675],FOUND,1
42,identifier,[126],FOUND,1
46,),"[533, 589, 979, 1370, 1138]",FOUND,2
48,{ statement } _automatic_semicolon,"[1659, 1672]",FOUND,2
54,identifier,[23],FOUND,3
65,. identifier,"[531, 686, 823, 1140]",FOUND,1
66,identifier,[1507],FOUND,1
72,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
73,""" string_fragment """,[123],FOUND,4
74,"string_fragment """,[1357],FOUND,1
77,"""",[1361],FOUND,1
78,),"[614, 646, 589, 847]",FOUND,2
88,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
151,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
219,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
220,identifier,[1507],FOUND,1
229,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
230,""" string_fragment """,[123],FOUND,4
231,"string_fragment """,[1357],FOUND,1
237,"""",[1361],FOUND,1
238,),"[614, 646, 589, 847]",FOUND,2
248,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
327,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
414,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
507,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
612,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
676,. identifier,"[747, 797, 740, 686, 823]",FOUND,1
677,identifier,[1507],FOUND,1
681,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
682,identifier,[123],FOUND,1
686,", expression","[501, 589, 847, 1139]",FOUND,3
688,identifier => expression,"[127, 1465]",FOUND,32
690,=> expression,"[501, 589, 845, 1465, 1139]",FOUND,9
693,identifier,[168],FOUND,1
694,),"[501, 589, 661, 646, 845, 1465, 1139]",FOUND,2
704,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
739,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
810,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
874,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
946,. identifier,"[800, 797, 740, 686, 823]",FOUND,1
947,identifier,[1507],FOUND,1
951,( expression array_repeat1 ),"[545, 552, 686, 823, 1140]",FOUND,4
965,expression array_repeat1 ),[123],FOUND,50
999,expression array_repeat1 ),[123],FOUND,50
1098,identifier => expression,[123],FOUND,22
1104,=> expression,"[501, 589, 847, 1139]",FOUND,12
1107,identifier,[168],FOUND,1
1129,. identifier,"[501, 589, 661, 646, 847, 1139]",FOUND,1
1130,identifier,[1503],FOUND,1
1136,( expression ),"[494, 507, 589, 661, 646, 847, 1139]",FOUND,4
1137,""" string_fragment """,[125],FOUND,4
1138,"string_fragment """,[1357],FOUND,1
1144,"""",[1361],FOUND,1
1145,),"[614, 646, 589, 859]",FOUND,2
1163,. identifier,"[634, 637, 646, 589, 661, 847]",FOUND,1
1249,. identifier,"[634, 637, 646, 589, 661, 847]",FOUND,1
1250,identifier,[1503],FOUND,1
1254,( expression array_repeat1 ),"[494, 507, 589, 661, 646, 847, 1139]",FOUND,9
1255,""" string_fragment """,[125],FOUND,4
1256,"string_fragment """,[1357],FOUND,1
1258,"""",[1361],FOUND,1
1259,", expression","[614, 646, 589, 859]",FOUND,3
1261,( pattern formal_parameters_repeat1 ),"[127, 1455]",FOUND,28
1262,identifier,[120],FOUND,2
1263,", pattern","[536, 589, 866, 1370, 1139]",FOUND,3
1265,identifier,"[252, 124]",FOUND,1
1266,),"[501, 589, 690, 1224, 1804, 1139, 533, 979, 1474, 1486, 1138]",FOUND,2
1268,=> expression,"[491, 507, 589, 845, 1455, 1139, 1660, 1763]",FOUND,6
1271,( expression ),[169],FOUND,4
1272,identifier,[120],FOUND,2
1274,+ expression,"[536, 589, 866, 1370, 1139]",FOUND,18
1276,number,[259],FOUND,2
1277,),"[646, 589, 677, 602, 866]",FOUND,3
1279,* expression,"[491, 507, 589, 654, 646, 845, 1455, 1139]",FOUND,29
1281,number,[251],FOUND,1
1283,),"[646, 589, 669, 602, 654, 845, 1455]",FOUND,2
1301,. identifier,"[638, 637, 646, 589, 661, 847]",FOUND,1
1302,identifier,[1503],FOUND,1
1306,( expression array_repeat1 ),"[494, 507, 589, 661, 646, 847, 1139]",FOUND,9
1307,""" string_fragment """,[125],FOUND,4
1308,"string_fragment """,[1357],FOUND,1
1310,"""",[1361],FOUND,1
1311,", expression","[614, 646, 589, 859]",FOUND,3
1313,number,"[127, 1455]",FOUND,4
1315,),"[646, 589, 845, 1455]",FOUND,2
1333,. identifier,"[638, 637, 646, 589, 661, 847]",FOUND,1
1383,. identifier,"[638, 637, 646, 589, 661, 847]",FOUND,1
1384,identifier,[1503],FOUND,1
1388,( expression array_repeat1 ),"[494, 507, 589, 661, 646, 847, 1139]",FOUND,9
