Location,Ground_Truth,State_List,Coverage_Result,Rank
247,const variable_declarator ;,"[1, 1786]",FOUND,6
253,identifier _initializer,[1199],FOUND,1
259,= expression,"[1311, 1385]",FOUND,1
261,number,[273],FOUND,2
264,;,"[740, 686, 855, 1425, 1385]",FOUND,2
266,const variable_declarator ;,"[476, 419, 471, 20, 1786]",FOUND,2
272,identifier _initializer,[1199],FOUND,1
279,= expression,"[1311, 1385]",FOUND,1
281,number,[273],FOUND,2
284,;,"[740, 686, 855, 1425, 1385]",FOUND,2
286,program_repeat1,"[476, 419, 471, 9, 20, 1786]",FOUND,3
336,const variable_declarator _automatic_semicolon,"[476, 419, 471, 9, 20, 1786]",FOUND,7
342,identifier _initializer,[1199],FOUND,1
353,= expression,"[1311, 1385]",FOUND,1
355,""" string_repeat1 """,[273],FOUND,55
356,string_fragment escape_sequence,[1339],FOUND,4
357,escape_sequence,[1328],FOUND,2
359,string_fragment,"[1395, 1328]",FOUND,3
361,"""","[1395, 1328]",FOUND,5
364,let variable_declarator ;,"[476, 419, 471, 9, 20, 1786, 687, 740, 686, 855, 1425, 1385]",FOUND,26
368,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
375,= expression,"[1311, 1385]",FOUND,1
377,{ pair object_repeat1 },[273],FOUND,5
378,identifier,[828],FOUND,1
381,: expression,"[1217, 1407]",FOUND,1
383,number,[132],FOUND,2
385,", pair","[646, 589, 941, 1406]",FOUND,6
387,identifier,"[989, 1441]",FOUND,1
392,: expression,"[1397, 1441, 1448]",FOUND,1
394,number,[227],FOUND,3
396,", pair","[646, 589, 941, 1516, 1441]",FOUND,2
398,identifier,"[989, 1417, 1441]",FOUND,1
404,: expression,"[1397, 1417, 1441, 1448]",FOUND,1
406,number,[227],FOUND,3
408,", pair","[646, 589, 941, 1516, 1417, 1441]",FOUND,2
410,identifier,"[989, 1417, 1441]",FOUND,1
414,: expression,"[1397, 1417, 1441, 1448]",FOUND,1
416,number,[227],FOUND,3
418,},"[646, 589, 941, 1516, 1417, 1441]",FOUND,4
419,;,"[697, 740, 686, 855, 1425, 1385]",FOUND,2
421,program_repeat1,"[476, 419, 471, 9, 20, 1786]",FOUND,3
456,let variable_declarator ;,"[476, 419, 471, 9, 20, 1786]",FOUND,13
460,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
464,= expression,"[1311, 1385]",FOUND,1
466,identifier,[273],FOUND,1
473,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
474,identifier,[1507],FOUND,1
480,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
481,""" string_fragment """,[123],FOUND,4
482,"string_fragment """,[1357],FOUND,1
486,"""",[1361],FOUND,1
487,),"[614, 646, 589, 847]",FOUND,2
493,. identifier,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,1
494,identifier,[1507],FOUND,1
500,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
501,""" string_fragment """,[123],FOUND,4
502,"string_fragment """,[1357],FOUND,1
505,"""",[1361],FOUND,1
506,),"[614, 646, 589, 847]",FOUND,2
512,. identifier,"[747, 797, 740, 686, 855, 1425, 1385]",FOUND,1
513,identifier,[1507],FOUND,1
517,( expression array_repeat1 ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,7
518,""" string_fragment """,[123],FOUND,4
519,"string_fragment """,[1357],FOUND,1
524,"""",[1361],FOUND,1
525,", expression","[614, 646, 589, 847]",FOUND,3
527,identifier,"[127, 1465]",FOUND,2
532,),"[501, 589, 845, 1465, 1139]",FOUND,2
538,. identifier,"[800, 797, 740, 686, 855, 1425, 1385]",FOUND,1
539,identifier,[1507],FOUND,1
543,( expression array_repeat1 ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,7
544,""" string_fragment """,[123],FOUND,4
545,"string_fragment """,[1357],FOUND,1
551,"""",[1361],FOUND,1
552,", expression","[614, 646, 589, 847]",FOUND,3
554,identifier,"[127, 1465]",FOUND,2
560,),"[501, 589, 845, 1465, 1139]",FOUND,2
561,;,"[800, 797, 740, 686, 855, 1425, 1385]",FOUND,2
563,statement,"[476, 419, 471, 9, 20, 1786]",FOUND,2
613,let variable_declarator ;,"[476, 419, 471, 9, 20, 1786]",FOUND,13
617,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
630,= expression,"[1311, 1385]",FOUND,1
632,identifier,[273],FOUND,1
640,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
641,identifier,[1507],FOUND,1
647,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
