Location,Ground_Truth,State_List,Coverage_Result,Rank
7,namespace namespace_name _semicolon,"[82, 3155]",FOUND,2
17,name namespace_name_repeat1,[2219],FOUND,1
21,\ name,"[2168, 2171]",FOUND,2
22,name,[3072],FOUND,1
26,\ name,"[2351, 2157, 2171]",FOUND,2
27,name,[3072],FOUND,1
34,;,"[2351, 2118, 2157, 2171]",FOUND,1
37,class name declaration_list,"[573, 652, 574, 572, 157, 3155]",FOUND,10
43,name declaration_list,[3194],FOUND,2
58,{ declaration_list_repeat1 },[1965],FOUND,2
64,private,[1617],FOUND,3
72,$ name,"[1517, 1597, 1593, 960]",FOUND,3
73,name,[3250],FOUND,1
83,= expression,"[872, 2123, 1863]",FOUND,2
85,cast_type_token1 ( array_element_initializer array_creation_expression_repeat1 ),[426],FOUND,8
90,( array_element_initializer array_creation_expression_repeat1 ),[3309],FOUND,3
92,""" _interpolated_string_body """,[203],FOUND,10
93,string_content,[1713],FOUND,1
107,"""","[1713, 1999, 1725]",FOUND,3
108,", array_element_initializer","[1035, 1020, 1021, 1268, 1285, 1283, 1483, 2724, 2149, 2902, 2363, 3252]",FOUND,7
110,""" _interpolated_string_body """,[217],FOUND,10
111,string_content,[1713],FOUND,1
125,"""","[1713, 1999, 1725]",FOUND,3
127,),"[1035, 1020, 1021, 1268, 1285, 1283, 1483, 2512, 2743, 2149, 2902, 2363, 3252]",FOUND,11
128,;,"[1236, 1230, 1336, 1407, 1465, 1863, 2149, 2795, 2314, 3271]",FOUND,6
134,declaration_list_repeat1,"[573, 1760, 1757, 1755, 1614]",FOUND,3
155,public,"[573, 1760, 1757, 1755, 1614]",FOUND,1
162,function name formal_parameters compound_statement,"[1517, 1597, 1593, 960]",FOUND,2
171,name formal_parameters compound_statement,[2652],FOUND,2
186,( simple_parameter ),[2994],FOUND,2
187,$ name,[969],FOUND,3
188,name,[3190],FOUND,1
195,),"[843, 2431, 2434]",FOUND,1
201,{ program_repeat1 },"[2051, 1873]",FOUND,2
211,if parenthesized_expression statement,[88],FOUND,3
214,( expression ),[3036],FOUND,1
215,! expression,[437],FOUND,3
217,name,[350],FOUND,1
224,( argument ),"[994, 1285, 1283, 1272, 1532, 3243, 2020, 2363, 3252]",FOUND,3
225,$ name,[195],FOUND,1
226,name,[2018],FOUND,1
233,),"[843, 863, 841, 921, 1285, 1283, 1515, 2452, 2363, 3252, 894, 2902]",FOUND,2
234,),"[836, 845, 842, 867, 1285, 1283, 1272, 1532, 2902, 2363, 3252]",FOUND,1
236,{ program_repeat1 },"[832, 81]",FOUND,1
250,program_repeat1 },[88],FOUND,4
286,program_repeat1 },[88],FOUND,4
307,return expression _semicolon,[88],FOUND,2
314,_argument_name_token2,[263],FOUND,2
319,;,"[1396, 1341, 1347, 1336, 1407, 1479]",FOUND,1
329,},"[573, 551, 574, 572, 75]",FOUND,1
349,},"[573, 551, 574, 572, 75]",FOUND,1
359,program_repeat1,"[669, 574, 529, 572, 75]",FOUND,5
380,return expression _semicolon,"[669, 574, 529, 572, 75]",FOUND,4
387,_argument_name_token2,[263],FOUND,2
391,;,"[1396, 1341, 1347, 1336, 1407, 1479]",FOUND,1
397,},"[573, 551, 574, 572, 2, 75]",FOUND,1
417,},"[573, 551, 574, 572, 2, 75]",FOUND,1
419,},"[669, 1697, 1757, 1755, 1611, 1614]",FOUND,5
440,},"[669, 1697, 1757, 1755, 1611, 1614]",FOUND,5
