Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
89,name declaration_list,[3194],FOUND,2
101,{ declaration_list_repeat1 },[1965],FOUND,2
107,public,[1617],FOUND,1
114,$ name,"[1517, 1597, 1593, 960]",FOUND,3
115,name,[3250],FOUND,1
120,;,"[872, 2123, 1863]",FOUND,1
126,public,"[573, 1760, 1757, 1755, 1614]",FOUND,1
133,$ name,"[1517, 1597, 1593, 960]",FOUND,3
134,name,[3250],FOUND,1
150,;,"[872, 2123, 1863]",FOUND,1
156,public,"[573, 1760, 1757, 1755, 1611, 1614]",FOUND,2
163,$ name,"[1517, 1597, 1593, 960]",FOUND,3
164,name,[3250],FOUND,1
181,;,"[872, 2123, 1863]",FOUND,1
187,public,"[573, 1760, 1757, 1755, 1611, 1614]",FOUND,2
194,$ name,"[1517, 1597, 1593, 960]",FOUND,3
195,name,[3250],FOUND,1
200,;,"[872, 2123, 1863]",FOUND,1
207,public,"[573, 1760, 1757, 1755, 1611, 1614]",FOUND,2
214,function name formal_parameters compound_statement,"[1517, 1597, 1593, 960]",FOUND,2
223,name formal_parameters compound_statement,[2652],FOUND,2
234,( simple_parameter formal_parameters_repeat1 ),[2994],FOUND,3
244,$ name,[969],FOUND,3
245,name,[3190],FOUND,1
250,", simple_parameter","[843, 2431, 2434]",FOUND,2
260,$ name,[1008],FOUND,1
261,name,[3190],FOUND,1
270,", simple_parameter","[843, 2431, 2893, 2461]",FOUND,2
280,$ name,[1014],FOUND,1
281,name,[3190],FOUND,1
289,", simple_parameter","[843, 2431, 2893, 2631, 2461]",FOUND,2
299,$ name,[1014],FOUND,1
300,name,[3190],FOUND,1
310,),"[843, 2431, 2893, 2631, 2461]",FOUND,1
312,{ program_repeat1 },"[2117, 1873]",FOUND,2
322,$ name,[88],FOUND,1
323,name,[1997],FOUND,1
327,-> _member_name,"[872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
329,name,[1913],FOUND,1
347,= expression,"[877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,6
349,$ name,[311],FOUND,1
350,name,[1997],FOUND,1
355,;,"[872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,1
365,$ name,"[573, 645, 574, 572, 75]",FOUND,2
366,name,[1997],FOUND,1
370,-> _member_name,"[872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
372,name,[1913],FOUND,1
390,= expression,"[877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,6
392,$ name,[311],FOUND,1
393,name,[1997],FOUND,1
402,;,"[872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,1
412,$ name,"[573, 645, 574, 572, 2, 75]",FOUND,2
413,name,[1997],FOUND,1
417,-> _member_name,"[872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
419,name,[1913],FOUND,1
437,= expression,"[877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,6
439,$ name,[311],FOUND,1
440,name,[1997],FOUND,1
448,;,"[872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,1
458,$ name,"[573, 645, 574, 572, 2, 75]",FOUND,2
459,name,[1997],FOUND,1
