Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
63,use namespace_use_clause _semicolon,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,2
67,name namespace_name_repeat1,[1823],FOUND,1
71,\ name,"[1942, 2221, 3112]",FOUND,1
72,name,"[3290, 2691]",FOUND,1
76,\ name,"[3294, 2986, 3112, 1151, 2315, 2221]",FOUND,1
77,name,"[3290, 2691]",FOUND,1
84,\ name,"[3294, 2933, 2986, 3112, 1151, 2315, 2221]",FOUND,1
85,name,"[3290, 2691]",FOUND,1
96,;,"[3294, 2933, 2986, 3112, 1151, 2315, 2221]",FOUND,2
99,program_repeat1,"[573, 659, 574, 572, 2, 157, 3155]",FOUND,1
120,class name declaration_list,"[573, 659, 574, 572, 2, 157, 3155]",FOUND,10
126,name declaration_list,[3194],FOUND,2
144,{ declaration_list_repeat1 },[1965],FOUND,2
150,private,[1617],FOUND,3
158,$ name,"[1517, 1597, 1593, 960]",FOUND,3
159,name,[3250],FOUND,1
168,= expression,"[872, 2123, 1863]",FOUND,2
170,[ ],[426],FOUND,1
171,],[187],FOUND,1
172,;,"[1156, 1230, 1336, 1407, 1465, 1863, 2149, 2795, 2314, 3271, 3025, 3303]",FOUND,6
179,declaration_list_repeat1,"[573, 1760, 1757, 1755, 1614]",FOUND,3
190,declaration_list_repeat1,"[573, 1760, 1757, 1755, 1614]",FOUND,3
211,public,"[573, 1760, 1757, 1755, 1614]",FOUND,1
218,function name formal_parameters compound_statement,"[1517, 1597, 1593, 960]",FOUND,2
227,name formal_parameters compound_statement,[2652],FOUND,2
237,( simple_parameter ),[2994],FOUND,2
238,name,[969],FOUND,2
250,$ name,"[1773, 1820, 1891, 2071, 1951, 3224]",FOUND,1
251,name,"[1951, 2071, 3190]",FOUND,1
262,),"[1951, 2071, 843, 2644, 2434]",FOUND,2
268,{ program_repeat1 },"[1951, 2071, 2051, 1873]",FOUND,3
278,$ name,"[1951, 2071, 88]",FOUND,1
279,name,"[1951, 2071, 1997]",FOUND,1
283,-> _member_name,"[1951, 2071, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
285,name,"[1951, 2071, 1913]",FOUND,1
293,[ ],"[1951, 2071, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,11
294,],"[1951, 2071, 318]",FOUND,3
296,= expression,"[1951, 2071, 889, 888, 887, 1336, 1407, 1495, 2795, 2314, 3271]",FOUND,6
298,$ name,"[1951, 2071, 311]",FOUND,1
299,name,"[1951, 2071, 1997]",FOUND,1
310,;,"[1951, 2071, 872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,1
316,},"[1951, 2071, 573, 645, 574, 572, 75]",FOUND,1
323,public,"[1951, 2071, 669, 1697, 1757, 1755, 1611, 1614]",FOUND,2
330,function name formal_parameters compound_statement,"[1951, 2071, 1517, 1597, 1593, 960]",FOUND,3
339,name formal_parameters compound_statement,"[1951, 2071, 2652]",FOUND,3
344,( ),"[1951, 2071, 2994]",FOUND,2
345,),"[1951, 2071, 969]",FOUND,2
351,{ program_repeat1 },"[1951, 2071, 2193, 1873]",FOUND,3
361,$ name,"[1951, 2071, 88]",FOUND,1
362,name,"[1951, 2071, 1997]",FOUND,1
366,= expression,"[1951, 2071, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
369,""" ""","[1951, 2071, 311]",FOUND,42
370,"""","[1951, 2071, 1721]",FOUND,6
