Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
62,;,"[2351, 2118, 2157, 2171]",FOUND,1
64,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
85,class name class_interface_clause declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,13
91,name class_interface_clause declaration_list,[3194],FOUND,3
103,implements _name,[1965],FOUND,3
114,name,[1806],FOUND,1
129,{ declaration_list_repeat1 },"[1772, 2714, 2947, 3243]",FOUND,2
135,use _name _semicolon,[1617],FOUND,6
139,name,[1808],FOUND,1
153,;,"[1250, 1850, 3163]",FOUND,2
159,use _name _semicolon,"[573, 1691, 1757, 1755, 1614]",FOUND,15
163,name,[1808],FOUND,1
176,;,"[1250, 1850, 3163]",FOUND,2
178,},"[573, 1691, 1757, 1755, 1611, 1614]",FOUND,5
