Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
62,;,"[2351, 2118, 2157, 2171]",FOUND,1
65,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
71,name declaration_list,[3194],FOUND,2
78,{ declaration_list_repeat1 },[1965],FOUND,2
84,public,[1617],FOUND,1
91,static,"[1517, 1597, 1593, 960]",FOUND,4
98,function name formal_parameters compound_statement,"[1569, 1597, 1593, 1328, 960]",FOUND,2
107,name formal_parameters compound_statement,[2652],FOUND,2
110,( ),[2994],FOUND,1
111,),[969],FOUND,1
117,{ program_repeat1 },"[2193, 1873]",FOUND,2
127,program_repeat1 },[88],FOUND,4
157,$ name,[88],FOUND,1
158,name,[1997],FOUND,1
160,= expression,"[872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
162,new _class_name_reference arguments,[311],FOUND,4
166,name,[1258],FOUND,1
180,( ),"[1250, 1293, 1294, 1340, 1347, 1336, 1407, 1363, 1348, 1495, 3122]",FOUND,9
181,),[194],FOUND,4
182,;,"[1196, 1181, 1184, 1347, 1336, 1407, 1363, 1348, 1495, 2795, 2314, 3271]",FOUND,1
192,print expression,"[573, 645, 574, 572, 75]",FOUND,53
198,$ name,[449],FOUND,2
199,name,[1997],FOUND,1
200,-> _member_name arguments,"[872, 890, 881, 916, 1336, 1407, 1358, 1347, 1495, 2314, 3271, 887, 2795]",FOUND,3
202,name,[1913],FOUND,1
214,( argument ),"[877, 868, 897, 1336, 1407, 1358, 1347, 1495, 2314, 3271]",FOUND,5
215,integer,[191],FOUND,6
218,),"[1278, 1268, 1285, 1283, 1515, 2543]",FOUND,1
220,. expression,"[874, 876, 888, 887, 1336, 1407, 1358, 1347, 1495, 2795, 2314, 3271]",FOUND,23
222,""" _interpolated_string_body """,[338],FOUND,4
223,escape_sequence,[1721],FOUND,2
225,"""","[1999, 1730]",FOUND,1
226,;,"[1161, 1238, 1239, 1347, 1336, 1407, 1381, 1348, 1358, 1495, 2149, 2795, 2314, 3271]",FOUND,1
232,},"[573, 645, 574, 572, 2, 75]",FOUND,1
263,},"[573, 645, 574, 572, 2, 75]",FOUND,1
265,},"[669, 1697, 1757, 1755, 1614]",FOUND,5
