Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
63,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
69,name declaration_list,[3194],FOUND,2
81,{ declaration_list_repeat1 },[1965],FOUND,2
87,private,[1617],FOUND,3
95,array,"[1517, 1597, 1593, 960]",FOUND,8
101,$ name,"[1816, 1820, 1791, 2655, 1951]",FOUND,1
102,name,"[1951, 2655, 3250]",FOUND,1
111,;,"[1951, 2655, 872, 2123, 1919]",FOUND,2
118,public,"[1951, 2655, 573, 1754, 1757, 1755, 1614]",FOUND,1
125,function name formal_parameters _return_type compound_statement,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,1
134,name formal_parameters _return_type compound_statement,"[1951, 2655, 2652]",FOUND,1
150,( simple_parameter ),"[1951, 2655, 2994]",FOUND,2
151,$ name,"[1951, 2655, 969]",FOUND,2
152,name,"[1951, 2655, 3190]",FOUND,1
160,),"[1951, 2655, 843, 2431, 2434]",FOUND,1
161,: type,"[1951, 2655, 2051, 1873]",FOUND,1
163,primitive_type_token6,"[1951, 2655, 1590]",FOUND,2
172,{ program_repeat1 },"[1951, 2655, 2079, 2087, 1807, 2656, 2142, 2765]",FOUND,1
182,if parenthesized_expression statement,"[1951, 2655, 2765, 2656, 2142, 88]",FOUND,4
185,( expression ),"[1951, 2655, 2765, 2656, 2142, 3036]",FOUND,1
186,! expression,"[1951, 2655, 2765, 2656, 2142, 437]",FOUND,4
188,name,"[1951, 2655, 2765, 2656, 2142, 350]",FOUND,2
199,( argument ),"[1951, 2655, 2765, 2656, 2142, 994, 1285, 1283, 1272, 1532, 3243, 2020, 2363, 3252]",FOUND,3
200,$ name,"[1951, 2655, 2765, 2656, 2142, 195]",FOUND,1
201,name,"[1951, 2655, 2765, 2656, 2142, 2018]",FOUND,1
209,),"[1951, 2655, 2765, 2656, 2142, 843, 863, 841, 921, 1285, 1283, 1515, 2452, 2363, 3252, 894, 2902]",FOUND,2
210,),"[1951, 2655, 2765, 2656, 2142, 836, 845, 842, 867, 1285, 1283, 1272, 1532, 2902, 2363, 3252]",FOUND,1
212,{ program_repeat1 },"[1951, 2655, 2765, 2656, 2142, 832, 81]",FOUND,1
226,throw expression,"[1951, 2655, 2765, 2656, 2142, 88]",FOUND,7
232,new _class_name_reference arguments,"[1951, 2655, 2765, 2656, 2142, 431]",FOUND,3
236,\ name,"[1951, 2655, 2765, 2656, 2142, 1258]",FOUND,5
237,name,"[1951, 2655, 2765, 2656, 2142, 2518]",FOUND,4
246,( argument ),"[1951, 2655, 2765, 2656, 2142, 1281, 1292, 1293, 1294, 1340, 1347, 1336, 1407, 1338, 1495, 3129]",FOUND,3
247,""" _interpolated_string_body ""","[1951, 2655, 2765, 2656, 2142, 194]",FOUND,9
248,string_content,"[1951, 2655, 2765, 2656, 2142, 1713]",FOUND,3
269,"""","[1951, 2655, 2765, 2656, 2142, 1713, 1999, 1725]",FOUND,4
270,),"[1951, 2655, 2765, 2656, 2142, 1035, 1020, 1021, 1268, 1285, 1283, 1515, 2584, 2149, 2902, 2363, 3252]",FOUND,8
271,;,"[1951, 2655, 2765, 2656, 2142, 1204, 1181, 1184, 1347, 1336, 1407, 1338, 1495, 2795, 2314, 3271]",FOUND,1
281,},"[1951, 2655, 2765, 2656, 2142, 573, 645, 574, 572, 75]",FOUND,1
291,$ name,"[1951, 2655, 2765, 2656, 2142, 669, 574, 529, 572, 75]",FOUND,2
292,name,"[1951, 2655, 2765, 2656, 2142, 1997]",FOUND,1
