Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
63,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
69,name declaration_list,[3194],FOUND,2
77,{ declaration_list_repeat1 },[1965],FOUND,2
83,public,[1617],FOUND,1
90,string,"[1517, 1597, 1593, 960]",FOUND,9
97,$ name,"[1816, 1820, 1791, 2655, 1951]",FOUND,1
98,name,"[1951, 2655, 3250]",FOUND,1
102,;,"[1951, 2655, 872, 2123, 1919]",FOUND,2
108,public,"[1951, 2655, 573, 1754, 1757, 1755, 1614]",FOUND,1
115,float,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,20
121,$ name,"[1951, 2655, 1816, 1820, 1791]",FOUND,1
122,name,"[1951, 2655, 3250]",FOUND,1
127,;,"[1951, 2655, 872, 2123, 1919]",FOUND,2
134,public,"[1951, 2655, 573, 1754, 1757, 1755, 1611, 1614]",FOUND,2
141,function name formal_parameters compound_statement,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,2
150,name formal_parameters compound_statement,"[1951, 2655, 2652]",FOUND,2
161,( simple_parameter formal_parameters_repeat1 ),"[1951, 2655, 2994]",FOUND,3
162,string,"[1951, 2655, 969]",FOUND,4
169,$ name,"[1951, 2655, 1816, 1820, 1891, 2071]",FOUND,1
170,name,"[1951, 2655, 2071, 3190]",FOUND,1
174,", simple_parameter","[1951, 2655, 2071, 843, 2644, 2434]",FOUND,3
176,float,"[1951, 2655, 2071, 1008]",FOUND,20
182,$ name,"[1951, 2655, 2071, 1816, 1820, 1891]",FOUND,1
183,name,"[1951, 2655, 2071, 3190]",FOUND,1
188,),"[1951, 2655, 2071, 843, 2644, 2893, 2461]",FOUND,2
194,{ program_repeat1 },"[1951, 2655, 2071, 2117, 1873]",FOUND,3
204,$ name,"[1951, 2655, 2071, 88]",FOUND,1
205,name,"[1951, 2655, 2071, 1997]",FOUND,1
209,-> _member_name,"[1951, 2655, 2071, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
211,name,"[1951, 2655, 2071, 1913]",FOUND,1
216,= expression,"[1951, 2655, 2071, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,7
218,$ name,"[1951, 2655, 2071, 311]",FOUND,1
219,name,"[1951, 2655, 2071, 1997]",FOUND,1
223,;,"[1951, 2655, 2071, 872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,1
233,$ name,"[1951, 2655, 2071, 573, 645, 574, 572, 75]",FOUND,2
234,name,"[1951, 2655, 2071, 1997]",FOUND,1
238,-> _member_name,"[1951, 2655, 2071, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
240,name,"[1951, 2655, 2071, 1913]",FOUND,1
246,= expression,"[1951, 2655, 2071, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,7
248,$ name,"[1951, 2655, 2071, 311]",FOUND,1
249,name,"[1951, 2655, 2071, 1997]",FOUND,1
254,;,"[1951, 2655, 2071, 872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,1
260,},"[1951, 2655, 2071, 573, 645, 574, 572, 2, 75]",FOUND,1
262,},"[1951, 2655, 2071, 669, 1697, 1757, 1755, 1611, 1614]",FOUND,6
