Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
84,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
90,name declaration_list,[3194],FOUND,2
101,{ declaration_list_repeat1 },[1965],FOUND,2
107,public,[1617],FOUND,1
114,static,"[1517, 1597, 1593, 960]",FOUND,4
121,function name formal_parameters _return_type compound_statement,"[1569, 1597, 1593, 1328, 960]",FOUND,1
130,name formal_parameters _return_type compound_statement,[2652],FOUND,1
140,( simple_parameter ),[2994],FOUND,2
141,$ name,[969],FOUND,3
142,name,[3190],FOUND,1
145,),"[843, 2431, 2434]",FOUND,1
146,: type,"[2051, 1873]",FOUND,1
148,primitive_type_token1,[1590],FOUND,12
161,{ program_repeat1 },"[2079, 2087, 1807, 2656, 2142, 2765]",FOUND,1
171,$ name,"[2765, 2656, 2142, 88]",FOUND,1
172,name,"[2765, 2656, 2142, 1997]",FOUND,1
178,= expression,"[2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
180,integer,"[2765, 2656, 2142, 311]",FOUND,10
181,;,"[2765, 2656, 2142, 1341, 1347, 1336, 1407, 1363, 1348, 1495]",FOUND,1
191,return expression _semicolon,"[2765, 2656, 2142, 573, 645, 574, 572, 75]",FOUND,5
198,function formal_parameters anonymous_function_use_clause,"[2765, 2656, 2142, 263]",FOUND,41
207,( simple_parameter ),"[2765, 2656, 2142, 2294]",FOUND,4
208,$ name,"[2765, 2656, 2142, 973]",FOUND,2
209,name,"[2765, 2656, 2142, 3190]",FOUND,1
216,),"[2765, 2656, 2142, 843, 2431, 2410]",FOUND,4
218,use ( variable_name anonymous_function_use_clause_repeat1 ),"[2765, 2656, 2142, 2246, 2218, 3009]",FOUND,3
222,( variable_name anonymous_function_use_clause_repeat1 ),"[2765, 2656, 2142, 3300]",FOUND,4
223,$ name,"[2765, 2656, 2142, 2287]",FOUND,3
224,name,"[2765, 2656, 2142, 3190]",FOUND,1
227,", by_ref","[2765, 2656, 2142, 843, 2641]",FOUND,6
229,& _new_variable,"[2765, 2656, 2142, 2170]",FOUND,5
230,$ name,"[2765, 2656, 2142, 955]",FOUND,3
231,name,"[2765, 2656, 2142, 2018]",FOUND,1
236,),"[2765, 2656, 2142, 843, 863, 841, 1039, 3020, 2630, 2363, 3252, 1004, 2902]",FOUND,9
238,{ program_repeat1 },"[2765, 2656, 2142, 3018, 2444, 3009]",FOUND,1
252,$ name,"[2765, 2656, 2142, 106]",FOUND,3
253,name,"[2765, 2656, 2142, 1997]",FOUND,1
259,+= expression,"[2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,10
262,$ name,"[2765, 2656, 2142, 342]",FOUND,2
263,name,"[2765, 2656, 2142, 1997]",FOUND,1
270,-> _member_name,"[2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1365, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,5
272,name,"[2765, 2656, 2142, 1913]",FOUND,1
277,;,"[2765, 2656, 2142, 877, 868, 897, 1336, 1407, 1365, 1348, 1495, 2314, 3271]",FOUND,1
291,print expression,"[2765, 2656, 2142, 573, 645, 574, 572, 107]",NOT_FOUND,0
297,""" _interpolated_string_body ""","[2765, 2656, 2142, 449]",NOT_FOUND,0
298,string_content,"[2765, 2656, 2142, 1721]",FOUND,2
308,$ name,"[2765, 2656, 2142, 1721, 1999, 1730]",FOUND,6
309,name,"[2765, 2656, 2142, 1963]",FOUND,2
