Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
89,name declaration_list,[3194],FOUND,2
97,{ declaration_list_repeat1 },[1965],FOUND,2
103,private,[1617],FOUND,3
111,string,"[1517, 1597, 1593, 960]",FOUND,9
118,$ name,"[1816, 1820, 1791, 2655, 1951]",FOUND,1
119,name,"[1951, 2655, 3250]",FOUND,1
125,;,"[1951, 2655, 872, 2123, 1919]",FOUND,2
131,private,"[1951, 2655, 573, 1754, 1757, 1755, 1614]",FOUND,2
139,string,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,9
146,$ name,"[1951, 2655, 1816, 1820, 1791]",FOUND,1
147,name,"[1951, 2655, 3250]",FOUND,1
153,;,"[1951, 2655, 872, 2123, 1919]",FOUND,2
160,public,"[1951, 2655, 573, 1754, 1757, 1755, 1611, 1614]",FOUND,2
167,function name formal_parameters compound_statement,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,2
176,name formal_parameters compound_statement,"[1951, 2655, 2652]",FOUND,2
187,( simple_parameter formal_parameters_repeat1 ),"[1951, 2655, 2994]",FOUND,3
188,string,"[1951, 2655, 969]",FOUND,4
195,$ name,"[1951, 2655, 1816, 1820, 1891, 2071]",FOUND,1
196,name,"[1951, 2655, 2071, 3190]",FOUND,1
207,", simple_parameter","[1951, 2655, 2071, 843, 2644, 2434]",FOUND,3
209,string,"[1951, 2655, 2071, 1008]",FOUND,2
216,$ name,"[1951, 2655, 2071, 1816, 1820, 1891]",FOUND,1
217,name,"[1951, 2655, 2071, 3190]",FOUND,1
229,= expression,"[1951, 2655, 2071, 843, 2644, 2893, 2461]",FOUND,4
231,_argument_name_token1,"[1951, 2655, 2071, 438]",FOUND,2
235,),"[1951, 2655, 2071, 1260, 1278, 1268, 1285, 1283, 1520, 2893, 2461]",FOUND,2
241,{ program_repeat1 },"[1951, 2655, 2071, 2117, 1873]",FOUND,3
251,if parenthesized_expression statement else_clause,"[1951, 2655, 2071, 88]",FOUND,7
254,( expression ),"[1951, 2655, 2071, 3036]",FOUND,1
255,name,"[1951, 2655, 2071, 437]",FOUND,2
262,( argument ),"[1951, 2655, 2071, 994, 1285, 1283, 1532, 3243, 2020, 2363, 3252]",FOUND,3
263,$ name,"[1951, 2655, 2071, 195]",FOUND,1
264,name,"[1951, 2655, 2071, 2018]",FOUND,1
275,),"[1951, 2655, 2071, 843, 863, 841, 921, 1285, 1283, 1515, 2452, 2363, 3252, 894, 2902]",FOUND,2
276,),"[1951, 2655, 2071, 836, 845, 842, 867, 1285, 1283, 1532, 2902, 2363, 3252]",FOUND,1
278,{ program_repeat1 },"[1951, 2655, 2071, 832, 81]",FOUND,1
292,$ name,"[1951, 2655, 2071, 88]",FOUND,1
293,name,"[1951, 2655, 2071, 1997]",FOUND,1
297,-> _member_name,"[1951, 2655, 2071, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
299,name,"[1951, 2655, 2071, 1913]",FOUND,1
313,= expression,"[1951, 2655, 2071, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,7
315,$ name,"[1951, 2655, 2071, 311]",FOUND,1
316,name,"[1951, 2655, 2071, 1997]",FOUND,1
327,;,"[1951, 2655, 2071, 872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,1
337,},"[1951, 2655, 2071, 573, 645, 574, 572, 75]",FOUND,1
