Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
89,name declaration_list,[3194],FOUND,2
96,{ declaration_list_repeat1 },[1965],FOUND,2
103,public,[1617],FOUND,1
110,function name formal_parameters compound_statement,"[1517, 1597, 1593, 960]",FOUND,2
119,name formal_parameters compound_statement,[2652],FOUND,2
130,( property_promotion_parameter ),[2994],FOUND,7
131,private,[969],FOUND,13
139,name,"[1517, 1430]",FOUND,2
152,$ name,"[1773, 1820, 1979, 2258, 1951, 3243]",FOUND,2
153,name,"[1951, 2258, 3190]",FOUND,1
159,),"[1951, 2258, 843, 2107, 2434]",FOUND,1
165,{ },"[1951, 2258, 2051, 1873]",FOUND,4
171,},"[1951, 2258, 88]",FOUND,14
178,public,"[1951, 2258, 567, 1697, 1757, 1755, 1614]",FOUND,1
185,function name formal_parameters _return_type compound_statement,"[1951, 2258, 1517, 1597, 1593, 960]",FOUND,1
194,name formal_parameters _return_type compound_statement,"[1951, 2258, 2652]",FOUND,1
200,( simple_parameter formal_parameters_repeat1 ),"[1951, 2258, 2994]",FOUND,3
201,string,"[1951, 2258, 969]",FOUND,4
208,$ name,"[1951, 2258, 1816, 1820, 1891, 2071]",FOUND,1
209,name,"[1951, 2258, 2071, 3190]",FOUND,1
215,", simple_parameter","[1951, 2258, 2071, 843, 2644, 2434]",FOUND,3
217,array,"[1951, 2258, 2071, 1008]",FOUND,4
223,$ name,"[1951, 2258, 2071, 1816, 1820, 1891]",FOUND,1
224,name,"[1951, 2258, 2071, 3190]",FOUND,1
228,),"[1951, 2258, 2071, 843, 2644, 2893, 2461]",FOUND,2
229,: type,"[1951, 2258, 2071, 2117, 1873]",FOUND,2
231,primitive_type_token4,"[1951, 2258, 2071, 1590]",FOUND,10
241,{ program_repeat1 },"[1951, 2258, 2071, 2079, 2087, 1807, 2656, 2142, 2765]",FOUND,2
251,if parenthesized_expression statement,"[1951, 2258, 2071, 2765, 2656, 2142, 88]",FOUND,4
254,( expression ),"[1951, 2258, 2071, 2765, 2656, 2142, 3036]",FOUND,1
255,name,"[1951, 2258, 2071, 2765, 2656, 2142, 437]",FOUND,3
268,( argument arguments_repeat1 ),"[1951, 2258, 2071, 2765, 2656, 2142, 994, 1285, 1283, 1532, 3243, 2020, 2363, 3252]",FOUND,8
269,$ name,"[1951, 2258, 2071, 2765, 2656, 2142, 195]",FOUND,1
270,name,"[1951, 2258, 2071, 2765, 2656, 2142, 2018]",FOUND,1
274,-> _member_name,"[1951, 2258, 2071, 2765, 2656, 2142, 843, 863, 841, 921, 1285, 1283, 1515, 2452, 2363, 3252, 894, 2902]",FOUND,3
276,name,"[1951, 2258, 2071, 2765, 2656, 2142, 1834]",FOUND,1
282,", argument","[1951, 2258, 2071, 2765, 2656, 2142, 840, 838, 917, 1285, 1283, 1515, 2452, 2363, 3252]",FOUND,6
284,$ name,"[1951, 2258, 2071, 2765, 2656, 2142, 205]",FOUND,1
285,name,"[1951, 2258, 2071, 2765, 2656, 2142, 2018]",FOUND,1
291,),"[1951, 2258, 2071, 2765, 2656, 2142, 843, 863, 841, 921, 1285, 1283, 1515, 3038, 2484, 2363, 3252, 894, 2902]",FOUND,5
292,),"[1951, 2258, 2071, 2765, 2656, 2142, 837, 845, 842, 867, 1285, 1283, 1532, 2902, 2363, 3252]",FOUND,1
294,{ program_repeat1 },"[1951, 2258, 2071, 2765, 2656, 2142, 832, 81]",FOUND,1
