Location,Ground_Truth,State_List,Coverage_Result,Rank
28,$ name,"[82, 3155]",FOUND,16
29,name,[1997],FOUND,1
41,= expression,"[872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
43,function formal_parameters,[311],NOT_FOUND,0
52,( simple_parameter ),[2294],FOUND,1
53,string,[973],FOUND,4
60,$ name,"[1816, 1820, 1891, 2071, 1951]",FOUND,1
61,name,"[1951, 2071, 3190]",FOUND,1
70,),"[1951, 2071, 843, 2644, 2410]",FOUND,4
72,{ program_repeat1 },"[1951, 2071, 2246, 2218, 3009]",FOUND,2
78,$ name,"[1951, 2071, 106]",FOUND,1
79,name,"[1951, 2071, 1997]",FOUND,1
84,= expression,"[1951, 2071, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
86,name,"[1951, 2071, 311]",FOUND,2
97,( argument arguments_repeat1 ),"[1951, 2071, 1112, 1336, 1407, 1363, 1348, 1495, 3163, 2019, 2314, 3271]",FOUND,5
98,' string_repeat1 ',"[1951, 2071, 191]",FOUND,2
99,string_content_token1,"[1951, 2071, 2017]",FOUND,1
100,',"[1951, 2071, 2756, 2365, 2738, 2025]",FOUND,1
101,", argument","[1951, 2071, 1036, 1020, 1021, 1268, 1285, 1283, 1515, 2543, 2149, 2902, 2363, 3252]",FOUND,3
103,name,"[1951, 2071, 207]",FOUND,3
122,", argument","[1951, 2071, 1175, 1285, 1283, 1515, 3038, 2557, 3243, 2020, 2363, 3252]",FOUND,5
124,$ name,"[1951, 2071, 211]",FOUND,1
125,name,"[1951, 2071, 2018]",FOUND,1
134,),"[1951, 2071, 843, 863, 841, 921, 1285, 1283, 1515, 3038, 2757, 2557, 2363, 3252, 894, 2902]",FOUND,2
135,;,"[1951, 2071, 880, 892, 888, 887, 1336, 1407, 1363, 1348, 1495, 2795, 2314, 3271]",FOUND,1
141,$ name,"[1951, 2071, 573, 645, 574, 572, 107]",FOUND,1
142,name,"[1951, 2071, 1997]",FOUND,1
147,= expression,"[1951, 2071, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
149,name,"[1951, 2071, 311]",FOUND,2
157,. expression,"[1951, 2071, 1112, 1336, 1407, 1363, 1348, 1495, 3163, 2019, 2314, 3271]",FOUND,9
159,""" _interpolated_string_body ""","[1951, 2071, 338]",FOUND,4
160,string_content,"[1951, 2071, 1721]",FOUND,2
161,$ name,"[1951, 2071, 1721, 1999, 1730]",FOUND,1
162,name,"[1951, 2071, 1963]",FOUND,2
166,"""","[1951, 2071, 1795, 1783, 2002, 1999, 1692, 1730]",FOUND,2
167,;,"[1951, 2071, 1161, 1238, 1239, 1347, 1336, 1407, 1381, 1348, 1363, 1495, 2149, 2795, 2314, 3271]",FOUND,1
173,if parenthesized_expression statement,"[1951, 2071, 573, 645, 574, 572, 2, 107]",FOUND,6
176,( expression ),"[1951, 2071, 3036]",FOUND,1
177,name,"[1951, 2071, 437]",FOUND,2
188,( argument ),"[1951, 2071, 994, 1285, 1283, 1532, 3243, 2020, 2363, 3252]",FOUND,3
189,""" _interpolated_string_body ""","[1951, 2071, 195]",FOUND,7
190,{ expression },"[1951, 2071, 1713]",FOUND,4
191,$ name,"[1951, 2071, 430]",FOUND,1
192,name,"[1951, 2071, 2018]",FOUND,1
196,},"[1951, 2071, 843, 863, 841, 885, 1285, 1283, 1579, 2363, 3252, 867, 2902]",FOUND,8
197,string_content,"[1951, 2071, 1943, 1999, 1725]",FOUND,3
201,"""","[1951, 2071, 1943, 1999, 1725, 1692]",FOUND,4
202,),"[1951, 2071, 1035, 1020, 1021, 1268, 1285, 1283, 1515, 2452, 2149, 2902, 2363, 3252]",FOUND,2
203,),"[1951, 2071, 836, 845, 842, 867, 1285, 1283, 1532, 2902, 2363, 3252]",FOUND,1
205,{ program_repeat1 },"[1951, 2071, 832, 81]",FOUND,1
215,require_once expression,"[1951, 2071, 88]",FOUND,29
227,( expression ),"[1951, 2071, 357]",FOUND,4
228,""" _interpolated_string_body ""","[1951, 2071, 175]",NOT_FOUND,0
229,{ expression },"[1951, 2071, 1713]",FOUND,4
230,$ name,"[1951, 2071, 430]",FOUND,1
231,name,"[1951, 2071, 2018]",FOUND,1
235,},"[1951, 2071, 843, 863, 841, 885, 1285, 1283, 1579, 2363, 3252, 867, 2902]",FOUND,8
236,string_content,"[1951, 2071, 1943, 1999, 1725]",FOUND,3
240,"""","[1951, 2071, 1943, 1999, 1725, 1692]",FOUND,4
241,),"[1951, 2071, 1035, 1020, 1021, 1268, 1285, 1283, 1562, 2149, 2902, 2363, 3252]",FOUND,7
242,;,"[1951, 2071, 1164, 1172, 1336, 1407, 1367, 1348, 1495, 2795, 2314, 3271]",FOUND,1
248,},"[1951, 2071, 573, 645, 574, 572, 75]",FOUND,1
