Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,class name base_clause declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,8
89,name base_clause declaration_list,[3194],FOUND,1
106,extends _name,[1965],FOUND,1
114,name,[1799],FOUND,1
127,{ declaration_list_repeat1 },"[1772, 2244, 2262, 3243]",FOUND,2
134,public,[1617],FOUND,1
141,function name formal_parameters _return_type compound_statement,"[1517, 1597, 1593, 960]",FOUND,1
150,name formal_parameters _return_type compound_statement,[2652],FOUND,1
155,( ),[2994],FOUND,1
156,),[969],FOUND,1
157,: type,"[2193, 1873]",FOUND,1
159,primitive_type_token6,[1590],FOUND,1
168,{ program_repeat1 },"[2079, 2087, 1807, 2656, 2142, 2765]",FOUND,1
178,program_repeat1 },"[2765, 2656, 2142, 88]",FOUND,5
200,program_repeat1 },"[2765, 2656, 2142, 88]",FOUND,5
231,program_repeat1 },"[2765, 2656, 2142, 88]",FOUND,5
252,$ name,"[2765, 2656, 2142, 88]",FOUND,1
253,name,"[2765, 2656, 2142, 1997]",FOUND,1
256,= expression,"[2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
258,$ name,"[2765, 2656, 2142, 311]",FOUND,1
259,name,"[2765, 2656, 2142, 1997]",FOUND,1
263,-> _member_name arguments,"[2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,3
265,name,"[2765, 2656, 2142, 1913]",FOUND,1
275,( argument ),"[2765, 2656, 2142, 877, 868, 897, 1336, 1407, 1363, 1348, 1495, 2314, 3271]",FOUND,5
276,' string_repeat1 ',"[2765, 2656, 2142, 191]",FOUND,2
277,string_content_token1,"[2765, 2656, 2142, 2017]",FOUND,1
278,',"[2765, 2656, 2142, 2756, 2365, 2738, 2025]",FOUND,1
279,),"[2765, 2656, 2142, 1036, 1020, 1021, 1268, 1285, 1283, 1515, 2543, 2149, 2902, 2363, 3252]",FOUND,2
280,;,"[2765, 2656, 2142, 874, 876, 888, 887, 1336, 1407, 1363, 1348, 1495, 2795, 2314, 3271]",FOUND,1
290,foreach ( expression as pair ) statement,"[2765, 2656, 2142, 573, 645, 574, 572, 75]",FOUND,11
298,( expression as pair ) statement,"[2765, 2656, 2142, 3280]",FOUND,3
299,$ name,"[2765, 2656, 2142, 346]",FOUND,2
300,name,"[2765, 2656, 2142, 2018]",FOUND,1
304,-> _member_name,"[2765, 2656, 2142, 843, 863, 841, 885, 1285, 1283, 1541, 2363, 3252, 867, 2902]",FOUND,2
306,name,"[2765, 2656, 2142, 1834]",FOUND,1
313,as pair ) statement,"[2765, 2656, 2142, 840, 838, 884, 1285, 1283, 1541, 2363, 3252]",FOUND,12
316,$ name,"[2765, 2656, 2142, 234]",FOUND,2
317,name,"[2765, 2656, 2142, 2018]",FOUND,1
321,=> _foreach_value,"[2765, 2656, 2142, 843, 863, 841, 885, 1285, 1283, 1513, 3108, 2363, 3252, 867, 2902]",FOUND,9
324,$ name,"[2765, 2656, 2142, 256]",FOUND,2
325,name,"[2765, 2656, 2142, 2018]",FOUND,1
328,) statement,"[2765, 2656, 2142, 843, 863, 841, 885, 1285, 1283, 1522, 3210, 3108, 2363, 3252, 867, 2902]",FOUND,6
330,{ program_repeat1 },"[2765, 2656, 2142, 7]",FOUND,1
344,name,"[2765, 2656, 2142, 88]",FOUND,6
