Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,abstract,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,16
92,class name declaration_list,"[1588, 1597, 1593, 1670]",FOUND,5
98,name declaration_list,[3279],FOUND,4
107,{ declaration_list_repeat1 },[1962],FOUND,2
118,public,[1617],FOUND,1
125,static,"[1517, 1597, 1593, 960]",FOUND,4
132,function name formal_parameters _return_type compound_statement,"[1569, 1597, 1593, 1328, 960]",FOUND,1
141,name formal_parameters _return_type compound_statement,[2652],FOUND,1
152,( ),[2994],FOUND,1
153,),[969],FOUND,1
154,: type,"[2193, 1873]",FOUND,1
156,name,[1590],FOUND,2
169,{ program_repeat1 },"[1854, 2087, 1807, 2656, 2142, 2765, 3163]",FOUND,1
180,program_repeat1 },"[2765, 2656, 2142, 88]",FOUND,5
227,program_repeat1 },"[2765, 2656, 2142, 88]",FOUND,5
267,if parenthesized_expression statement else_clause,"[2765, 2656, 2142, 88]",FOUND,8
270,( expression ),"[2765, 2656, 2142, 3036]",FOUND,1
271,name,"[2765, 2656, 2142, 437]",FOUND,3
275,( argument arguments_repeat1 ),"[2765, 2656, 2142, 994, 1285, 1283, 1532, 3243, 2020, 2363, 3252]",FOUND,7
276,integer,"[2765, 2656, 2142, 195]",FOUND,7
277,", argument","[2765, 2656, 2142, 1278, 1268, 1285, 1283, 1515, 2452]",FOUND,2
279,integer,"[2765, 2656, 2142, 205]",FOUND,4
280,),"[2765, 2656, 2142, 1278, 1268, 1285, 1283, 1515, 3038, 2484]",FOUND,1
282,=== expression,"[2765, 2656, 2142, 837, 845, 842, 867, 1285, 1283, 1532, 2902, 2363, 3252]",FOUND,8
286,integer,"[2765, 2656, 2142, 417]",FOUND,6
287,),"[2765, 2656, 2142, 1278, 1268, 1285, 1283, 1309, 1280, 1532]",FOUND,1
289,{ program_repeat1 },"[2765, 2656, 2142, 832, 81]",FOUND,1
303,return expression _semicolon,"[2765, 2656, 2142, 88]",FOUND,2
310,new _class_name_reference arguments,"[2765, 2656, 2142, 263]",FOUND,6
314,name,"[2765, 2656, 2142, 1258]",FOUND,2
326,( ),"[2765, 2656, 2142, 1250, 1293, 1294, 1340, 1347, 1336, 1407, 1479, 3122]",FOUND,7
327,),"[2765, 2656, 2142, 194]",FOUND,6
328,;,"[2765, 2656, 2142, 1196, 1181, 1184, 1347, 1336, 1407, 1479, 2795, 2314, 3271]",FOUND,1
338,},"[2765, 2656, 2142, 573, 551, 574, 572, 75]",FOUND,1
340,else statement,"[2765, 2656, 2142, 669, 574, 529, 572, 75]",FOUND,8
345,{ program_repeat1 },"[2765, 2656, 2142, 163]",FOUND,1
359,return expression _semicolon,"[2765, 2656, 2142, 88]",FOUND,2
366,new _class_name_reference arguments,"[2765, 2656, 2142, 263]",FOUND,6
370,name,"[2765, 2656, 2142, 1258]",FOUND,2
382,( ),"[2765, 2656, 2142, 1250, 1293, 1294, 1340, 1347, 1336, 1407, 1479, 3122]",FOUND,7
383,),"[2765, 2656, 2142, 194]",FOUND,6
384,;,"[2765, 2656, 2142, 1196, 1181, 1184, 1347, 1336, 1407, 1479, 2795, 2314, 3271]",FOUND,1
394,},"[2765, 2656, 2142, 573, 551, 574, 572, 75]",FOUND,1
400,},"[2765, 2656, 2142, 669, 574, 543, 647, 572, 75]",FOUND,1
407,abstract,"[2765, 2656, 2142, 669, 1700, 1757, 1755, 1614]",FOUND,12
416,public,"[2765, 2656, 2142, 1588, 1597, 1593, 960]",FOUND,12
423,function name formal_parameters _return_type _semicolon,"[2765, 2656, 2142, 1517, 1597, 1593, 1328, 960]",FOUND,8
432,name formal_parameters _return_type _semicolon,"[2765, 2656, 2142, 2652]",FOUND,5
438,( simple_parameter ),"[2765, 2656, 2142, 2994]",FOUND,3
439,$ name,"[2765, 2656, 2142, 969]",FOUND,4
440,name,"[2765, 2656, 2142, 3190]",FOUND,1
447,),"[2765, 2656, 2142, 843, 2431, 2434]",FOUND,2
448,: type,"[2765, 2656, 2142, 2051, 1873]",FOUND,2
450,primitive_type_token6,"[2765, 2656, 2142, 1590]",FOUND,2
454,;,"[2765, 2656, 2142, 2079, 2087, 1807]",FOUND,2
456,},"[2765, 2656, 2142, 573, 1701, 1757, 1755, 1611, 1614]",FOUND,6
