Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,abstract,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,16
92,class name declaration_list,"[1588, 1597, 1593, 1670]",FOUND,5
98,name declaration_list,[3279],FOUND,4
111,{ declaration_list_repeat1 },[1962],FOUND,2
117,public,[1617],FOUND,1
124,const const_element _semicolon,"[1517, 1597, 1593, 960]",FOUND,5
130,name = expression,[1586],FOUND,1
138,= expression,"[1982, 1820, 1791, 3067, 1951, 3243]",FOUND,1
140,integer,[425],FOUND,1
141,;,"[1341, 1347, 1336, 1407, 1492, 2178]",FOUND,1
147,public,"[573, 1742, 1756, 1755, 1614]",FOUND,1
154,const const_element _semicolon,"[1517, 1597, 1593, 960]",FOUND,5
160,name = expression,[1586],FOUND,1
168,= expression,"[1982, 1820, 1791, 3067, 1951, 3243]",FOUND,1
170,integer,[425],FOUND,1
171,;,"[1341, 1347, 1336, 1407, 1492, 2178]",FOUND,1
177,public,"[573, 1742, 1756, 1755, 1611, 1614]",FOUND,2
184,const const_element _semicolon,"[1517, 1597, 1593, 960]",FOUND,5
190,name = expression,[1586],FOUND,1
198,= expression,"[1982, 1820, 1791, 3067, 1951, 3243]",FOUND,1
200,integer,[425],FOUND,1
201,;,"[1341, 1347, 1336, 1407, 1492, 2178]",FOUND,1
207,abstract,"[573, 1742, 1756, 1755, 1611, 1614]",FOUND,11
216,public,"[1588, 1597, 1593, 960]",FOUND,10
223,function name formal_parameters _return_type _semicolon,"[1517, 1597, 1593, 1328, 960]",FOUND,6
232,name formal_parameters _return_type _semicolon,[2652],FOUND,3
245,( ),[2994],FOUND,1
246,),[969],FOUND,1
247,: type,"[2193, 1873]",FOUND,1
249,string,[1590],FOUND,3
255,;,"[2079, 2087, 1807, 2656, 2142, 2765]",FOUND,2
261,abstract,"[2765, 2656, 2142, 573, 1701, 1757, 1755, 1611, 1614]",FOUND,13
270,public,"[2765, 2656, 2142, 1588, 1597, 1593, 960]",FOUND,12
277,function name formal_parameters _return_type _semicolon,"[2765, 2656, 2142, 1517, 1597, 1593, 1328, 960]",FOUND,8
286,name formal_parameters _return_type _semicolon,"[2765, 2656, 2142, 2652]",FOUND,5
290,( simple_parameter ),"[2765, 2656, 2142, 2994]",FOUND,3
291,int,"[2765, 2656, 2142, 969]",FOUND,8
295,$ name,"[2765, 2656, 2142, 1816, 1820, 1891, 2071, 1951]",FOUND,1
296,name,"[2765, 2656, 2142, 1951, 2071, 3190]",FOUND,1
304,),"[2765, 2656, 2142, 1951, 2071, 843, 2644, 2434]",FOUND,3
305,: type,"[2765, 2656, 2142, 1951, 2071, 2051, 1873]",FOUND,3
307,name,"[2765, 2656, 2142, 1951, 2071, 1590]",FOUND,4
314,;,"[2765, 2656, 2142, 1951, 2071, 1854, 2087, 1807, 3163]",FOUND,3
320,abstract,"[2765, 2656, 2142, 1951, 2071, 573, 1701, 1757, 1755, 1611, 1614]",FOUND,14
329,public,"[2765, 2656, 2142, 1951, 2071, 1588, 1597, 1593, 960]",FOUND,12
336,function name formal_parameters _return_type _semicolon,"[2765, 2656, 2142, 1951, 2071, 1517, 1597, 1593, 1328, 960]",FOUND,8
345,name formal_parameters _return_type _semicolon,"[2765, 2656, 2142, 1951, 2071, 2652]",FOUND,6
358,( ),"[2765, 2656, 2142, 1951, 2071, 2994]",FOUND,3
359,),"[2765, 2656, 2142, 1951, 2071, 969]",FOUND,3
360,: type,"[2765, 2656, 2142, 1951, 2071, 2193, 1873]",FOUND,3
362,string,"[2765, 2656, 2142, 1951, 2071, 1590]",FOUND,5
368,;,"[2765, 2656, 2142, 1951, 2071, 2079, 2087, 1807]",FOUND,3
370,},"[2765, 2656, 2142, 1951, 2071, 573, 1701, 1757, 1755, 1611, 1614]",FOUND,7
