Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
89,name declaration_list,[3194],FOUND,2
104,{ declaration_list_repeat1 },[1965],FOUND,2
110,public,[1617],FOUND,1
117,function name formal_parameters compound_statement,"[1517, 1597, 1593, 960]",FOUND,2
126,name formal_parameters compound_statement,[2652],FOUND,2
137,( property_promotion_parameter formal_parameters_repeat1 ),[2994],FOUND,9
138,private,[969],FOUND,13
146,name,"[1517, 1430]",FOUND,2
150,$ name,"[1773, 1820, 1979, 2258, 1951, 3243]",FOUND,2
151,name,"[1951, 2258, 3190]",FOUND,1
154,", property_promotion_parameter","[1951, 2258, 843, 2107, 2434]",FOUND,4
156,private,"[1951, 2258, 1008]",FOUND,12
164,name,"[1951, 2258, 1517, 1430]",FOUND,3
171,$ name,"[1951, 2258, 1773, 1820, 1979, 3243]",FOUND,2
172,name,"[1951, 2258, 3190]",FOUND,1
178,", property_promotion_parameter","[1951, 2258, 843, 2107, 2893, 2461]",FOUND,5
180,private,"[1951, 2258, 1014]",FOUND,13
188,name,"[1951, 2258, 1517, 1430]",FOUND,3
195,$ name,"[1951, 2258, 1773, 1820, 1979, 3243]",FOUND,2
196,name,"[1951, 2258, 3190]",FOUND,1
202,),"[1951, 2258, 843, 2107, 2893, 2631, 2461]",FOUND,1
208,{ },"[1951, 2258, 2117, 1873]",FOUND,4
214,},"[1951, 2258, 88]",FOUND,14
221,public,"[1951, 2258, 567, 1697, 1757, 1755, 1614]",FOUND,1
228,function name formal_parameters _return_type compound_statement,"[1951, 2258, 1517, 1597, 1593, 960]",FOUND,1
237,name formal_parameters _return_type compound_statement,"[1951, 2258, 2652]",FOUND,1
243,( ),"[1951, 2258, 2994]",FOUND,1
244,),"[1951, 2258, 969]",FOUND,1
245,: type,"[1951, 2258, 2193, 1873]",FOUND,1
247,name,"[1951, 2258, 1590]",FOUND,2
255,{ program_repeat1 },"[1951, 2258, 1854, 2087, 1807, 2656, 2142, 2765, 3163]",FOUND,1
265,return expression _semicolon,"[1951, 2258, 2765, 2656, 2142, 88]",FOUND,2
272,clone primary_expression,"[1951, 2258, 2765, 2656, 2142, 263]",FOUND,34
278,$ name,"[1951, 2258, 2765, 2656, 2142, 677]",FOUND,3
279,name,"[1951, 2258, 2765, 2656, 2142, 1945]",FOUND,4
283,-> _member_name,"[1951, 2258, 2765, 2656, 2142, 1117, 1114, 1115, 1154, 1352, 1336, 1407, 1479, 2252, 3123, 1134, 2934]",FOUND,15
285,name,"[1951, 2258, 2765, 2656, 2142, 1916]",FOUND,4
288,;,"[1951, 2258, 2765, 2656, 2142, 1122, 1106, 1136, 1352, 1336, 1407, 1479, 2252, 3123]",FOUND,1
294,},"[1951, 2258, 2765, 2656, 2142, 573, 551, 574, 572, 75]",FOUND,1
301,public,"[1951, 2258, 2765, 2656, 2142, 669, 1700, 1757, 1755, 1611, 1614]",FOUND,2
308,function name formal_parameters _return_type compound_statement,"[1951, 2258, 2765, 2656, 2142, 1517, 1597, 1593, 960]",FOUND,1
317,name formal_parameters _return_type compound_statement,"[1951, 2258, 2765, 2656, 2142, 2652]",FOUND,1
326,( ),"[1951, 2258, 2765, 2656, 2142, 2994]",FOUND,2
327,),"[1951, 2258, 2765, 2656, 2142, 969]",FOUND,2
328,: type,"[1951, 2258, 2765, 2656, 2142, 2193, 1873]",FOUND,2
330,name,"[1951, 2258, 2765, 2656, 2142, 1590]",FOUND,3
