Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
63,use namespace_use_clause _semicolon,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,2
67,name namespace_name_repeat1,[1823],FOUND,1
71,\ name,"[1942, 2221, 3112]",FOUND,1
72,name,"[3290, 2691]",FOUND,1
76,\ name,"[3294, 2986, 3112, 1151, 2315, 2221]",FOUND,1
77,name,"[3290, 2691]",FOUND,1
84,\ name,"[3294, 2933, 2986, 3112, 1151, 2315, 2221]",FOUND,1
85,name,"[3290, 2691]",FOUND,1
102,;,"[3294, 2933, 2986, 3112, 1151, 2315, 2221]",FOUND,2
104,program_repeat1,"[573, 659, 574, 572, 2, 157, 3155]",FOUND,1
125,class name declaration_list,"[573, 659, 574, 572, 2, 157, 3155]",FOUND,10
131,name declaration_list,[3194],FOUND,2
148,{ declaration_list_repeat1 },[1965],FOUND,2
154,public,[1617],FOUND,1
161,function name formal_parameters _return_type compound_statement,"[1517, 1597, 1593, 960]",FOUND,1
170,name formal_parameters _return_type compound_statement,[2652],FOUND,1
185,( ),[2994],FOUND,1
186,),[969],FOUND,1
187,: type,"[2193, 1873]",FOUND,1
189,string,[1590],FOUND,3
200,{ program_repeat1 },"[2079, 2087, 1807, 2656, 2142, 2765]",FOUND,1
210,$ name,"[2765, 2656, 2142, 88]",FOUND,1
211,name,"[2765, 2656, 2142, 1997]",FOUND,1
219,= expression,"[2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
221,new _class_name_reference arguments,"[2765, 2656, 2142, 311]",FOUND,5
225,name,"[2765, 2656, 2142, 1258]",FOUND,2
242,( ),"[2765, 2656, 2142, 1250, 1293, 1294, 1340, 1347, 1336, 1407, 1363, 1348, 1495, 3122]",FOUND,10
243,),"[2765, 2656, 2142, 194]",FOUND,6
244,;,"[2765, 2656, 2142, 1196, 1181, 1184, 1347, 1336, 1407, 1363, 1348, 1495, 2795, 2314, 3271]",FOUND,1
254,return expression _semicolon,"[2765, 2656, 2142, 573, 645, 574, 572, 75]",FOUND,5
261,$ name,"[2765, 2656, 2142, 263]",FOUND,1
262,name,"[2765, 2656, 2142, 1997]",FOUND,1
269,-> _member_name arguments,"[2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1479, 2314, 3271, 887, 2795]",FOUND,3
271,name,"[2765, 2656, 2142, 1913]",FOUND,1
277,( ),"[2765, 2656, 2142, 877, 868, 897, 1336, 1407, 1479, 2314, 3271]",FOUND,9
278,),"[2765, 2656, 2142, 191]",FOUND,4
279,;,"[2765, 2656, 2142, 871, 876, 888, 887, 1336, 1407, 1479, 2795, 2314, 3271]",FOUND,1
285,},"[2765, 2656, 2142, 573, 551, 574, 572, 2, 75]",FOUND,1
287,},"[2765, 2656, 2142, 669, 1700, 1757, 1755, 1614]",FOUND,6
