Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,abstract,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,16
92,class name base_clause declaration_list,"[1588, 1597, 1593, 1670]",FOUND,2
98,name base_clause declaration_list,[3279],FOUND,1
112,extends _name,[1962],FOUND,1
120,name,[1799],FOUND,1
125,{ declaration_list_repeat1 },"[1772, 2244, 2240, 3243]",FOUND,2
131,protected,[1617],FOUND,4
141,name,"[1517, 1597, 1593, 960]",FOUND,7
146,$ name,"[1773, 1820, 1791, 2655, 1951, 3243]",FOUND,1
147,name,"[1951, 2655, 3250]",FOUND,1
151,;,"[1951, 2655, 872, 2123, 1919]",FOUND,2
158,public,"[1951, 2655, 573, 1754, 1757, 1755, 1614]",FOUND,1
165,function name formal_parameters compound_statement,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,2
174,name formal_parameters compound_statement,"[1951, 2655, 2652]",FOUND,2
185,( simple_parameter ),"[1951, 2655, 2994]",FOUND,2
186,name,"[1951, 2655, 969]",FOUND,3
191,$ name,"[1951, 2655, 1773, 1820, 1891, 2071, 3224]",FOUND,1
192,name,"[1951, 2655, 2071, 3190]",FOUND,1
196,),"[1951, 2655, 2071, 843, 2644, 2434]",FOUND,2
202,{ program_repeat1 },"[1951, 2655, 2071, 2051, 1873]",FOUND,3
212,$ name,"[1951, 2655, 2071, 88]",FOUND,1
213,name,"[1951, 2655, 2071, 1997]",FOUND,1
217,-> _member_name,"[1951, 2655, 2071, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
219,name,"[1951, 2655, 2071, 1913]",FOUND,1
224,= expression,"[1951, 2655, 2071, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,7
226,$ name,"[1951, 2655, 2071, 311]",FOUND,1
227,name,"[1951, 2655, 2071, 1997]",FOUND,1
231,;,"[1951, 2655, 2071, 872, 890, 881, 916, 1336, 1407, 1363, 1348, 1495, 2314, 3271, 887, 2795]",FOUND,1
237,},"[1951, 2655, 2071, 573, 645, 574, 572, 75]",FOUND,1
239,},"[1951, 2655, 2071, 669, 1697, 1757, 1755, 1611, 1614]",FOUND,6
