Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,class name base_clause declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,8
89,name base_clause declaration_list,[3194],FOUND,1
109,extends _name,[1965],FOUND,1
117,name,[1799],FOUND,1
133,{ declaration_list_repeat1 },"[1772, 2244, 2262, 3243]",FOUND,2
139,public,[1617],FOUND,1
146,function name formal_parameters _return_type compound_statement,"[1517, 1597, 1593, 960]",FOUND,1
155,name formal_parameters _return_type compound_statement,[2652],FOUND,1
162,( simple_parameter ),[2994],FOUND,2
163,name,[969],FOUND,2
177,$ name,"[1773, 1820, 1891, 2071, 1951, 3224]",FOUND,1
178,name,"[1951, 2071, 3190]",FOUND,1
181,),"[1951, 2071, 843, 2644, 2434]",FOUND,2
182,: type,"[1951, 2071, 2051, 1873]",FOUND,2
184,primitive_type_token6,"[1951, 2071, 1590]",FOUND,2
193,{ program_repeat1 },"[1951, 2071, 2079, 2087, 1807, 2656, 2142, 2765]",FOUND,2
203,print expression,"[1951, 2071, 2765, 2656, 2142, 88]",FOUND,66
209,name,"[1951, 2071, 2765, 2656, 2142, 449]",FOUND,9
219,. expression,"[1951, 2071, 2765, 2656, 2142, 1112, 1336, 1407, 1358, 1347, 1495, 3163, 2019, 2314, 3271]",FOUND,21
221,""" _interpolated_string_body ""","[1951, 2071, 2765, 2656, 2142, 338]",FOUND,6
222,string_content,"[1951, 2071, 2765, 2656, 2142, 1721]",FOUND,3
246,escape_sequence,"[1951, 2071, 2765, 2656, 2142, 1721, 1999, 1730]",FOUND,5
248,"""","[1951, 2071, 2765, 2656, 2142, 1999, 1692, 1730]",FOUND,3
249,;,"[1951, 2071, 2765, 2656, 2142, 1161, 1238, 1239, 1347, 1336, 1407, 1381, 1348, 1358, 1495, 2149, 2795, 2314, 3271]",FOUND,1
259,$ name,"[1951, 2071, 2765, 2656, 2142, 573, 645, 574, 572, 75]",FOUND,2
260,name,"[1951, 2071, 2765, 2656, 2142, 1997]",FOUND,1
264,-> _member_name,"[1951, 2071, 2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
266,name,"[1951, 2071, 2765, 2656, 2142, 1913]",FOUND,1
280,-> _member_name arguments,"[1951, 2071, 2765, 2656, 2142, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,2
282,name,"[1951, 2071, 2765, 2656, 2142, 1913]",FOUND,1
289,( argument ),"[1951, 2071, 2765, 2656, 2142, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,6
290,$ name,"[1951, 2071, 2765, 2656, 2142, 191]",FOUND,1
291,name,"[1951, 2071, 2765, 2656, 2142, 2018]",FOUND,1
294,),"[1951, 2071, 2765, 2656, 2142, 843, 863, 841, 921, 1285, 1283, 1515, 2543, 2363, 3252, 894, 2902]",FOUND,2
295,;,"[1951, 2071, 2765, 2656, 2142, 874, 876, 888, 887, 1336, 1407, 1495, 2795, 2314, 3271]",FOUND,1
301,},"[1951, 2071, 2765, 2656, 2142, 573, 645, 574, 572, 2, 75]",FOUND,1
303,},"[1951, 2071, 2765, 2656, 2142, 669, 1700, 1757, 1755, 1614]",FOUND,7
