File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
php-8-objects-patterns-practice-main_test_BaseUnit.php,132,34.09,71.21,81.82,93.94,98.48,132,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_test_ch08_Batch01Test.php,188,52.66,76.06,84.04,95.21,98.94,187,99.47,1,0.53,0,0.0
php-8-objects-patterns-practice-main_test_ch08_Batch03Test.php,127,55.12,78.74,85.04,94.49,99.21,126,99.21,1,0.79,0,0.0
php-8-objects-patterns-practice-main_test_ch08_Batch02Test.php,248,47.58,71.77,80.65,93.15,98.79,247,99.6,1,0.4,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch11Test.php,113,54.87,80.53,87.61,96.46,99.12,112,99.12,1,0.88,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch07Test.php,92,57.61,84.78,89.13,94.57,96.74,91,98.91,1,1.09,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch12Test.php,164,54.88,81.1,87.2,95.12,98.17,163,99.39,1,0.61,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch01Test.php,199,52.26,81.41,86.43,94.47,96.98,198,99.5,1,0.5,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch09Test.php,121,54.55,80.17,85.12,91.74,94.21,117,96.69,4,3.31,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch03Test.php,74,56.76,81.08,87.84,94.59,97.3,73,98.65,1,1.35,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch05Test.php,119,53.78,78.99,86.55,94.12,97.48,118,99.16,1,0.84,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch04Test.php,98,55.1,82.65,88.78,94.9,97.96,97,98.98,1,1.02,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch02Test.php,91,53.85,85.71,89.01,94.51,96.7,90,98.9,1,1.1,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch06Test.php,122,55.74,79.51,86.07,93.44,97.54,121,99.18,1,0.82,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch08Test.php,139,55.4,82.73,88.49,94.24,96.4,138,99.28,1,0.72,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch10Test.php,148,53.38,79.05,85.81,95.95,97.97,147,99.32,1,0.68,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch11Test.php,162,56.17,86.42,90.12,95.06,96.91,161,99.38,1,0.62,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch13Test.php,76,57.89,81.58,88.16,94.74,97.37,75,98.68,1,1.32,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch07Test.php,127,56.69,82.68,87.4,93.7,96.06,126,99.21,1,0.79,0,0.0
