Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,5
12,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
14,[ _collection_elements ],[185],FOUND,4
15,string_start string_content string_end,[217],FOUND,3
16,_string_content,"[217, 1691]",FOUND,1
21,string_end,"[1691, 1807, 1692]",FOUND,2
22,", expression","[1807, 1692, 1115, 969, 869, 1683, 2593]",FOUND,6
24,string_start string_content string_end,"[322, 2593]",FOUND,2
25,_string_content,"[322, 2593, 1710]",FOUND,1
31,string_end,"[1710, 1807, 1711]",FOUND,2
32,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2451, 2593]",FOUND,1
34,string_start string_content string_end,"[332, 2593]",FOUND,2
35,_string_content,"[332, 2593, 1710]",FOUND,2
41,string_end,"[1710, 1807, 1711]",FOUND,2
42,],"[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,4
44,print,"[649, 69, 2695, 1140, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,57
49,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
50,identifier,"[290, 240]",FOUND,1
61,),"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,1
64,del expression,"[649, 71, 69, 2695, 1116, 1085, 859, 1817, 2460]",FOUND,61
68,identifier,[478],FOUND,1
79,[ expression ],"[1029, 859, 1820, 2460, 2625]",FOUND,8
80,integer,[449],FOUND,3
81,],"[1439, 976, 1806]",FOUND,2
83,print,"[649, 71, 69, 2695, 1056, 1085, 859, 1820, 2460]",FOUND,55
88,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
89,identifier,"[290, 240]",FOUND,1
100,),"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,1
