Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,6
11,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
13,( _collection_elements ),[185],FOUND,12
14,integer,[191],FOUND,3
17,", expression","[1334, 959, 1676]",FOUND,7
19,integer,"[338, 2672]",FOUND,3
21,),"[1367, 964, 1963, 2335, 2672]",FOUND,7
23,for pattern in expression : _indent block,"[649, 69, 2695, 1120, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,58
27,identifier,[795],FOUND,1
37,in expression : _indent block,"[1610, 1620, 2412]",FOUND,1
40,identifier,[474],FOUND,1
50,: _indent block,"[1181, 962, 1851, 2653]",FOUND,21
56,_indent block,"[13, 99, 704, 71, 69, 2695]",FOUND,23
61,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
62,identifier,"[290, 240]",FOUND,1
71,),"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,1
