Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,6
10,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
12,[ _collection_elements ],[185],FOUND,4
13,string_start string_content string_end,[217],FOUND,3
14,_string_content,"[217, 1691]",FOUND,1
19,string_end,"[1691, 1807, 1692]",FOUND,2
20,", expression","[1807, 1692, 1115, 969, 869, 1683, 2593]",FOUND,6
22,string_start string_content string_end,"[322, 2593]",FOUND,2
23,_string_content,"[322, 2593, 1710]",FOUND,1
28,string_end,"[1710, 1807, 1711]",FOUND,2
29,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2451, 2593]",FOUND,1
31,string_start string_content string_end,"[332, 2593]",FOUND,2
32,_string_content,"[332, 2593, 1710]",FOUND,2
40,string_end,"[1710, 1807, 1711]",FOUND,2
41,],"[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,4
43,for pattern in expression : _indent block,"[649, 69, 2695, 1140, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,58
47,identifier,[795],FOUND,1
56,in expression : _indent block,"[1610, 1620, 2412]",FOUND,1
59,identifier,[474],FOUND,1
68,: _indent block,"[1181, 962, 1851, 2653]",FOUND,21
74,_indent block,"[13, 99, 704, 71, 69, 2695]",FOUND,23
79,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
80,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
82,{ _f_expression },"[290, 240, 1677]",FOUND,11
83,identifier,[227],FOUND,1
91,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
92,identifier,[2687],FOUND,1
97,( ),"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,5
98,),[254],FOUND,2
99,},"[1289, 1280, 1265, 942, 1738, 2103]",FOUND,1
100,_string_content,"[1933, 1678]",FOUND,3
125,string_end,"[1933, 1678, 1807, 1726]",FOUND,1
126,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
128,print,"[632, 712, 71, 69, 2695, 639, 68, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,50
133,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
134,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
136,_string_content,"[290, 240, 1677]",FOUND,2
173,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
174,identifier,[227],FOUND,1
182,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
183,identifier,[2687],FOUND,1
188,( ),"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,5
189,),[254],FOUND,2
190,},"[1289, 1280, 1265, 942, 1738, 2103]",FOUND,1
191,_string_content escape_sequence,"[1933, 1726, 1678]",FOUND,8
192,escape_sequence,"[1933, 1726, 1678, 1807]",FOUND,4
194,string_end,"[1830, 1807, 1726, 1678]",FOUND,1
195,),"[1830, 1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
