Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,6
13,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
15,[ _collection_elements ],[185],FOUND,4
16,string_start string_content string_end,[217],FOUND,3
17,_string_content,"[217, 1691]",FOUND,1
23,string_end,"[1691, 1807, 1692]",FOUND,2
24,", expression","[1807, 1692, 1115, 969, 869, 1683, 2593]",FOUND,6
26,string_start string_content string_end,"[322, 2593]",FOUND,2
27,_string_content,"[322, 2593, 1710]",FOUND,1
35,string_end,"[1710, 1807, 1711]",FOUND,2
36,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2451, 2593]",FOUND,1
38,string_start string_content string_end,"[332, 2593]",FOUND,2
39,_string_content,"[332, 2593, 1710]",FOUND,2
44,string_end,"[1710, 1807, 1711]",FOUND,2
45,],"[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,4
47,identifier,"[649, 69, 2695, 1140, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
52,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
54,string_start string_content string_end,[185],FOUND,2
55,_string_content,"[185, 1696]",FOUND,2
60,string_end,"[1696, 1807, 1713]",FOUND,2
63,if expression : _indent block,"[649, 71, 69, 2695, 1031, 961, 963, 1791, 2570, 2591, 2460]",FOUND,29
66,identifier,[491],FOUND,1
71,not in,"[1181, 962, 2112, 2653]",FOUND,12
75,in,[2634],FOUND,1
78,identifier,"[1582, 936]",FOUND,1
90,: _indent block,"[1348, 1046, 1566, 1750, 2112]",FOUND,2
96,_indent block,"[4, 97, 613, 71, 69, 2695]",FOUND,13
101,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
102,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
104,{ _f_expression },"[290, 240, 1677]",FOUND,11
105,identifier,[227],FOUND,1
109,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
110,identifier,[2687],FOUND,1
115,( ),"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,5
116,),[254],FOUND,2
117,},"[1289, 1280, 1265, 942, 1738, 2103]",FOUND,1
118,_string_content,"[1933, 1678]",FOUND,3
156,string_end,"[1933, 1678, 1807, 1726]",FOUND,1
157,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
