Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,5
19,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
21,[ _collection_elements ],[185],FOUND,4
22,string_start string_content string_end,[217],FOUND,3
23,_string_content,"[217, 1691]",FOUND,1
32,string_end,"[1691, 1807, 1692]",FOUND,2
33,", expression","[1807, 1692, 1115, 969, 869, 1683, 2593]",FOUND,6
35,string_start string_content string_end,"[322, 2593]",FOUND,2
36,_string_content,"[322, 2593, 1710]",FOUND,1
48,string_end,"[1710, 1807, 1711]",FOUND,2
49,],"[1807, 1711, 1355, 1068, 976, 1921, 2451, 2593]",FOUND,4
52,if expression : _indent block,"[649, 69, 2695, 1140, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,27
55,string_start string_content string_end,[491],FOUND,5
56,_string_content,"[491, 1682]",FOUND,1
65,string_end,"[1682, 1807, 1684]",FOUND,2
67,in primary_expression,"[1277, 1017, 962, 2112]",FOUND,7
70,identifier,[936],FOUND,1
88,: _indent block,"[1348, 1046, 1566, 1750, 2112]",FOUND,2
94,_indent block,"[4, 97, 613, 71, 69, 2695]",FOUND,13
99,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
100,string_start string_content string_end,"[290, 240]",FOUND,2
101,_string_content,"[290, 240, 1677]",FOUND,2
118,string_end,"[1677, 1807, 1678]",FOUND,2
119,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
121,if expression : _indent block,"[632, 615, 71, 69, 2695, 639, 68, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,18
124,string_start string_content string_end,[491],FOUND,5
125,_string_content,"[491, 1682]",FOUND,1
134,string_end,"[1682, 1807, 1684]",FOUND,2
136,in primary_expression,"[1277, 1017, 962, 2112]",FOUND,7
139,identifier,[936],FOUND,1
157,: _indent block,"[1348, 1046, 1566, 1750, 2112]",FOUND,2
163,_indent block,"[4, 648, 615, 71, 69, 2695, 97, 613]",FOUND,13
168,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
169,string_start string_content string_end,"[290, 240]",FOUND,2
170,_string_content,"[290, 240, 1677]",FOUND,2
187,string_end,"[1677, 1807, 1678]",FOUND,2
188,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
190,if expression : _indent block,"[632, 615, 71, 69, 2695, 639, 68, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,18
193,string_start string_content string_end,[491],FOUND,5
194,_string_content,"[491, 1682]",FOUND,1
206,string_end,"[1682, 1807, 1684]",FOUND,2
208,in primary_expression,"[1277, 1017, 962, 2112]",FOUND,7
211,identifier,[936],FOUND,1
229,: _indent block,"[1348, 1046, 1566, 1750, 2112]",FOUND,2
235,_indent block,"[4, 648, 615, 71, 69, 2695, 97, 613]",FOUND,13
240,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
241,string_start string_content string_end,"[290, 240]",FOUND,2
242,_string_content,"[290, 240, 1677]",FOUND,2
262,string_end,"[1677, 1807, 1678]",FOUND,2
263,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
270,print,"[632, 615, 71, 69, 2695, 639, 68, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,50
275,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
276,string_start string_content string_end,"[290, 240]",FOUND,2
277,escape_sequence _string_content,"[290, 240, 1677]",FOUND,17
279,_string_content,"[1807, 1678]",FOUND,2
306,string_end,"[1807, 1678, 1830]",FOUND,1
307,),"[1830, 1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
